tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
49804284,9637888,9093120,10827072,14786560,544768,786250.0,4329.0
49804441,9637888,9097216,10827072,14786560,548864,673437.0,4329.0
49804588,9637888,9097216,10827072,14786560,548864,673437.0,4329.0
49804730,9637888,9101312,10827072,14786560,548864,673437.0,4329.0
49804871,9637888,9101312,10827072,14786560,548864,784062.0,4329.0
49805008,9637888,9101312,10827072,14786560,548864,784062.0,4329.0
49805155,9637888,9101312,10827200,14782464,548864,660000.0,4329.0
49805295,9637888,9105408,10827200,14782464,548864,660000.0,4329.0
49805440,9637888,9105408,10827200,14782464,548864,660000.0,4329.0
49805577,9637888,9105408,10827200,14782464,548864,770625.0,4329.0
49805716,9637888,9109504,10827200,14782464,548864,770625.0,4329.0
49805856,9637888,9109504,10827200,14782464,548864,709687.0,4329.0
49806005,9637888,9109504,10827200,14782464,548864,709687.0,4329.0
49806146,9637888,9113600,10827200,14782464,548864,709687.0,4329.0
49806282,9637888,9113600,10827200,14782464,548864,765000.0,4329.0
49806427,9637888,9113600,10827200,14782464,548864,765000.0,4329.0
49806567,9637888,9117696,10827200,14782464,548864,773750.0,4329.0
49806705,9637888,9117696,10827200,14782464,548864,773750.0,4329.0
49806840,9637888,9117696,10827200,14782464,548864,773750.0,4329.0
49806980,9637888,9121792,10827200,14782464,548864,829687.0,4329.0
49807114,9637888,9121792,10827200,14782464,548864,829687.0,4329.0
49807257,9637888,9121792,10827200,14782464,548864,651250.0,4329.0
49807408,9637888,9125888,10827200,14782464,548864,651250.0,4329.0
49807557,9637888,9125888,10827200,14782464,548864,815937.0,4329.0
49807699,9637888,9125888,10827200,14782464,548864,815937.0,4329.0
49807843,9637888,9129984,10827200,14782464,548864,815937.0,4329.0
49807983,9637888,9129984,10827200,14782464,548864,700312.0,4329.0
49808117,9637888,9129984,10827200,14782464,548864,700312.0,4329.0
49808258,9637888,9134080,10827200,14782464,548864,814375.0,4329.0
49808400,9637888,9134080,10827200,14782464,548864,814375.0,4329.0
49808540,9637888,9134080,10827200,14782464,548864,814375.0,4329.0
49808681,9637888,9138176,10827200,14782464,548864,747187.0,4329.0
49808826,9637888,9138176,10827200,14782464,548864,747187.0,4329.0
49808969,9637888,9138176,10827200,14782464,548864,749062.0,4329.0
49809108,9637888,9142272,10827200,14782464,548864,749062.0,4329.0
49809248,9637888,9142272,10827200,14782464,548864,749062.0,4329.0
49809390,9637888,9142272,10827200,14782464,548864,672187.0,4329.0
49809535,9637888,9146368,10827200,14782464,548864,672187.0,4329.0
49809679,9637888,9146368,10827200,14782464,548864,687187.0,4329.0
49809821,9637888,9146368,10827200,14782464,548864,687187.0,4329.0
49809959,9637888,9146368,10827200,14782464,548864,687187.0,4329.0
49810101,9637888,9150464,10827200,14782464,548864,707500.0,4329.0
49810241,9637888,9150464,10827200,14782464,548864,707500.0,4329.0
49810393,9637888,9150464,10827200,14782464,548864,747187.0,4329.0
49810541,9637888,9154560,10827200,14782464,548864,747187.0,4329.0
49810681,9637888,9154560,10827200,14782464,548864,747187.0,4329.0
49810832,9637888,9154560,10827200,14782464,548864,763750.0,4329.0
49810975,9637888,9158656,10827200,14782464,548864,763750.0,4329.0
49811121,9637888,9158656,10827200,14782464,548864,661875.0,4329.0
49811265,9637888,9158656,10827200,14782464,548864,661875.0,4329.0
49811410,9637888,9162752,10827200,14782464,548864,661875.0,4329.0
49811557,9637888,9162752,10827200,14782464,548864,825000.0,4329.0
49811701,9637888,9162752,10827200,14782464,548864,825000.0,4329.0
49811842,9637888,9166848,10827200,14782464,548864,682500.0,4329.0
49811983,9637888,9166848,10827200,14782464,548864,682500.0,4329.0
49812120,9637888,9166848,10827200,14782464,548864,821562.0,4329.0
49812266,9637888,9170944,10827200,14782464,548864,821562.0,4329.0
49812408,9637888,9170944,10827200,14782464,548864,821562.0,4329.0
49812552,9637888,9170944,10827200,14782464,548864,649375.0,4329.0
49812691,9637888,9175040,10827200,14782464,548864,649375.0,4329.0
49812831,9637888,9175040,10827200,14782464,548864,748125.0,4329.0
49812970,9637888,9175040,10827200,14782464,548864,748125.0,4329.0
49813106,9637888,9179136,10827200,14782464,548864,748125.0,4329.0
49813244,9637888,9179136,10827200,14782464,548864,720937.0,4329.0
49813385,9637888,9179136,10827200,14782464,548864,720937.0,4329.0
49813528,9637888,9183232,10827200,14782464,548864,720937.0,4329.0
49813669,9637888,9183232,10827200,14782464,548864,732187.0,4329.0
49813806,9637888,9183232,10827328,14782464,548864,732187.0,4329.0
49813953,9637888,9187328,10827328,14782464,548864,632500.0,4329.0
49814091,9637888,9187328,10827328,14782464,548864,632500.0,4329.0
