tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
2076016,10117120,60059648,15379552,19345408,536576,684687.0,4341.0
2076183,10117120,60063744,15379552,19345408,540672,684687.0,4341.0
2076332,10117120,60063744,15379552,19345408,540672,684687.0,4341.0
2076476,10117120,60063744,15379552,19345408,540672,734375.0,4341.0
2076625,10117120,60067840,15379552,19345408,540672,734375.0,4341.0
2076768,10117120,60067840,15379552,19345408,540672,588125.0,4341.0
2076911,10117120,60067840,15379552,19345408,540672,588125.0,4341.0
2077051,10117120,60071936,15379552,19345408,540672,692500.0,4341.0
2077201,10117120,60071936,15379552,19345408,540672,692500.0,4341.0
2077344,10117120,60071936,15379552,19345408,540672,692500.0,4341.0
2077487,10117120,60076032,15379552,19345408,540672,598750.0,4341.0
2077628,10117120,60076032,15379552,19345408,540672,598750.0,4341.0
2077770,10117120,60076032,15379552,19345408,540672,598750.0,4305.0
2077889,10117120,60076032,15379552,19345408,540672,1285312.0,4305.0
2078006,10117120,60080128,15379552,19345408,540672,1285312.0,4305.0
2078140,10117120,60080128,15379552,19345408,540672,649062.0,4305.0
2078280,10117120,60080128,15379776,19345408,540672,649062.0,4305.0
2078431,10117120,60084224,15379680,19345408,540672,649062.0,4305.0
2078576,10117120,60084224,15379680,19345408,540672,700000.0,4305.0
2078730,10117120,60084224,15379680,19345408,540672,700000.0,4305.0
2078891,10117120,60088320,15379680,19345408,540672,618125.0,4305.0
2079013,10117120,60088320,15379680,19345408,540672,618125.0,4305.0
2079148,10117120,60088320,15379680,19345408,540672,618125.0,4305.0
2079282,10117120,60092416,15379680,19345408,540672,797500.0,4305.0
2079416,10117120,60092416,15379680,19345408,540672,797500.0,4305.0
2079540,10117120,60092416,15379680,19345408,540672,700000.0,4305.0
2079673,10117120,60096512,15379680,19345408,540672,700000.0,4305.0
2079795,10117120,60096512,15379680,19345408,540672,700000.0,4305.0
2079928,10117120,60096512,15379680,19345408,540672,604375.0,4305.0
2080060,10117120,60100608,15379680,19345408,540672,604375.0,4305.0
2080199,10117120,60100608,15379680,19345408,540672,604375.0,4305.0
2080335,10117120,60100608,15379680,19345408,540672,704062.0,4305.0
2080459,10117120,60104704,15379680,19345408,540672,704062.0,4305.0
2080594,10117120,60104704,15379680,19345408,540672,538750.0,4301.0
