tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
51096116,9682944,22650880,10841088,15736832,548864,361562.0,4316.0
51096279,9682944,22654976,10841088,15736832,552960,458125.0,4316.0
51096437,9682944,22654976,10841088,15736832,552960,458125.0,4316.0
51096594,9682944,22654976,10841088,15736832,552960,396875.0,4316.0
51096752,9682944,22659072,10841088,15736832,552960,396875.0,4316.0
51096894,9682944,22659072,10841088,15736832,552960,373750.0,4316.0
51097044,9682944,22659072,10841088,15736832,552960,373750.0,4316.0
51097188,9682944,22663168,10841088,15736832,552960,373750.0,4316.0
51097334,9682944,22663168,10841088,15736832,552960,427500.0,4316.0
51097479,9682944,22663168,10841088,15736832,552960,427500.0,4316.0
51097630,9682944,22667264,10841088,15736832,552960,483750.0,4316.0
51097779,9682944,22667264,10841088,15736832,552960,483750.0,4316.0
51097922,9682944,22667264,10841088,15736832,552960,431250.0,4316.0
51098062,9682944,22671360,10841088,15736832,552960,431250.0,4316.0
51098202,9682944,22671360,10841088,15736832,552960,431250.0,4316.0
51098339,9682944,22671360,10841088,15736832,552960,420937.0,4316.0
51098481,9682944,22675456,10841088,15736832,552960,420937.0,4316.0
51098630,9682944,22675456,10841088,15736832,552960,498125.0,4316.0
51098779,9682944,22675456,10841088,15736832,552960,498125.0,4316.0
51098931,9682944,22679552,10841088,15736832,552960,498125.0,4316.0
51099076,9682944,22679552,10841088,15736832,552960,409375.0,4316.0
51099213,9682944,22679552,10841088,15736832,552960,409375.0,4316.0
51099351,9682944,22683648,10841088,15736832,552960,355625.0,4316.0
51099490,9682944,22683648,10841088,15736832,552960,355625.0,4316.0
51099630,9682944,22683648,10841088,15736832,552960,355625.0,4316.0
51099772,9682944,22687744,10841088,15736832,552960,363750.0,4316.0
51099925,9682944,22687744,10841088,15736832,552960,363750.0,4316.0
51100068,9682944,22687744,10841088,15736832,552960,467500.0,4316.0
51100215,9682944,22691840,10841088,15736832,552960,467500.0,4316.0
51100354,9682944,22691840,10841088,15736832,552960,467500.0,4316.0
51100499,9682944,22691840,10841088,15736832,552960,516250.0,4316.0
51100639,9682944,22695936,10841088,15736832,552960,516250.0,4316.0
51100781,9682944,22695936,10841088,15736832,552960,368750.0,4316.0
51100937,9682944,22695936,10841088,15736832,552960,368750.0,4316.0
51101076,9682944,22700032,10841088,15736832,552960,368750.0,4316.0
51101221,9682944,22700032,10841088,15736832,552960,439687.0,4316.0
51101364,9682944,22700032,10841088,15736832,552960,439687.0,4316.0
51101508,9682944,22704128,10841088,15736832,552960,355937.0,4316.0
51101655,9682944,22704128,10841088,15736832,552960,355937.0,4316.0
51101793,9682944,22704128,10841088,15736832,552960,511250.0,4316.0
51101934,9682944,22708224,10841088,15736832,552960,511250.0,4316.0
51102088,9682944,22708224,10841088,15736832,552960,511250.0,4316.0
51102233,9682944,22708224,10841088,15736832,552960,349062.0,4316.0
51102371,9682944,22712320,10841088,15736832,552960,349062.0,4316.0
51102522,9682944,22712320,10841088,15736832,552960,381562.0,4316.0
51102669,9682944,22712320,10841088,15736832,552960,381562.0,4316.0
51102819,9682944,22716416,10841088,15736832,552960,381562.0,4316.0
51102968,9682944,22716416,10841088,15736832,552960,529062.0,4316.0
51103111,9682944,22716416,10841088,15736832,552960,529062.0,4316.0
51103255,9682944,22716416,10841088,15736832,552960,362500.0,4316.0
51103393,9682944,22720512,10841088,15736832,552960,362500.0,4316.0
51103527,9682944,22720512,10841088,15736832,552960,362500.0,4316.0
51103670,9682944,22720512,10841088,15736832,552960,556250.0,4316.0
51103815,9682944,22724608,10841088,15736832,552960,556250.0,4316.0
51103955,9682944,22724608,10841088,15736832,552960,362500.0,4316.0
51104095,9682944,22724608,10841088,15736832,552960,362500.0,4316.0
51104234,9682944,22728704,10841088,15736832,552960,362500.0,4316.0
51104372,9682944,22728704,10841088,15736832,552960,476562.0,4316.0
51104511,9682944,22728704,10841088,15736832,552960,476562.0,4316.0
51104646,9682944,22732800,10841088,15736832,552960,370312.0,4316.0
51104785,9682944,22732800,10841088,15736832,552960,370312.0,4316.0
51104924,9682944,22732800,10841088,15736832,552960,370312.0,4316.0
51105065,9682944,22736896,10841088,15736832,552960,460312.0,4316.0
51105210,9682944,22736896,10841088,15736832,552960,460312.0,4316.0
51105353,9682944,22736896,10841088,15736832,552960,342187.0,4316.0
51105501,9682944,22740992,10841088,15736832,552960,342187.0,4316.0
51105643,9682944,22740992,10841088,15736832,552960,342187.0,4316.0
51105786,9682944,22740992,10841088,15736832,552960,504375.0,4316.0
51105930,9682944,22745088,10841088,15736832,552960,504375.0,4316.0
51106082,9682944,22745088,10841088,15736832,552960,349687.0,4316.0
