tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
21435285,10006528,9256960,15200048,19296256,1163264,551562.0,3719.0
21435457,10006528,9256960,15200048,19296256,1163264,551562.0,3719.0
21435606,10006528,9256960,15200048,19296256,1163264,262500.0,3719.0
21435756,10006528,9261056,15200048,19296256,1163264,262500.0,3719.0
21435898,10006528,9261056,15200048,19296256,1163264,341250.0,3719.0
21436045,10006528,9261056,15200048,19296256,1163264,341250.0,3719.0
21436186,10006528,9265152,15200048,19296256,1163264,341250.0,3719.0
21436325,10006528,9265152,15200048,19296256,1163264,252500.0,3719.0
21436463,10006528,9265152,15200048,19296256,1163264,252500.0,3719.0
21436609,10006528,9269248,15200048,19296256,1163264,260625.0,3719.0
21436757,10006528,9269248,15200048,19296256,1163264,260625.0,3719.0
21436906,10006528,9269248,15200048,19296256,1163264,260625.0,3719.0
21437057,10006528,9273344,15200048,19296256,1163264,290312.0,3719.0
21437202,10006528,9273344,15200048,19296256,1163264,290312.0,3719.0
21437350,10006528,9273344,15200048,19296256,1163264,237187.0,3719.0
21437495,10006528,9277440,15200048,19296256,1163264,237187.0,3719.0
21437635,10006528,9277440,15200048,19296256,1163264,237187.0,3719.0
21437780,10006528,9277440,15200048,19296256,1163264,302500.0,3719.0
21437935,10006528,9281536,15200048,19296256,1163264,302500.0,3719.0
21438077,10006528,9281536,15200048,19296256,1163264,292500.0,3719.0
21438214,10006528,9281536,15200048,19296256,1163264,292500.0,3719.0
21438364,10006528,9285632,15200048,19296256,1163264,274687.0,3719.0
21438508,10006528,9285632,15200048,19296256,1163264,274687.0,3719.0
21438652,10006528,9285632,15200048,19296256,1163264,274687.0,3719.0
21438809,10006528,9289728,15200048,19296256,1163264,252187.0,3719.0
21438942,10006528,9289728,15200048,19296256,1163264,252187.0,3719.0
21439085,10006528,9289728,15200048,19296256,1163264,249375.0,3719.0
21439229,10006528,9293824,15200048,19296256,1163264,249375.0,3719.0
21439377,10006528,9293824,15200048,19296256,1163264,249375.0,3719.0
21439530,10006528,9293824,15200048,19296256,1163264,299375.0,3719.0
21439687,10006528,9297920,15200048,19296256,1163264,299375.0,3719.0
21439854,10006528,9297920,15200048,19296256,1163264,233125.0,3719.0
21439995,10006528,9297920,15200048,19296256,1163264,233125.0,3719.0
21440143,10006528,9302016,15200048,19296256,1163264,218437.0,3719.0
21440288,10006528,9302016,15200048,19296256,1163264,218437.0,3719.0
21440432,10006528,9302016,15200048,19296256,1163264,218437.0,3719.0
21440580,10006528,9302016,15200048,19296256,1716224,314687.0,3719.0
21440743,10006528,9306112,15200048,19296256,1716224,314687.0,3719.0
21440909,10006528,9306112,15200048,19296256,1716224,1160312.0,3719.0
21441028,10006528,9306112,15200048,19296256,1716224,1160312.0,3719.0
21441167,10006528,9310208,15200048,19296256,1716224,1322187.0,3719.0
21441320,10006528,9310208,15200048,19296256,1716224,1322187.0,3719.0
21441478,10006528,9310208,15200048,19296256,1716224,1322187.0,3719.0
21441594,10006528,9314304,15200048,19296256,1716224,1189062.0,3719.0
21441745,10006528,9314304,15200048,19296256,1716224,1189062.0,3719.0
21441876,10006528,9314304,15200048,19296256,1716224,1189062.0,3719.0
21442007,10006528,9318400,15200048,19296256,1716224,1101562.0,3719.0
21442125,10006528,9318400,15200048,19296256,1716224,1101562.0,3719.0
21442251,10006528,9318400,15200048,19296256,1716224,1167500.0,3719.0
21442418,10006528,9322496,15200048,19296256,1716224,1167500.0,3719.0
21442549,10006528,9322496,15200048,19296256,1716224,1167500.0,3719.0
21442665,10006528,9322496,15200048,19296256,1716224,1124687.0,3719.0
21442792,10006528,9326592,15200048,19296256,1716224,1124687.0,3719.0
21442921,10006528,9326592,15200048,19296256,1716224,1124687.0,3719.0
21443058,10006528,9326592,15200048,19296256,1716224,1084687.0,3719.0
21443202,10006528,9330688,15200048,19296256,1716224,1084687.0,3719.0
21443333,10006528,9330688,15200048,19296256,1716224,912500.0,3719.0
21443464,10006528,9330688,15200048,19296256,1716224,912500.0,3719.0
21443602,10006528,9334784,15200048,19296256,1716224,912500.0,3719.0
21443735,10006528,9334784,15200048,19296256,1716224,1259375.0,3719.0
21443866,10006528,9334784,15200048,19296256,1716224,1259375.0,3719.0
21443983,10006528,9338880,15200048,19296256,1716224,1156250.0,3719.0
