tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52053871,9703424,31813632,10888928,15966208,647168,604375.0,4254.0
52054048,9703424,31817728,10888928,15966208,651264,1016875.0,4254.0
52054207,9703424,31817728,10889056,15966208,651264,1016875.0,4254.0
52054366,9703424,31821824,10889056,15966208,651264,915625.0,4254.0
52054504,9703424,31821824,10889056,15966208,651264,915625.0,4254.0
52054663,9703424,31821824,10889056,15966208,651264,881875.0,4254.0
52054823,9703424,31821824,10889056,15966208,651264,881875.0,4254.0
52054983,9703424,31825920,10889056,15966208,651264,953437.0,4254.0
52055139,9703424,31825920,10889056,15966208,651264,953437.0,4254.0
52055271,9703424,31825920,10889056,15966208,651264,953437.0,4254.0
52055404,9703424,31830016,10889056,15966208,651264,910937.0,4254.0
52055536,9703424,31830016,10889056,15966208,651264,910937.0,4254.0
52055671,9703424,31830016,10889056,15966208,651264,910937.0,4254.0
52055799,9703424,31834112,10889056,15966208,651264,912187.0,4254.0
52055932,9703424,31834112,10889056,15966208,651264,912187.0,4254.0
52056067,9703424,31834112,10889056,15966208,651264,885312.0,4254.0
52056204,9703424,31838208,10889056,15966208,651264,885312.0,4254.0
52056337,9703424,31838208,10889056,15966208,651264,885312.0,4254.0
52056471,9703424,31838208,10889056,15966208,651264,995937.0,4254.0
52056603,9703424,31842304,10889056,15966208,651264,995937.0,4254.0
52056731,9703424,31842304,10889056,15966208,651264,995937.0,4254.0
52056859,9703424,31842304,10889056,15966208,651264,996250.0,4254.0
52056992,9703424,31846400,10889056,15966208,651264,996250.0,4254.0
52057123,9703424,31846400,10889056,15966208,651264,875625.0,4254.0
52057255,9703424,31846400,10889056,15966208,651264,875625.0,4254.0
52057387,9703424,31850496,10889056,15966208,651264,875625.0,4254.0
52057519,9703424,31850496,10889056,15966208,651264,889062.0,4254.0
52057647,9703424,31850496,10889056,15966208,651264,889062.0,4254.0
52057775,9703424,31854592,10889056,15966208,651264,889062.0,4254.0
52057904,9703424,31854592,10889056,15966208,651264,908750.0,4254.0
52058036,9703424,31854592,10889056,15966208,651264,908750.0,4254.0
52058167,9703424,31858688,10889056,15966208,651264,843750.0,4254.0
52058296,9703424,31858688,10889056,15966208,651264,843750.0,4254.0
52058428,9703424,31858688,10889056,15966208,651264,843750.0,4254.0
52058575,9703424,31862784,10889056,15966208,651264,996250.0,4254.0
52058728,9703424,31862784,10889056,15966208,651264,996250.0,4254.0
52058883,9703424,31862784,10889056,15966208,651264,845000.0,4254.0
52059035,9703424,31866880,10889056,15966208,651264,845000.0,4254.0
52059163,9703424,31866880,10889056,15966208,651264,845000.0,4254.0
52059295,9703424,31866880,10889056,15966208,651264,930625.0,4254.0
52059421,9703424,31870976,10889056,15966208,651264,930625.0,4254.0
52059551,9703424,31870976,10889056,15966208,651264,913125.0,4254.0
52059705,9703424,31870976,10889056,15966208,651264,913125.0,4254.0
52059859,9703424,31875072,10889056,15966208,651264,913125.0,4254.0
52060015,9703424,31875072,10889056,15966208,651264,890625.0,4254.0
52060175,9703424,31875072,10889056,15966208,651264,890625.0,4254.0
52060331,9703424,31879168,10889056,15966208,651264,928125.0,4254.0
52060494,9703424,31879168,10889056,15966208,651264,928125.0,4254.0
52060659,9703424,31879168,10889056,15966208,651264,1123125.0,4254.0
52060815,9703424,31883264,10889056,15966208,651264,1123125.0,4254.0
52060975,9703424,31883264,10889056,15966208,651264,879687.0,4254.0
52061119,9703424,31883264,10889056,15966208,651264,879687.0,4254.0
52061251,9703424,31883264,10889056,15966208,651264,879687.0,4254.0
52061383,9703424,31887360,10889056,15966208,651264,849062.0,4254.0
52061515,9703424,31887360,10889056,15966208,651264,849062.0,4254.0
52061643,9703424,31887360,10889056,15966208,651264,849062.0,4254.0
52061771,9703424,31891456,10889056,15966208,651264,868750.0,4254.0
52061900,9703424,31891456,10889056,15966208,651264,868750.0,4254.0
52062032,9703424,31891456,10889056,15966208,651264,873750.0,4254.0
52062164,9703424,31895552,10889056,15966208,651264,873750.0,4254.0
52062296,9703424,31895552,10889056,15966208,651264,873750.0,4254.0
52062431,9703424,31895552,10889056,15966208,651264,863437.0,4254.0
52062564,9703424,31899648,10889056,15966208,651264,863437.0,4254.0
52062717,9703424,31899648,10889056,15966208,651264,952187.0,4254.0
