tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
21835540,9994240,9691136,15269696,19042304,1114112,1055625.0,3729.0
21835683,9994240,11993088,15269696,19042304,1114112,1234062.0,3729.0
21835806,9994240,13918208,15269696,19042304,1114112,1234062.0,3729.0
21835935,9994240,15904768,15269696,19042304,1114112,1234062.0,3729.0
21836052,9994240,17715200,15269584,19042304,1114112,1033750.0,3729.0
21836181,9994240,19693568,15269792,19042304,1114112,1033750.0,3729.0
21836310,9994240,21704704,15269712,19042304,1114112,1033750.0,3729.0
21836436,9994240,23691264,15269712,19042304,1114112,1266250.0,3729.0
21836561,9994240,25673728,15269712,19042304,1114112,1266250.0,3729.0
21836688,9994240,27717632,15269744,19042304,1114112,1266250.0,3729.0
21836815,9994240,29728768,15269712,19042304,1114112,1205937.0,3729.0
21836942,9994240,31735808,15269920,19042304,1114112,1205937.0,3729.0
21837068,10125312,8941568,15269952,19042304,1114112,986875.0,3729.0
21837194,10125312,10924032,15270016,19042304,1114112,986875.0,3729.0
21837321,10125312,12906496,15269840,19042304,1114112,986875.0,3729.0
21837436,10125312,14757888,15269840,19042304,1114112,1266562.0,3729.0
21837564,10125312,16740352,15269840,19042304,1114112,1266562.0,3729.0
21837691,10125312,18722816,15269840,19042304,1114112,1266562.0,3729.0
21837806,10125312,20590592,15269952,19042304,1114112,1213437.0,3729.0
21837935,10125312,22552576,15269952,19042304,1114112,1213437.0,3729.0
21838066,10125312,24584192,15269840,19042304,1114112,1213437.0,3729.0
21838195,10125312,26599424,15269952,19042304,1114112,1187500.0,3729.0
21838325,10125312,28749824,15269840,19042304,1114112,1187500.0,3729.0
21838444,10125312,30695424,15269840,19042304,1114112,1187500.0,3729.0
21838567,10125312,32780288,15269952,19042304,1114112,1283437.0,3729.0
21838684,9994240,9396224,15269872,19042304,1114112,1283437.0,3729.0
21838798,9994240,11231232,15269952,19042304,1114112,1283437.0,3729.0
21838932,9994240,13447168,15269840,19042304,1114112,1259062.0,3729.0
21839047,9994240,15286272,15269744,19042304,1114112,1259062.0,3729.0
21839180,9994240,17551360,15269856,19042304,1114112,1056250.0,3729.0
21839314,9994240,19869696,15269744,19042304,1114112,1056250.0,3729.0
21839446,9994240,21979136,15269984,19042304,1114112,1056250.0,3729.0
21839577,9994240,24125440,15269872,19042304,1114112,1200937.0,3729.0
