tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
3471058,10121216,71036928,15403296,19316736,536576,525000.0,4267.0
3471225,10121216,71036928,15403296,19316736,540672,467187.0,4267.0
3471376,10121216,71036928,15403296,19316736,540672,467187.0,4267.0
3471516,10121216,71041024,15403296,19316736,540672,467187.0,4267.0
3471661,10121216,71041024,15403296,19316736,540672,603437.0,4267.0
3471811,10121216,71041024,15403296,19316736,540672,603437.0,4267.0
3471952,10121216,71045120,15403296,19316736,540672,471875.0,4267.0
3472095,10121216,71045120,15403296,19316736,540672,471875.0,4267.0
3472240,10121216,71045120,15403296,19316736,540672,471875.0,4267.0
3472385,10121216,71049216,15403296,19316736,540672,584687.0,4267.0
3472529,10121216,71049216,15403296,19316736,540672,584687.0,4267.0
3472671,10121216,71049216,15403296,19316736,540672,614062.0,4267.0
3472813,10121216,71053312,15403296,19316736,540672,614062.0,4267.0
3472951,10121216,71053312,15403296,19316736,540672,614062.0,4267.0
3473094,10121216,71053312,15403296,19316736,540672,573750.0,4267.0
3473240,10121216,71057408,15403296,19316736,540672,573750.0,4267.0
3473378,10121216,71057408,15403296,19316736,540672,552187.0,4267.0
3473520,10121216,71057408,15403296,19316736,540672,552187.0,4267.0
3473668,10121216,71061504,15403296,19316736,540672,570000.0,4267.0
3473823,10121216,71061504,15403296,19316736,540672,570000.0,4267.0
3473970,10121216,71061504,15403296,19316736,540672,570000.0,4267.0
3474110,10121216,71065600,15403296,19316736,540672,542187.0,4267.0
3474248,10121216,71065600,15403296,19316736,540672,542187.0,4267.0
3474389,10121216,71065600,15403296,19316736,540672,471562.0,4267.0
3474531,10121216,71069696,15403296,19316736,540672,471562.0,4267.0
3474673,10121216,71069696,15403296,19316736,540672,471562.0,4267.0
3474816,10121216,71069696,15403296,19316736,540672,524687.0,4267.0
3474960,10121216,71073792,15403296,19316736,540672,524687.0,4267.0
3475100,10121216,71073792,15403296,19316736,540672,482812.0,4267.0
3475248,10121216,71073792,15403296,19316736,540672,482812.0,4267.0
3475395,10121216,71077888,15403296,19316736,540672,482812.0,4267.0
3475540,10121216,71077888,15403296,19316736,540672,546875.0,4267.0
3475678,10121216,71077888,15403296,19316736,540672,546875.0,4267.0
3475830,10121216,71077888,15403296,19316736,540672,639062.0,4267.0
3475975,10121216,71081984,15403296,19316736,540672,639062.0,4267.0
3476118,10121216,71081984,15403296,19316736,540672,555625.0,4267.0
3476261,10121216,71081984,15403296,19316736,540672,555625.0,4267.0
3476406,10121216,71086080,15403296,19316736,540672,555625.0,4267.0
3476553,10121216,71086080,15403296,19316736,540672,524687.0,4267.0
3476699,10121216,71086080,15403296,19316736,540672,524687.0,4267.0
3476843,10121216,71090176,15403296,19316736,540672,551250.0,4267.0
