tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
839735,9945088,59117568,15154672,19025920,536576,876250.0,4366.0
839861,10170368,89440256,15160048,19025920,540672,985312.0,4366.0
840002,10162176,139575296,15155056,19025920,540672,985312.0,4366.0
840144,9932800,42606592,15155056,19025920,540672,930937.0,4366.0
840284,10186752,111087616,15158976,19025920,540672,930937.0,4366.0
840429,10080256,177078272,15154928,19025920,540672,930937.0,4366.0
840563,10096640,140521472,15159040,19025920,540672,909375.0,4366.0
840690,10031104,83087360,15156416,19025920,540672,909375.0,4366.0
840819,9912320,83869696,15155200,19025920,540672,821875.0,4366.0
840963,10063872,137306112,15159632,19030016,540672,821875.0,4366.0
841099,10027008,104390656,15155392,19030016,540672,821875.0,4366.0
841242,10043392,93224960,15155520,19025920,540672,905625.0,4366.0
841388,9957376,115040256,15155264,19025920,540672,905625.0,4366.0
841515,10031104,67870720,15155264,19025920,540672,905625.0,4366.0
841630,9908224,102223872,15155584,19025920,540672,1284375.0,4366.0
841746,9900032,43376640,15155392,19025920,540672,1284375.0,4366.0
841870,10035200,76935168,15155392,19025920,540672,948437.0,4366.0
842003,10055680,139444224,15155968,19025920,540672,948437.0,4366.0
842134,9957376,107343872,15155776,19025920,540672,948437.0,4366.0
842261,10031104,70230016,15155776,19025920,540672,1007187.0,4366.0
842401,10047488,119107584,15155968,19025920,540672,1007187.0,4366.0
842536,10084352,161972224,15160144,19025920,540672,1007187.0,4366.0
842671,10027008,65941504,15156544,19030016,540672,876875.0,4366.0
842804,9904128,89694208,15156032,19025920,540672,876875.0,4366.0
842951,10108928,150839296,15160176,19025920,540672,912500.0,4366.0
843082,10047488,103526400,15156096,19030016,540672,912500.0,4366.0
843210,9900032,58130432,15156096,19030016,540672,912500.0,4366.0
843346,10047488,107466752,15160400,19030016,540672,854375.0,4366.0
843487,10055680,151019520,15157312,19030016,540672,854375.0,4366.0
843616,9900032,68837376,15156160,19030016,540672,854375.0,4366.0
843748,10031104,89530368,15156096,19030016,540672,976562.0,4366.0
843889,10047488,140386304,15156352,19030016,540672,976562.0,4366.0
844022,9953280,109506560,15156096,19030016,540672,846250.0,4366.0
844155,10031104,70492160,15156288,19025920,540672,846250.0,4366.0
844294,10043392,119619584,15156544,19025920,540672,846250.0,4366.0
844431,10084352,166490112,15160720,19025920,540672,1064375.0,4366.0
844564,10027008,57995264,15156544,19025920,540672,1064375.0,4366.0
844694,9904128,87244800,15156480,19025920,540672,895625.0,4366.0
844834,10080256,142118912,15160720,19025920,540672,895625.0,4366.0
844967,10043392,116367360,15156416,19025920,540672,895625.0,4366.0
845102,9900032,65708032,15156416,19025920,540672,818437.0,4366.0
845241,10043392,111362048,15160720,19025920,540672,818437.0,4366.0
845382,10051584,151769088,15156672,19025920,540672,818437.0,4366.0
845514,9965568,94031872,15156480,19025920,540672,1005000.0,4366.0
845645,10027008,77570048,15156544,19025920,540672,1005000.0,4366.0
845787,10039296,130592768,15156672,19025920,540672,870000.0,4366.0
845928,9953280,147927040,15156416,19025920,540672,870000.0,4366.0
846061,10027008,57094144,15156416,19025920,540672,870000.0,4366.0
846202,9904128,104640512,15156416,19025920,540672,951250.0,4366.0
846343,10104832,147922944,15160720,19025920,540672,951250.0,4366.0
846479,10043392,117923840,15156480,19025920,540672,880312.0,4366.0
846612,9900032,64954368,15156288,19025920,540672,880312.0,4366.0
846749,10039296,109596672,15156480,19025920,540672,880312.0,4366.0
846890,10047488,162828288,15156544,19025920,540672,1003750.0,4366.0
847025,9961472,88494080,15156544,19025920,540672,1003750.0,4366.0
847157,10027008,80646144,15156480,19025920,540672,954375.0,4366.0
847297,10035200,135831552,15156736,19025920,540672,954375.0,4366.0
