tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
20587365,9379840,77803520,11021104,15532032,573440,713437.0,4318.0
20587484,9445376,145944576,11021296,15536128,573440,632500.0,4318.0
20587601,9764864,271757312,11083456,15536128,737280,632500.0,4318.0
20587718,11833344,271757312,10916464,15536128,737280,532812.0,4318.0
20588287,13152256,279699456,10918512,15532032,749568,532812.0,4318.0
20588456,12435456,222568448,10898464,15532032,753664,654687.0,4318.0
20589079,12685312,278761472,10898464,15532032,753664,654687.0,4318.0
20589267,11096064,273080320,10898640,15532032,753664,1176562.0,4318.0
20589386,12509184,273084416,10898512,15532032,753664,1176562.0,4318.0
20589627,13901824,280805376,10898512,15532032,753664,1468125.0,4318.0
20589872,11206656,273084416,10898640,15532032,753664,1468125.0,4318.0
20589991,12488704,273088512,10898512,15532032,753664,670000.0,4318.0
20590215,13361152,283324416,10898624,15532032,753664,597812.0,4318.0
20590418,11223040,273068032,10898640,15532032,753664,597812.0,4318.0
20590536,12369920,273072128,10898512,15532032,753664,590000.0,4318.0
20590767,12902400,279687168,10898512,15532032,753664,590000.0,4318.0
20591007,11202560,273068032,10898640,15532032,753664,641875.0,4318.0
20591125,12451840,273072128,10898640,15532032,753664,641875.0,4318.0
20591243,10817536,136740864,10898704,15532032,753664,641875.0,4318.0
20591380,14352384,288628736,10898704,15532032,753664,1229375.0,4318.0
20591499,10194944,232652800,10898640,15532032,753664,1229375.0,4318.0
20591624,12251136,273068032,10898640,15532032,753664,1229375.0,4318.0
20591743,12382208,280690688,10898928,15532032,753664,672812.0,4318.0
20591869,13717504,282337280,10898560,15532032,753664,672812.0,4318.0
20592011,11304960,273084416,10898768,15532032,753664,672812.0,4318.0
20592130,12500992,273088512,10865872,15532032,753664,918750.0,4318.0
20592362,11403264,281759744,10866272,15532032,704512,918750.0,4318.0
20592499,9687040,191782912,10866208,15532032,704512,1299062.0,4318.0
20592631,11808768,273084416,10866208,15532032,704512,1299062.0,4318.0
20592753,12505088,273133568,10866080,15532032,704512,866250.0,4318.0
20592943,14200832,281018368,10866080,15532032,704512,866250.0,4318.0
20593130,11370496,273080320,10866208,15532032,704512,683750.0,4318.0
20593269,12660736,273084416,10865984,15532032,704512,683750.0,4318.0
20593516,13856768,280219648,10866080,15532032,704512,1573437.0,4318.0
20593695,11165696,273084416,10866208,15532032,704512,1573437.0,4318.0
20593815,12419072,273088512,10866080,15532032,704512,622500.0,4318.0
20594047,14438400,281083904,10866080,15532032,704512,549687.0,4318.0
20594302,11284480,273080320,10866208,15532032,704512,549687.0,4318.0
20594421,12705792,273084416,10866080,15532032,704512,569375.0,4318.0
20594693,13701120,281600000,10866080,15532032,704512,569375.0,4318.0
20594875,11255808,273080320,10866208,15532032,704512,654062.0,4318.0
20595003,12398592,273084416,10866080,15532032,704512,654062.0,4318.0
20595230,13905920,280104960,10867072,15532032,704512,1444375.0,4318.0
20595499,11251712,273080320,10867200,15532032,704512,1444375.0,4318.0
20595619,12750848,273084416,10867072,15532032,704512,601250.0,4318.0
20595859,11894784,282750976,10867072,15532032,704512,776875.0,4318.0
20596386,14356480,280915968,10867184,15532032,704512,776875.0,4318.0
20596614,11378688,273084416,10867200,15532032,704512,658125.0,4318.0
20596733,12632064,273088512,10867072,15532032,704512,658125.0,4318.0
20596977,14213120,281260032,10866960,15532032,704512,1594062.0,4318.0
20597178,11386880,273080320,10867088,15532032,704512,1594062.0,4318.0
20597313,12484608,273084416,10866960,15532032,704512,625625.0,4318.0
20597527,12836864,280371200,10866960,15532032,704512,625625.0,4318.0
20597682,11329536,273084416,10867088,15532032,704512,604687.0,4318.0
20597803,12341248,273088512,10866960,15532032,704512,604687.0,4318.0
20598038,11907072,281935872,10867008,15532032,704512,1546250.0,4318.0
20598159,11714560,285720576,10866960,15532032,704512,1546250.0,4318.0
20598299,11190272,273100800,10867088,15532032,704512,1546250.0,4318.0
20598418,12275712,273104896,10866960,15532032,704512,624062.0,4318.0
20598651,13484032,280064000,10866976,15532032,704512,615625.0,4318.0
20598905,11493376,273092608,10866992,15532032,704512,615625.0,4318.0
20599025,12570624,273096704,10866960,15532032,704512,644062.0,4318.0
20599263,11845632,281571328,10867152,15532032,704512,644062.0,4318.0
20599396,13152256,289599488,10867152,15532032,704512,644062.0,4318.0
20599515,10412032,273096704,10867088,15532032,704512,855625.0,4318.0
20599640,12414976,273100800,10866960,15532032,704512,579687.0,4318.0
20599907,11665408,281309184,10866960,15532032,704512,579687.0,4318.0
20600038,14024704,284561408,10866960,15532032,704512,579687.0,4318.0
20600199,11063296,273080320,10867088,15532032,704512,1568437.0,4318.0
20600319,12562432,273084416,10866960,15532032,704512,1568437.0,4318.0
20600579,12955648,279920640,10866960,15532032,704512,672500.0,4318.0
20600792,11313152,273080320,10867088,15532032,704512,672500.0,4318.0
20600912,12660736,273084416,10866960,15532032,704512,715625.0,4318.0
20601140,13680640,281608192,10867136,15532032,704512,674687.0,4318.0
20601354,11251712,273084416,10867216,15532032,704512,674687.0,4318.0
20601473,12496896,273088512,10867088,15532032,704512,590312.0,4318.0
20601743,13144064,280289280,10867088,15532032,704512,590312.0,4318.0
20601916,11300864,273080320,10867216,15532032,704512,760312.0,4318.0
20602059,12345344,273084416,10867376,15532032,708608,760312.0,4318.0
20602262,13434880,279560192,10869104,15532032,708608,1255625.0,4318.0
20602657,11612160,273084416,10869120,15532032,708608,1465000.0,4318.0
20602778,12414976,273088512,10868992,15532032,708608,1465000.0,4318.0
20602967,14352384,280911872,10871120,15532032,708608,1448125.0,4318.0
20603359,11489280,273076224,10871136,15532032,708608,1318437.0,4318.0
20603478,12599296,273080320,10871008,15532032,708608,1318437.0,4318.0
20603727,15147008,283258880,10863056,15532032,688128,640312.0,4318.0
20604410,12128256,281309184,10855408,15532032,667648,1575000.0,4318.0
20604625,11169792,273072128,10855424,15532032,667648,1575000.0,4318.0
20604743,13389824,273072128,10855424,15532032,667648,619687.0,4318.0
20604883,13631488,282509312,10855424,15532032,667648,619687.0,4318.0
20605026,11522048,137854976,10847632,15532032,667648,1455000.0,4318.0
20605183,11988992,294371328,10847632,15532032,647168,1455000.0,4318.0
20605321,10444800,254582784,10847568,15532032,647168,1455000.0,4318.0
20605454,12689408,273072128,10847568,15532032,647168,614062.0,4318.0
20605596,13369344,273080320,10847568,15532032,647168,614062.0,4318.0
20605737,13676544,301309952,10847440,15532032,647168,590625.0,4318.0
20605874,13754368,279662592,10847440,15532032,647168,641250.0,4318.0
20606275,11251712,273084416,10847568,15532032,647168,641250.0,4318.0
20606396,12722176,273088512,10847440,15532032,647168,676250.0,4318.0
20606672,13680640,279322624,10839632,15532032,626688,540312.0,4318.0
20607094,11227136,273084416,10839712,15532032,626688,540312.0,4318.0
20607215,13225984,273088512,10839584,15532032,626688,627812.0,4318.0
20607498,14041088,279724032,10831840,15532032,606208,1189375.0,4318.0
20607925,11796480,273080320,10816144,15532032,565248,908750.0,4318.0
20608047,12292096,274944000,10816016,15532032,565248,908750.0,4318.0
20608186,10604544,151896064,10816016,15532032,565248,908750.0,4318.0
20608305,11104256,245682176,10816208,15532032,565248,865937.0,4318.0
20608443,10604544,235331584,10816144,15532032,565248,865937.0,4318.0
20608586,12705792,273084416,10815904,15532032,565248,592500.0,4318.0
20608906,10936320,165367808,10815904,15532032,565248,592500.0,4318.0
20609025,13111296,216453120,10816096,15532032,565248,615312.0,4318.0
20609163,16412672,233062400,10816160,15532032,565248,615312.0,4318.0
20609305,10244096,213266432,10816032,15532032,565248,943437.0,4318.0
20609455,12668928,273084416,10815808,15532032,565248,557500.0,4318.0
20609790,11001856,167804928,10815808,15532032,565248,557500.0,4318.0
20609909,13209600,215949312,10816000,15532032,565248,557500.0,4318.0
20610047,16580608,232710144,10816000,15532032,565248,610937.0,4318.0
20610187,11718656,175476736,10808128,15532032,544768,610937.0,4318.0
