tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52526223,9838592,9707520,10852544,15962112,651264,714062.0,4253.0
52526383,9838592,9711616,10852544,15962112,651264,714062.0,4253.0
52526513,9838592,9711616,10852544,15962112,651264,845000.0,4253.0
52526643,9838592,9715712,10852544,15962112,651264,845000.0,4253.0
52526779,9838592,9715712,10852544,15962112,651264,845000.0,4253.0
52526908,9838592,9715712,10852544,15962112,651264,826562.0,4253.0
52527039,9838592,9715712,10852544,15962112,651264,826562.0,4253.0
52527171,9838592,9719808,10852544,15962112,651264,826562.0,4253.0
52527303,9838592,9719808,10852544,15962112,651264,836562.0,4253.0
52527436,9838592,9719808,10852544,15962112,651264,836562.0,4253.0
52527568,9838592,9723904,10852544,15962112,651264,814375.0,4253.0
52527699,9838592,9723904,10852544,15962112,651264,814375.0,4253.0
52527831,9838592,9723904,10852544,15962112,651264,814375.0,4253.0
52527963,9838592,9728000,10852544,15962112,651264,825625.0,4253.0
52528095,9838592,9728000,10852544,15962112,651264,825625.0,4253.0
52528223,9838592,9728000,10852544,15962112,651264,825625.0,4253.0
52528355,9838592,9732096,10852544,15962112,651264,865000.0,4253.0
52528483,9838592,9732096,10852544,15962112,651264,865000.0,4253.0
52528615,9838592,9732096,10852544,15962112,651264,861250.0,4253.0
52528745,9838592,9736192,10852544,15962112,651264,861250.0,4253.0
52528875,9838592,9736192,10852544,15962112,651264,861250.0,4253.0
52529007,9838592,9736192,10852544,15962112,651264,835312.0,4253.0
52529142,9838592,9740288,10852544,15962112,651264,835312.0,4253.0
52529275,9838592,9740288,10852544,15962112,651264,835312.0,4253.0
52529403,9838592,9740288,10852544,15962112,651264,813437.0,4253.0
52529536,9838592,9744384,10852544,15962112,651264,813437.0,4253.0
52529664,9838592,9744384,10852544,15962112,651264,846875.0,4253.0
52529797,9838592,9744384,10852544,15962112,651264,846875.0,4253.0
52529931,9838592,9748480,10852544,15962112,651264,846875.0,4253.0
52530063,9838592,9748480,10852544,15962112,651264,865000.0,4253.0
52530195,9838592,9748480,10852608,15962112,651264,865000.0,4253.0
52530323,9838592,9752576,10852608,15962112,651264,865000.0,4253.0
52530455,9838592,9752576,10852608,15962112,651264,907812.0,4253.0
52530588,9838592,9752576,10852608,15962112,651264,907812.0,4253.0
52530720,9838592,9756672,10852608,15962112,651264,860937.0,4253.0
52530853,9838592,9756672,10852608,15962112,651264,860937.0,4253.0
52530983,9838592,9756672,10852608,15962112,651264,860937.0,4253.0
52531115,9838592,9760768,10852608,15962112,651264,872812.0,4253.0
52531247,9838592,9760768,10852608,15962112,651264,872812.0,4253.0
52531379,9838592,9760768,10852608,15962112,651264,872812.0,4253.0
52531507,9838592,9764864,10852608,15962112,651264,814062.0,4253.0
52531639,9838592,9764864,10852608,15962112,651264,814062.0,4253.0
52531771,9838592,9764864,10852608,15962112,651264,889687.0,4253.0
52531904,9838592,9764864,10852608,15962112,651264,889687.0,4253.0
52532035,9838592,9768960,10852608,15962112,651264,889687.0,4253.0
52532168,9838592,9768960,10852608,15962112,651264,910625.0,4253.0
52532300,9838592,9768960,10852608,15962112,651264,910625.0,4253.0
52532432,9838592,9773056,10852608,15962112,651264,910625.0,4253.0
52532564,9838592,9773056,10852608,15962112,651264,822500.0,4253.0
52532695,9838592,9773056,10852608,15962112,651264,822500.0,4253.0
52532827,9838592,9777152,10852608,15962112,651264,858437.0,4253.0
52532959,9838592,9777152,10852608,15962112,651264,858437.0,4253.0
52533091,9838592,9777152,10852608,15962112,651264,858437.0,4253.0
52533223,9838592,9781248,10852608,15962112,651264,790312.0,4253.0
52533351,9838592,9781248,10852608,15962112,651264,790312.0,4253.0
52533484,9838592,9781248,10852608,15962112,651264,790312.0,4253.0
52533623,9838592,9785344,10852608,15962112,651264,814062.0,4253.0
52533755,9838592,9785344,10852608,15962112,651264,814062.0,4253.0
52533888,9838592,9785344,10852608,15962112,651264,785937.0,4253.0
52534023,9838592,9789440,10852608,15962112,651264,785937.0,4253.0
52534152,9838592,9789440,10852608,15962112,651264,785937.0,4253.0
52534289,9838592,9789440,10852608,15962112,651264,773125.0,4253.0
52534419,9838592,9793536,10852608,15962112,651264,773125.0,4253.0
52534551,9838592,9793536,10852608,15962112,651264,773125.0,4253.0
52534684,9838592,9793536,10852608,15962112,651264,804375.0,4253.0
52534817,9838592,9797632,10852608,15962112,651264,804375.0,4253.0
52534951,9838592,9797632,10852608,15962112,651264,792500.0,4253.0
52535083,9838592,9797632,10852608,15962112,651264,792500.0,4253.0
52535216,9838592,9801728,10852608,15962112,651264,792500.0,4253.0
52535348,9838592,9801728,10852608,15962112,651264,778437.0,4253.0
52535481,9838592,9801728,10852608,15962112,651264,778437.0,4253.0
52535615,9838592,9805824,10852608,15962112,651264,778437.0,4253.0
52535747,9838592,9805824,10852608,15962112,651264,806875.0,4253.0
52535880,9838592,9805824,10852608,15962112,651264,806875.0,4253.0
52536011,9838592,9809920,10852608,15962112,651264,795625.0,4253.0
52536140,9838592,9809920,10852608,15962112,651264,795625.0,4253.0
52536272,9838592,9809920,10852608,15962112,651264,795625.0,4253.0
52536404,9838592,9809920,10852608,15962112,651264,796562.0,4253.0
52536537,9838592,9814016,10852608,15962112,651264,796562.0,4253.0
52536667,9838592,9814016,10852608,15962112,651264,796562.0,4253.0
52536801,9838592,9814016,10852608,15962112,651264,803437.0,4253.0
52536935,9838592,9818112,10852608,15962112,651264,803437.0,4253.0
52537064,9838592,9818112,10852608,15962112,651264,809375.0,4253.0
52537195,9838592,9818112,10852608,15962112,651264,809375.0,4253.0
52537327,9838592,9822208,10852608,15962112,651264,809375.0,4253.0
52537456,9838592,9822208,10852608,15962112,651264,795312.0,4253.0
52537589,9838592,9822208,10852608,15962112,651264,795312.0,4253.0
52537724,9838592,9826304,10852608,15962112,651264,776562.0,4253.0
52537914,9838592,9826304,10852608,15962112,651264,776562.0,4253.0
52538104,9838592,9826304,10852608,15962112,651264,743437.0,4253.0
52538336,9838592,9830400,10852608,15962112,651264,743437.0,4253.0
52538568,9838592,9830400,10837072,15962112,638976,725937.0,4253.0
52538736,9838592,9830400,10829280,15962112,626688,725937.0,4253.0
52538921,9838592,9834496,10798256,15962112,589824,700312.0,4253.0
