tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
22736328,10092544,28766208,16258976,19042304,3178496,684062.0,3731.0
22736488,10092544,30359552,16259088,19042304,3178496,684062.0,3731.0
22736620,10092544,31694848,16259088,19042304,3178496,856875.0,3731.0
22736761,10092544,33128448,16259088,19042304,3178496,856875.0,3731.0
22736899,10235904,34504704,16259088,19042304,3178496,808750.0,3731.0
22737028,10219520,11390976,16259088,19042304,3178496,808750.0,3731.0
22737159,10219520,12664832,16259056,19042304,3178496,808750.0,3731.0
22737298,10219520,13926400,16259088,19042304,3178496,654687.0,3731.0
22737439,10219520,15286272,16258976,19042304,3178496,654687.0,3731.0
22737582,10219520,16670720,16259056,19042304,3178496,681250.0,3731.0
22737712,10219520,17948672,16258976,19042304,3178496,681250.0,3731.0
22737842,10219520,19214336,16259088,19042304,3178496,681250.0,3731.0
22737971,10219520,20475904,16259056,19042304,3178496,560937.0,3731.0
22738112,10219520,21860352,16259088,19042304,3178496,560937.0,3731.0
22738241,10219520,23150592,16259088,19042304,3178496,560937.0,3731.0
22738371,10219520,24383488,16259088,19042304,3178496,833125.0,3731.0
22738512,10219520,25755648,16259152,19042304,3178496,833125.0,3731.0
22738648,10219520,27123712,16259088,19042304,3178496,826250.0,3731.0
22738790,10219520,28516352,16259088,19042304,3178496,826250.0,3731.0
22738932,10219520,29822976,16259088,19042304,3178496,826250.0,3731.0
22739072,10219520,31039488,16259184,19042304,3178496,776562.0,3731.0
22739215,10219520,32301056,16259088,19042304,3178496,776562.0,3731.0
22739357,10219520,33595392,16259088,19042304,3178496,673750.0,3731.0
22739502,10334208,34963456,16263104,19042304,3178496,673750.0,3731.0
22739648,10080256,9424896,16258272,19042304,3178496,673750.0,3731.0
22739776,10080256,10510336,16258272,19042304,3178496,832187.0,3731.0
22739916,10080256,11726848,16258384,19042304,3178496,832187.0,3731.0
22740058,10080256,12972032,16258272,19042304,3178496,622187.0,3731.0
22740189,10080256,14131200,16258272,19042304,3178496,622187.0,3731.0
22740328,10080256,15392768,16258272,19042304,3178496,622187.0,3731.0
22740469,10080256,16707584,16258272,19042304,3178496,841562.0,3731.0
22740603,10080256,17920000,16258384,19042304,3178496,841562.0,3731.0
22740732,10080256,19079168,16258272,19042304,3178496,590000.0,3731.0
22740871,10080256,20336640,16258272,19042304,3178496,590000.0,3731.0
22741000,10080256,21487616,16258272,19042304,3178496,590000.0,3731.0
22741138,10080256,22781952,16258304,19042304,3178496,599062.0,3731.0
22741279,10080256,24125440,16258384,19042304,3178496,599062.0,3731.0
22741421,10080256,25501696,16258272,19042304,3178496,678437.0,3731.0
22741566,10080256,26877952,16258384,19042304,3178496,678437.0,3731.0
22741710,10080256,28200960,16258384,19042304,3178496,678437.0,3731.0
22741850,10080256,29536256,16258384,19042304,3178496,533437.0,3731.0
22741993,10080256,30892032,16258384,19042304,3178496,533437.0,3731.0
22742143,10080256,32268288,16258272,19042304,3178496,713750.0,3731.0
22742286,10211328,8732672,16258576,19042304,3178496,713750.0,3731.0
22742427,10211328,10055680,16258400,19042304,3178496,713750.0,3731.0
22742556,10211328,11284480,16258448,19042304,3178496,573750.0,3731.0
22742696,10211328,12644352,16258480,19042304,3178496,573750.0,3731.0
22742837,10211328,13991936,16258368,19042304,3178496,717812.0,3731.0
22742979,10211328,15400960,16258480,19042304,3178496,717812.0,3731.0
