tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
3847671,10125312,72306688,15410240,19316736,536576,590937.0,4267.0
3847797,10125312,72306688,15410240,19316736,540672,490937.0,4267.0
3847935,10125312,72306688,15410240,19316736,540672,490937.0,4267.0
3848072,10125312,72310784,15410240,19316736,540672,490937.0,4267.0
3848213,10125312,72310784,15410240,19316736,540672,507187.0,4267.0
3848357,10125312,72310784,15410240,19316736,540672,507187.0,4267.0
3848504,10125312,72310784,15410240,19316736,540672,475625.0,4267.0
3848642,10125312,72314880,15410240,19316736,540672,475625.0,4267.0
3848777,10125312,72314880,15410240,19316736,540672,475625.0,4267.0
3848922,10125312,72314880,15410240,19316736,540672,611875.0,4267.0
3849069,10125312,72318976,15410240,19316736,540672,611875.0,4267.0
3849216,10125312,72318976,15410240,19316736,540672,497812.0,4267.0
3849358,10125312,72318976,15410240,19316736,540672,497812.0,4267.0
3849500,10125312,72323072,15410240,19316736,540672,497812.0,4267.0
3849637,10125312,72323072,15410240,19316736,540672,613437.0,4267.0
3849777,10125312,72323072,15410240,19316736,540672,613437.0,4267.0
3849919,10125312,72327168,15410240,19316736,540672,541250.0,4267.0
3850068,10125312,72327168,15410240,19316736,540672,541250.0,4267.0
3850212,10125312,72327168,15410240,19316736,540672,541250.0,4267.0
3850361,10125312,72331264,15410240,19316736,540672,566250.0,4267.0
3850512,10125312,72331264,15410240,19316736,540672,566250.0,4267.0
3850649,10125312,72331264,15410240,19316736,540672,581875.0,4267.0
3850791,10125312,72335360,15410240,19316736,540672,581875.0,4267.0
3850932,10125312,72335360,15410240,19316736,540672,618750.0,4267.0
3851076,10125312,72335360,15410240,19316736,540672,618750.0,4267.0
3851224,10125312,72339456,15410240,19316736,540672,618750.0,4267.0
3851372,10125312,72339456,15410240,19316736,540672,500937.0,4267.0
3851524,10125312,72339456,15410240,19316736,540672,500937.0,4267.0
3851668,10125312,72343552,15410240,19316736,540672,494687.0,4267.0
3851806,10125312,72343552,15410240,19316736,540672,494687.0,4267.0
3851953,10125312,72343552,15410240,19316736,540672,494687.0,4267.0
3852105,10125312,72347648,15410240,19316736,540672,580312.0,4267.0
3852245,10125312,72347648,15410240,19316736,540672,580312.0,4267.0
3852388,10125312,72347648,15410240,19316736,540672,522187.0,4267.0
3852526,10125312,72351744,15410240,19316736,540672,522187.0,4267.0
3852662,10125312,72351744,15410240,19316736,540672,522187.0,4267.0
3852804,10125312,72351744,15410240,19316736,540672,672812.0,4267.0
3852949,10125312,72351744,15410240,19316736,540672,672812.0,4267.0
3853094,10125312,72355840,15410240,19316736,540672,551875.0,4267.0
3853235,10125312,72355840,15410240,19316736,540672,551875.0,4267.0
3853380,10125312,72355840,15410240,19316736,540672,551875.0,4267.0
