tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
1371083,10194944,121802752,15097728,19034112,536576,994687.0,4303.0
1371226,10215424,94711808,15093104,19034112,540672,994687.0,4303.0
1371364,10010624,59756544,15093104,19034112,540672,994687.0,4303.0
1371507,10027008,125267968,15093104,19034112,540672,743437.0,4303.0
1371646,10215424,47640576,15092976,19034112,540672,743437.0,4303.0
1371792,10108928,116482048,15092976,19034112,540672,624687.0,4303.0
1371939,10174464,150790144,15096960,19034112,540672,624687.0,4303.0
1372072,10117120,156086272,15092976,19034112,540672,624687.0,4303.0
1372202,10010624,127131648,15092976,19034112,540672,807187.0,4303.0
1372330,10076160,47788032,15093040,19034112,540672,807187.0,4303.0
1372459,9953280,66883584,15093040,19034112,540672,682812.0,4303.0
1372600,10096640,108535808,15097280,19034112,540672,682812.0,4303.0
1372740,10108928,143921152,15093552,19034112,540672,682812.0,4303.0
1372871,10010624,98865152,15092912,19034112,540672,652812.0,4303.0
1373002,10076160,56283136,15092912,19034112,540672,652812.0,4303.0
1373140,9953280,82145280,15092912,19034112,540672,652812.0,4303.0
1373278,10092544,108412928,15097152,19034112,540672,717500.0,4303.0
1373418,10104832,144224256,15093104,19034112,540672,717500.0,4303.0
1373551,10006528,114462720,15093232,19034112,540672,623437.0,4303.0
1373681,10072064,52252672,15093232,19034112,540672,623437.0,4303.0
1373817,9953280,83443712,15093168,19034112,540672,623437.0,4303.0
1373957,10092544,120369152,15097408,19034112,540672,719062.0,4303.0
1374092,10100736,146931712,15093424,19034112,540672,719062.0,4303.0
1374223,10006528,102764544,15093168,19034112,540672,763750.0,4303.0
1374357,10072064,57397248,15093424,19034112,540672,763750.0,4303.0
1374497,9949184,95928320,15093168,19034112,540672,763750.0,4303.0
1374635,10092544,133074944,15097408,19034112,540672,846875.0,4303.0
1374772,10100736,155336704,15093360,19034112,540672,846875.0,4303.0
1374903,10006528,118460416,15093104,19034112,540672,846875.0,4303.0
1375032,10072064,62103552,15093104,19034112,540672,921875.0,4303.0
1375163,9945088,55291904,15093104,19034112,540672,921875.0,4303.0
1375302,10076160,90443776,15094064,19034112,540672,719375.0,4303.0
1375450,10096640,140021760,15093360,19034112,540672,719375.0,4303.0
1375585,9998336,137973760,15093168,19034112,540672,719375.0,4303.0
1375720,10072064,74530816,15093104,19034112,540672,826562.0,4303.0
1375861,9949184,71917568,15093104,19034112,540672,826562.0,4303.0
1376001,10080256,103481344,15095552,19034112,540672,623437.0,4303.0
1376143,10096640,139866112,15093360,19034112,540672,623437.0,4303.0
1376276,10137600,150810624,15093360,19034112,540672,623437.0,4303.0
1376408,10072064,52412416,15094192,19034112,540672,690000.0,4303.0
1376540,9945088,70909952,15093168,19034112,540672,690000.0,4303.0
1376658,10076160,81043456,15093360,19034112,540672,690000.0,4303.0
1376792,9949184,111247360,15093552,19034112,540672,840937.0,4303.0
1376931,10149888,146087936,15097536,19034112,540672,840937.0,4303.0
1377068,10088448,140419072,15093360,19034112,540672,606562.0,4303.0
1377199,9945088,71434240,15093360,19034112,540672,606562.0,4303.0
1377335,10072064,67043328,15093296,19034112,540672,606562.0,4303.0
1377478,10080256,111419392,15094256,19034112,540672,715000.0,4303.0
1377624,10129408,155398144,15093360,19034112,540672,715000.0,4303.0
1377760,10067968,77672448,15093424,19034112,540672,669687.0,4303.0
1377899,9945088,68562944,15093360,19034112,540672,669687.0,4303.0
