tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
59376189,22646784,25370624,0,16052224,557056,1220312.0,4194.0
59376323,34762752,25374720,0,16052224,557056,1220312.0,4194.0
59376459,47697920,25374720,0,16052224,557056,955937.0,4194.0
59376600,61534208,25374720,0,16052224,557056,955937.0,4194.0
59376742,74350592,25378816,0,16052224,557056,955937.0,4194.0
59376884,87994368,25378816,0,16052224,557056,933437.0,4194.0
59377034,101441536,25378816,0,16052224,557056,933437.0,4194.0
59377177,115003392,25382912,0,16052224,557056,933750.0,4194.0
59377323,129351680,25382912,0,16052224,557056,933750.0,4194.0
59377466,143228928,25382912,0,16052224,557056,933750.0,4194.0
59377611,155996160,25387008,0,16052224,557056,899687.0,4194.0
59377755,168521728,25387008,0,16052224,557056,899687.0,4194.0
59377908,183574528,25387008,0,16052224,557056,759375.0,4194.0
59378053,197287936,25387008,0,16052224,557056,759375.0,4194.0
59378195,210550784,25391104,0,16052224,557056,759375.0,4194.0
59378337,222670848,25391104,0,16052224,557056,861875.0,4194.0
59378484,235839488,25391104,0,16052224,557056,861875.0,4194.0
59378625,249376768,25395200,0,16052224,557056,900937.0,4194.0
59378771,263639040,25395200,0,16052224,557056,900937.0,4194.0
59378922,277225472,25395200,0,16052224,557056,939375.0,4194.0
59379064,282673152,25399296,0,16052224,557056,939375.0,4194.0
59379206,282673152,25399296,0,16052224,557056,939375.0,4194.0
59379348,282673152,25399296,0,16052224,557056,773750.0,4194.0
59379495,282673152,25403392,0,16052224,557056,773750.0,4194.0
59379642,282673152,25403392,0,16052224,557056,725312.0,4194.0
59379786,282673152,25403392,0,16052224,557056,725312.0,4194.0
59379932,282673152,25407488,0,16052224,557056,725312.0,4194.0
59380074,282673152,25407488,0,16052224,557056,767187.0,4194.0
59380216,282673152,25407488,0,16052224,557056,767187.0,4194.0
59380358,282673152,25411584,0,16052224,557056,732500.0,4194.0
59380500,282673152,25411584,0,16052224,557056,732500.0,4194.0
59380647,16338944,25411584,0,16052224,557056,732500.0,4194.0
59380783,28930048,25415680,0,16052224,557056,804062.0,4194.0
59380920,41582592,25415680,0,16052224,557056,804062.0,4194.0
59381056,54362112,25415680,0,16052224,557056,857187.0,4194.0
59381202,67006464,25419776,0,16052224,557056,857187.0,4194.0
59381346,81018880,25419776,0,16052224,557056,857187.0,4194.0
59381490,93687808,25419776,0,16052224,557056,888437.0,4194.0
59381640,107728896,25423872,0,16052224,557056,888437.0,4194.0
59381786,120881152,25423872,0,16052224,557056,826562.0,4194.0
59381935,135135232,25423872,0,16052224,557056,826562.0,4194.0
59382077,146337792,25427968,0,16052224,741376,826562.0,4156.0
59382198,146345984,25427968,0,16052224,753664,695312.0,4156.0
59382338,146350080,25427968,0,16052224,770048,695312.0,4156.0
59382484,146350080,25432064,0,16052224,770048,214375.0,4156.0
59382629,146354176,25432064,0,16052224,770048,214375.0,4156.0
59382779,146354176,25432064,0,16052224,770048,255625.0,4156.0
59382931,146354176,25436160,0,16052224,774144,255625.0,4156.0
59383086,146354176,25436160,0,16052224,774144,255625.0,4156.0
59383240,146358272,25436160,0,16052224,774144,185937.0,4156.0
59383386,146358272,25440256,0,16052224,774144,185937.0,4156.0
59383530,146358272,25440256,0,16052224,774144,186875.0,4156.0
59383670,146358272,25440256,0,16052224,774144,186875.0,4156.0
59383810,146358272,25444352,0,16052224,774144,186875.0,4156.0
59383952,146358272,25444352,0,16052224,774144,251250.0,4156.0
59384094,146358272,25444352,0,16052224,774144,251250.0,4156.0
59384241,146358272,25448448,0,16052224,774144,173750.0,4156.0
59384384,146358272,25448448,0,16052224,774144,173750.0,4156.0
59384528,146358272,25448448,0,16052224,774144,173750.0,4156.0
59384679,146358272,25452544,0,16052224,774144,336250.0,4156.0
59384836,146358272,25452544,0,16052224,774144,336250.0,4156.0
59384981,146358272,25452544,0,16052224,774144,185937.0,4156.0
59385129,146358272,25456640,0,16052224,774144,185937.0,4156.0
59385279,146358272,25456640,0,16052224,774144,163750.0,4156.0
59385427,146358272,25456640,0,16052224,774144,163750.0,4156.0
59385569,146358272,25460736,0,16052224,774144,163750.0,4156.0
59385710,146358272,25460736,0,16052224,774144,291562.0,4156.0
59385857,146358272,25460736,0,16052224,774144,291562.0,4156.0
59385997,146358272,25464832,0,16052224,774144,156250.0,4156.0
59386142,146358272,25464832,0,16052224,774144,156250.0,4156.0
59386298,146358272,25464832,0,16052224,774144,225937.0,4156.0
59386450,146358272,25468928,0,16052224,774144,225937.0,4156.0
59386607,146358272,25468928,0,16052224,774144,225937.0,4156.0
59386755,146358272,25468928,0,16052224,774144,240312.0,4156.0
59386901,146358272,25473024,0,16052224,774144,240312.0,4156.0
59387049,146358272,25473024,0,16052224,774144,179687.0,4156.0
59387195,146358272,25473024,0,16052224,774144,179687.0,4156.0
59387336,146358272,25473024,0,16052224,774144,179687.0,4156.0
59387478,146358272,25477120,0,16052224,774144,255625.0,4156.0
59387632,146358272,25477120,0,16052224,774144,255625.0,4156.0
59387779,146358272,25477120,0,16052224,774144,161250.0,4156.0
59387929,146358272,25481216,0,16052224,774144,161250.0,4156.0
59388079,146358272,25481216,0,16052224,774144,288437.0,4156.0
59388226,146358272,25481216,0,16052224,774144,288437.0,4156.0
59388375,146358272,25485312,0,16052224,774144,288437.0,4156.0
59388517,146358272,25485312,0,16052224,774144,252812.0,4156.0
59388659,146358272,25485312,0,16052224,774144,252812.0,4156.0
59388805,146358272,25489408,0,16052224,774144,203437.0,4156.0
59388948,146358272,25489408,0,16052224,774144,203437.0,4156.0
59389092,146358272,25489408,0,16052224,774144,203437.0,4156.0
59389238,146358272,25493504,0,16052224,774144,262812.0,4156.0
59389380,146358272,25493504,0,16052224,774144,262812.0,4156.0
59389524,146358272,25493504,0,16052224,774144,156250.0,4156.0
59389667,146358272,25497600,0,16052224,774144,156250.0,4156.0
59389809,146358272,25497600,0,16052224,774144,156250.0,4156.0
59389954,146358272,25497600,0,16052224,774144,402187.0,4156.0
59390097,146358272,25501696,0,16052224,774144,402187.0,4156.0
59390242,146358272,25501696,0,16052224,774144,200312.0,4156.0
59390387,146358272,25501696,0,16052224,774144,200312.0,4156.0
59390535,146358272,25505792,0,16052224,774144,198125.0,4156.0
59390683,146358272,25505792,0,16052224,774144,198125.0,4156.0
59390834,146358272,25505792,0,16052224,774144,198125.0,4156.0
59390979,146358272,25509888,0,16052224,774144,195312.0,4156.0
59391121,146358272,25509888,0,16052224,774144,195312.0,4156.0
59391265,146358272,25509888,0,16052224,774144,169375.0,4156.0
59391414,146358272,25513984,0,16052224,774144,169375.0,4156.0
59391556,146358272,25513984,0,16052224,774144,169375.0,4156.0
59391701,146358272,25513984,0,16052224,774144,267812.0,4156.0
59391853,146358272,25518080,0,16052224,774144,267812.0,4156.0
59391997,146358272,25518080,0,16052224,774144,162500.0,4156.0
59392141,146358272,25518080,0,16052224,774144,162500.0,4156.0
59392288,146358272,25522176,0,16052224,774144,225000.0,4156.0
59392430,146358272,25522176,0,16052224,774144,225000.0,4156.0
59392568,146358272,25522176,0,16052224,774144,225000.0,4156.0
59392713,146358272,25526272,0,16052224,774144,193125.0,4156.0
59392862,146358272,25526272,0,16052224,774144,193125.0,4156.0
59393011,146358272,25526272,0,16052224,774144,268125.0,4156.0
59393153,146358272,25530368,0,16052224,774144,268125.0,4156.0
59393295,146358272,25530368,0,16052224,774144,268125.0,4156.0
59393438,146358272,25530368,0,16052224,774144,307500.0,4156.0
59393578,146358272,25534464,0,16052224,774144,307500.0,4156.0
59393718,146358272,25534464,0,16052224,774144,153125.0,4156.0
59393867,146358272,25534464,0,16052224,774144,153125.0,4156.0
59394016,146358272,25538560,0,16052224,774144,153125.0,4156.0
59394166,146358272,25538560,0,16052224,774144,266562.0,4156.0
59394316,146358272,25538560,0,16052224,774144,266562.0,4156.0
59394464,146358272,25542656,0,16052224,774144,185937.0,4156.0
59394614,146358272,25542656,0,16052224,774144,185937.0,4156.0
59394765,146358272,25542656,0,16052224,774144,146250.0,4156.0
59394916,146358272,25546752,0,16052224,774144,146250.0,4156.0
59395061,146358272,25546752,0,16052224,774144,146250.0,4156.0
59395205,146358272,25546752,0,16052224,774144,320000.0,4156.0
59395345,146358272,25550848,0,16052224,774144,320000.0,4156.0
59395492,146358272,25550848,0,16052224,774144,179687.0,4156.0
59395635,146358272,25550848,0,16052224,774144,179687.0,4156.0
59395782,146358272,25554944,0,16052224,774144,179687.0,4156.0
59395926,146358272,25554944,0,16052224,774144,292187.0,4156.0
59396074,146358272,25554944,0,16052224,774144,292187.0,4156.0
59396219,146358272,25559040,0,16052224,774144,206250.0,4156.0
59396360,146358272,25559040,0,16052224,774144,206250.0,4156.0
59396507,146358272,25559040,0,16052224,774144,235937.0,4156.0
59396648,146358272,25559040,0,16052224,774144,235937.0,4156.0
59396790,146358272,25563136,0,16052224,774144,235937.0,4156.0
59396937,146358272,25563136,0,16052224,774144,195000.0,4156.0
59397079,146358272,25563136,0,16052224,774144,195000.0,4156.0
59397236,146358272,25567232,0,16052224,774144,152187.0,4156.0
59397393,146358272,25567232,0,16052224,774144,152187.0,4156.0
59397544,146358272,25567232,0,16052224,774144,152187.0,4156.0
59397694,146358272,25571328,0,16052224,774144,262187.0,4156.0
59397837,146358272,25571328,0,16052224,774144,262187.0,4156.0
59397981,146358272,25571328,0,16052224,774144,202187.0,4156.0
59398123,146358272,25575424,0,16052224,774144,202187.0,4156.0
59398274,146358272,25575424,0,16052224,774144,149062.0,4156.0
59398422,146358272,25575424,0,16052224,774144,149062.0,4156.0
59398571,146358272,25579520,0,16052224,774144,149062.0,4156.0
59398729,146358272,25579520,0,16052224,774144,248437.0,4156.0
59398880,146358272,25579520,0,16052224,774144,248437.0,4156.0
59399029,146358272,25583616,0,16052224,774144,184687.0,4156.0
59399185,146358272,25583616,0,16052224,774144,184687.0,4156.0
59399332,146358272,25583616,0,16052224,774144,176875.0,4156.0
59399476,146358272,25587712,0,16052224,774144,176875.0,4156.0
59399621,146358272,25587712,0,16052224,774144,176875.0,4156.0
59399768,146358272,25587712,0,16052224,774144,211562.0,4156.0
59399910,146358272,25591808,0,16052224,774144,211562.0,4156.0
59400057,146358272,25591808,0,16052224,774144,206562.0,4156.0
59400199,146358272,25591808,0,16052224,774144,206562.0,4156.0
59400341,146358272,25595904,0,16052224,774144,206562.0,4156.0
59400483,146358272,25595904,0,16052224,774144,238125.0,4156.0
59400630,146358272,25595904,0,16052224,774144,238125.0,4156.0
59400777,146358272,25600000,0,16052224,774144,150000.0,4156.0
59400925,146358272,25600000,0,16052224,774144,150000.0,4156.0
59401072,146358272,25600000,0,16052224,774144,241250.0,4156.0
59401216,146358272,25604096,0,16052224,774144,241250.0,4156.0
59401363,146358272,25604096,0,16052224,774144,241250.0,4156.0
59401510,146358272,25604096,0,16052224,774144,187812.0,4156.0
59401655,146358272,25608192,0,16052224,774144,187812.0,4156.0
59401798,146358272,25608192,0,16052224,774144,155000.0,4156.0
59401943,146358272,25608192,0,16052224,774144,155000.0,4156.0
59402090,146358272,25612288,0,16052224,774144,155000.0,4156.0
59402233,146358272,25612288,0,16052224,774144,278125.0,4156.0
59402380,146358272,25612288,0,16052224,774144,278125.0,4156.0
59402523,146358272,25616384,0,16052224,774144,152187.0,4156.0
59402666,146358272,25616384,0,16052224,774144,152187.0,4156.0
59402811,146358272,25616384,0,16052224,774144,152187.0,4156.0
59402949,146358272,25620480,0,16052224,774144,249062.0,4156.0
59403098,146358272,25620480,0,16052224,774144,249062.0,4156.0
59403247,146358272,25620480,0,16052224,774144,213437.0,4156.0
59403391,146358272,25624576,0,16052224,774144,213437.0,4156.0
59403533,146358272,25624576,0,16052224,774144,263750.0,4156.0
59403675,146358272,25624576,0,16052224,774144,263750.0,4156.0
59403821,146358272,25628672,0,16052224,774144,263750.0,4156.0
59403964,146358272,25628672,0,16052224,774144,197187.0,4156.0
59404108,146358272,25628672,0,16052224,774144,197187.0,4156.0
59404248,146358272,25632768,0,16052224,774144,165312.0,4156.0
59404391,146358272,25632768,0,16052224,774144,165312.0,4156.0
59404554,146358272,25632768,0,16052224,774144,165312.0,4156.0
59404703,146358272,25636864,0,16052224,774144,273437.0,4156.0
59404851,146358272,25636864,0,16052224,774144,273437.0,4156.0
59404992,146358272,25636864,0,16052224,774144,208125.0,4156.0
59405136,146358272,25640960,0,16052224,774144,208125.0,4156.0
59405284,146358272,25640960,0,16052224,774144,208125.0,4156.0
59405426,146358272,25640960,0,16052224,774144,234062.0,4156.0
59405569,146358272,25645056,0,16052224,774144,234062.0,4156.0
59405712,146358272,25645056,0,16052224,774144,164062.0,4156.0
59405855,146358272,25645056,0,16052224,774144,164062.0,4156.0
59405996,146358272,25645056,0,16052224,774144,321250.0,4156.0
59406139,146358272,25649152,0,16052224,774144,321250.0,4156.0
59406277,146358272,25649152,0,16101376,774144,321250.0,4156.0
59406420,146358272,25649152,0,16101376,774144,192500.0,4156.0
59406569,146358272,25653248,0,16101376,774144,192500.0,4156.0
59406719,146358272,25653248,0,16101376,774144,156250.0,4156.0
59406869,146358272,25653248,0,16101376,774144,156250.0,4156.0
59407013,146358272,25657344,0,16101376,774144,156250.0,4156.0
59407155,146358272,25657344,0,16101376,774144,235312.0,4156.0
59407302,146358272,25657344,0,16101376,774144,235312.0,4156.0
59407451,146358272,25661440,0,16101376,774144,153437.0,4156.0
59407592,146358272,25661440,0,16101376,774144,153437.0,4156.0
59407735,146358272,25661440,0,16101376,774144,153437.0,4156.0
59407884,146358272,25665536,0,16101376,774144,250312.0,4156.0
59408025,146358272,25665536,0,16101376,774144,250312.0,4156.0
59408163,146358272,25665536,0,16101376,774144,186875.0,4156.0
59408309,146358272,25669632,0,16101376,774144,186875.0,4156.0
59408450,146358272,25669632,0,16101376,774144,186875.0,4156.0
