tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
27792922,10092544,15515648,16356368,19292160,3293184,906250.0,3642.0
27793052,10092544,27578368,16421920,19292160,3293184,906250.0,3642.0
27793181,10223616,13049856,16421984,19292160,3293184,906250.0,3642.0
27793310,10223616,25059328,16374912,19292160,3293184,797812.0,3642.0
27793440,10088448,21553152,16374912,19292160,3293184,797812.0,3642.0
27793571,10088448,12947456,16314928,19292160,3293184,559687.0,3642.0
27793701,10088448,13037568,16314928,19292160,3293184,559687.0,3642.0
27793833,10088448,13123584,16314928,19292160,3293184,559687.0,3642.0
27793963,10088448,13213696,16314928,19292160,3293184,688125.0,3642.0
27794093,10088448,13299712,16314928,19292160,3293184,688125.0,3642.0
27794223,10088448,13389824,16314928,19292160,3293184,688125.0,3642.0
27794355,10088448,13479936,16314928,19292160,3293184,681562.0,3642.0
27794484,10088448,13570048,16314928,19292160,3293184,681562.0,3642.0
27794614,10088448,13656064,16314928,19292160,3293184,617187.0,3642.0
27794745,10088448,13746176,16314928,19292160,3293184,617187.0,3642.0
27794878,10088448,13836288,16314928,19292160,3293184,617187.0,3642.0
27795009,10088448,13926400,16314928,19292160,3293184,555937.0,3642.0
27795139,10088448,14016512,16314928,19292160,3293184,555937.0,3642.0
27795278,10088448,14110720,16314928,19292160,3293184,555937.0,3642.0
27795416,10088448,14204928,16314928,19292160,3293184,629062.0,3642.0
27795556,10088448,14303232,16314928,19292160,3293184,629062.0,3642.0
27795696,10088448,14401536,16314928,19292160,3293184,542500.0,3642.0
27795840,10088448,14495744,16315040,19292160,3293184,542500.0,3642.0
27795984,10088448,14598144,16314928,19292160,3293184,542500.0,3642.0
27796125,10088448,14692352,16314928,19292160,3293184,670312.0,3642.0
27796258,10088448,14782464,16314928,19292160,3293184,670312.0,3642.0
27796392,10088448,14876672,16315040,19292160,3293184,539375.0,3642.0
27796533,10088448,14970880,16314928,19292160,3293184,539375.0,3642.0
27796674,10088448,15065088,16314928,19292160,3293184,539375.0,3642.0
27796818,10088448,15167488,16315040,19292160,3293184,733750.0,3642.0
27796963,10088448,15265792,16314928,19292160,3293184,733750.0,3642.0
27797102,10088448,15360000,16314928,19292160,3293184,624375.0,3642.0
27797248,10088448,15462400,16315040,19292160,3293184,624375.0,3642.0
27797391,10088448,15556608,16314928,19292160,3293184,624375.0,3642.0
27797535,10088448,15654912,16314928,19292160,3293184,702812.0,3642.0
27797675,10088448,15753216,16314928,19292160,3293184,702812.0,3642.0
27797820,10088448,15851520,16315040,19292160,3293184,506875.0,3642.0
27797951,10088448,15941632,16314832,19292160,3293184,506875.0,3642.0
27798086,10088448,16035840,16314944,19292160,3293184,506875.0,3642.0
27798216,10088448,16121856,16314832,19292160,3293184,522187.0,3642.0
27798348,10088448,16211968,16314832,19292160,3293184,522187.0,3642.0
27798477,10088448,16302080,16314832,19292160,3293184,522187.0,3642.0
27798608,10088448,16388096,16314832,19292160,3293184,794062.0,3642.0
27798737,10088448,16478208,16314832,19292160,3293184,794062.0,3642.0
27798868,10088448,16568320,16314832,19292160,3293184,558125.0,3642.0
27799011,10088448,16666624,16314832,19292160,3293184,558125.0,3642.0
27799158,10088448,16764928,16314832,19292160,3293184,558125.0,3642.0
27799302,10088448,16867328,16314944,19292160,3293184,706250.0,3642.0
27799445,10088448,16961536,16314832,19292160,3293184,706250.0,3642.0
27799591,10088448,17059840,16314832,19292160,3293184,705937.0,3642.0
27799735,10088448,17162240,16314832,19292160,3293184,705937.0,3642.0
27799875,10088448,17256448,16314832,19292160,3293184,705937.0,3642.0
27800008,10088448,17346560,16314832,19292160,3293184,630937.0,3642.0
27800140,10088448,17432576,16314832,19292160,3293184,630937.0,3642.0
27800270,10088448,17522688,16314832,19292160,3293184,550937.0,3642.0
27800401,10088448,17612800,16314832,19292160,3293184,550937.0,3642.0
27800537,10088448,17702912,16314832,19292160,3293184,550937.0,3642.0
27800667,10088448,17797120,16314832,19292160,3293184,586250.0,3642.0
27800808,10088448,17891328,16314944,19292160,3293184,586250.0,3642.0
27800953,10088448,17985536,16314944,19292160,3293184,503125.0,3642.0
27801092,10088448,18083840,16314832,19292160,3293184,503125.0,3642.0
27801240,10088448,18186240,16314832,19292160,3293184,503125.0,3642.0
27801383,10088448,18284544,16314832,19292160,3293184,626562.0,3642.0
27801528,10088448,18386944,16314944,19292160,3293184,626562.0,3642.0
27801659,10088448,18472960,16314832,19292160,3293184,486875.0,3642.0
27801789,10088448,18563072,16314832,19292160,3293184,486875.0,3642.0
27801928,10088448,18661376,16314832,19292160,3293184,486875.0,3642.0
27802058,10088448,18747392,16314832,19292160,3293184,508750.0,3642.0
27802188,10088448,18833408,16314832,19292160,3293184,508750.0,3642.0
27802326,10088448,18931712,16314832,19292160,3293184,508750.0,3642.0
27802455,10088448,19017728,16314832,19292160,3293184,730000.0,3642.0
27802594,10088448,19111936,16314832,19292160,3293184,730000.0,3642.0
27802725,10088448,19206144,16314832,19292160,3293184,516562.0,3642.0
27802856,10088448,19292160,16314832,19292160,3293184,516562.0,3642.0
27802988,10088448,19382272,16314880,19292160,3293184,516562.0,3642.0
27803121,10088448,19476480,16314832,19292160,3293184,590000.0,3642.0
27803252,10088448,19562496,16314832,19292160,3293184,590000.0,3642.0
27803383,10088448,19652608,16314832,19292160,3293184,590000.0,3642.0
27803518,10088448,19746816,16314832,19292160,3293184,744687.0,3642.0
