tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
1742883,10117120,59543552,15196944,19034112,536576,532812.0,4308.0
1743047,10117120,59547648,15186416,19034112,540672,488125.0,4308.0
1743188,10117120,59547648,15197296,19034112,540672,488125.0,4308.0
1743331,10117120,59547648,15276688,19034112,540672,488125.0,4308.0
1743477,10117120,59551744,15276688,19034112,540672,492187.0,4308.0
1743634,10117120,59551744,15321488,19034112,540672,492187.0,4308.0
1743779,10117120,59551744,15321488,19034112,540672,542187.0,4308.0
1743926,10117120,59551744,15262576,19034112,540672,542187.0,4308.0
1744073,10117120,59555840,15321488,19034112,540672,542187.0,4308.0
1744214,10117120,59555840,15348368,19034112,540672,575312.0,4308.0
1744353,10117120,59555840,15348368,19034112,540672,575312.0,4308.0
1744495,10117120,59559936,15443056,19034112,540672,446562.0,4308.0
1744639,10117120,59559936,15443056,19034112,540672,446562.0,4308.0
1744780,10117120,59559936,15443056,19034112,540672,446562.0,4308.0
1744924,10117120,59564032,15443056,19034112,540672,664687.0,4308.0
1745066,10117120,59564032,15443056,19034112,540672,664687.0,4308.0
1745205,10117120,59564032,15443056,19034112,540672,462187.0,4308.0
1745347,10117120,59568128,15443056,19034112,540672,462187.0,4308.0
1745487,10117120,59568128,15574160,19034112,540672,462187.0,4308.0
1745630,10117120,59568128,15574160,19034112,540672,559687.0,4308.0
1745772,10117120,59572224,15574160,19034112,540672,559687.0,4308.0
1745914,10117120,59572224,15508608,19034112,540672,431875.0,4308.0
1746064,10117120,59572224,15443056,19034112,540672,431875.0,4308.0
1746201,10117120,59576320,15508608,19034112,540672,525937.0,4308.0
1746352,10117120,59576320,15574160,19034112,540672,525937.0,4308.0
1746491,10117120,59576320,15574160,19034112,540672,525937.0,4308.0
1746632,10117120,59580416,15574160,19034112,540672,476875.0,4308.0
1746782,10117120,59580416,15574160,19034112,540672,476875.0,4308.0
1746925,10117120,59580416,15574160,19034112,540672,448750.0,4308.0
1747066,10117120,59584512,15443056,19034112,540672,448750.0,4308.0
1747203,10117120,59584512,15508608,19034112,540672,448750.0,4308.0
1747339,10117120,59584512,15443056,19034112,540672,575625.0,4308.0
1747482,10117120,59588608,15574160,19034112,540672,575625.0,4308.0
1747623,10117120,59588608,15574160,19034112,540672,436875.0,4308.0
1747768,10117120,59588608,15443056,19034112,540672,436875.0,4308.0
1747921,10117120,59592704,15443056,19034112,540672,436875.0,4308.0
1748072,10117120,59592704,15443056,19034112,540672,526562.0,4308.0
1748208,10117120,59592704,15443056,19034112,540672,526562.0,4308.0
1748343,10117120,59592704,15443056,19034112,540672,465937.0,4308.0
1748479,10117120,59596800,15574160,19034112,540672,465937.0,4308.0
1748622,10117120,59596800,15574160,19034112,540672,465937.0,4308.0
