C-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10570253,9498624,10792960,153152752,19193856,397312,798350.0,4298.0
10570384,9498624,10792960,153161696,19193856,397312,537727.0,4298.0
10570518,9498624,10797056,153161696,19193856,397312,347600.0,4298.0
10570652,9498624,10797056,153161696,19193856,397312,341801.0,4298.0
10570787,9498624,10801152,153161696,19193856,397312,245669.0,4298.0
10570923,9498624,10801152,153161696,19193856,397312,292667.0,4298.0
10571059,9498624,10801152,153161696,19193856,397312,321354.0,4298.0
10571194,9498624,10805248,153161696,19193856,397312,308231.0,4298.0
10571330,9498624,10805248,153161696,19193856,397312,424505.0,4298.0
10571457,9498624,10809344,153161696,19193856,397312,326847.0,4298.0
10571592,9498624,10809344,153161696,19193856,397312,298771.0,4298.0
10571729,9498624,10809344,153161696,19193856,397312,450445.0,4298.0
10571857,9498624,10813440,153161696,19193856,397312,271610.0,4298.0
10571993,9498624,10813440,153161696,19193856,397312,246280.0,4298.0
10572129,9498624,10817536,153161696,19193856,397312,275577.0,4298.0
10572254,9498624,10817536,153161696,19193856,397312,255740.0,4298.0
10572388,9498624,10817536,153161696,19193856,397312,268253.0,4298.0
10572523,9498624,10821632,153170416,19193856,397312,264896.0,4298.0
10572659,9498624,10821632,153170416,19193856,397312,303959.0,4298.0
10572794,9498624,10825728,153170416,19193856,397312,310978.0,4298.0
10572931,9498624,10825728,153170416,19193856,397312,278629.0,4298.0
10573058,9498624,10829824,153170416,19193856,397312,270694.0,4298.0
10573193,9498624,10829824,153170416,19193856,397312,354924.0,4298.0
10573328,9498624,10829824,153170416,19193856,397312,367436.0,4298.0
10573464,9498624,10833920,153170416,19193856,397312,245364.0,4298.0
10573600,9498624,10833920,153170416,19193856,397312,329899.0,4298.0
10573737,9498624,10838016,153196576,19193856,397312,243228.0,4298.0
10573872,9498624,10838016,153196576,19193856,397312,509345.0,4298.0
10574009,9498624,10838016,153196576,19193856,397312,431219.0,4298.0
10574144,9498624,10842112,153196576,19193856,397312,341496.0,4298.0
10574280,9498624,10842112,153196576,19193856,397312,259403.0,4298.0
10574414,9498624,10846208,153196576,19193856,397312,240481.0,4298.0
10574549,9498624,10846208,153196576,19193856,397312,398870.0,4298.0
10574684,9498624,10846208,153196576,19193856,397312,329594.0,4298.0
10574819,9498624,10850304,153301216,19193856,397312,277713.0,4298.0
10574954,9498624,10850304,153301216,19193856,397312,264896.0,4298.0
10575090,9498624,10854400,153301216,19193856,397312,404058.0,4298.0
10575218,9498624,10854400,153301216,19193856,397312,349125.0,4298.0
10575353,9498624,10854400,153301216,19193856,397312,280460.0,4298.0
10575489,9498624,10858496,153301216,19193856,397312,289310.0,4298.0
10575624,9498624,10858496,153301216,19193856,397312,341801.0,4298.0
10575760,9498624,10862592,153301216,19193856,397312,308842.0,4298.0
10575895,9498624,10862592,153301216,19193856,397312,351262.0,4298.0
10576033,9498624,10862592,153719776,19193856,397312,284427.0,4298.0
10576168,9498624,10866688,153719776,19193856,397312,247500.0,4298.0
10576305,9498624,10866688,153719776,19193856,397312,411687.0,4298.0
10576441,9498624,10870784,153719776,19193856,397312,350041.0,4298.0
10576577,9498624,10870784,153719776,19193856,397312,305485.0,4298.0
10576713,9498624,10874880,153719776,19193856,397312,263370.0,4298.0
10576848,9498624,10874880,153719776,19193856,397312,261539.0,4298.0
10576983,9498624,10874880,153719776,19193856,397312,484931.0,4298.0
10577119,9498624,10878976,155402736,19193856,397312,446173.0,4298.0
10577255,9498624,10878976,155402736,19193856,397312,337223.0,4298.0
10577393,9498624,10883072,155402736,19193856,397312,337834.0,4298.0
10577530,9498624,10883072,155402736,19193856,397312,405889.0,4298.0
10577658,9498624,10883072,155402736,19193856,397312,310368.0,4298.0
10577794,9498624,10887168,155402736,19193856,397312,354924.0,4298.0
10577931,9498624,10887168,155402736,19193856,397312,301212.0,4298.0
10578067,9498624,10891264,155402736,19193856,397312,387578.0,4298.0
10578205,9498624,10891264,155402736,19193856,397312,285648.0,4298.0
10578340,9498624,10891264,162143296,19193856,397312,380254.0,4298.0
10578472,9498624,10895360,162143296,19193856,397312,449835.0,4298.0
10578604,9498624,10895360,162143296,19193856,397312,383306.0,4298.0
10578736,9498624,10899456,162143296,19193856,397312,495612.0,4298.0
10578868,9498624,10899456,162143296,19193856,397312,377812.0,4298.0
10579000,9498624,10899456,162143296,19193856,397312,420538.0,4298.0
10579132,9498624,10903552,162143296,19193856,397312,433965.0,4298.0
10579263,9498624,10903552,162143296,19193856,397312,414434.0,4298.0
10579395,9498624,10907648,162143296,19193856,397312,423895.0,4298.0
10579527,9498624,10907648,189088096,19193856,397312,421453.0,4298.0
10579659,9498624,10911744,189088096,19193856,397312,483405.0,4298.0
10579790,9498624,10911744,189088096,19193856,397312,438848.0,4298.0
10579920,9498624,10911744,189088096,19193856,397312,607613.0,4298.0
10580051,9498624,10915840,189088096,19193856,397312,439154.0,4298.0
10580182,9498624,10915840,189088096,19193856,397312,443426.0,4298.0
10580314,9498624,10919936,189088096,19193856,397312,671090.0,4298.0
10580445,9498624,10919936,189088096,19193856,397312,525214.0,4298.0
10580576,9498624,10919936,189088096,19193856,397312,495001.0,4298.0
fim
