C-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
7180174,9297920,12050432,9423376,18026496,393216,614632.0,4365.0
7180300,9297920,12050432,9423376,18026496,397312,406194.0,4365.0
7180425,9297920,12050432,9423376,18026496,397312,377202.0,4365.0
7180549,9297920,12054528,9423376,18026496,397312,367741.0,4365.0
7180673,9297920,12054528,9423376,18026496,397312,338139.0,4365.0
7180797,9297920,12058624,9423376,18026496,397312,386357.0,4365.0
7180922,9297920,12058624,9423376,18026496,397312,332035.0,4365.0
7181046,9297920,12058624,9423376,18026496,397312,274356.0,4365.0
7181170,9297920,12062720,9423376,18026496,397312,298160.0,4365.0
7181293,9297920,12062720,9423376,18026496,397312,325016.0,4365.0
7181419,9297920,12066816,9423504,18030592,397312,541084.0,4365.0
7181544,9297920,12066816,9423504,18030592,397312,397039.0,4365.0
7181669,9297920,12066816,9423504,18030592,397312,272830.0,4365.0
7181794,9297920,12070912,9423504,18030592,397312,299991.0,4365.0
7181918,9297920,12070912,9423504,18030592,397312,275882.0,4365.0
7182042,9297920,12075008,9423504,18030592,397312,310978.0,4365.0
7182167,9297920,12075008,9423504,18030592,397312,409551.0,4365.0
7182292,9297920,12075008,9423504,18030592,397312,294193.0,4365.0
7182416,9297920,12079104,9423504,18030592,397312,332646.0,4365.0
7182541,9297920,12079104,9423504,18030592,397312,372319.0,4365.0
7182665,9297920,12083200,9423504,18030592,397312,274967.0,4365.0
7182789,9297920,12083200,9423504,18030592,397312,422063.0,4365.0
7182913,9297920,12083200,9423504,18030592,397312,327152.0,4365.0
7183038,9297920,12087296,9423504,18030592,397312,336613.0,4365.0
7183163,9297920,12087296,9423504,18030592,397312,313419.0,4365.0
7183288,9297920,12091392,9423632,18030592,397312,397649.0,4365.0
7183413,9297920,12091392,9423632,18026496,397312,303654.0,4365.0
7183539,9297920,12091392,9423760,18026496,397312,354313.0,4365.0
7183663,9297920,12095488,9423760,18026496,397312,386968.0,4365.0
7183788,9297920,12095488,9423760,18026496,397312,273441.0,4365.0
7183913,9297920,12099584,9423760,18026496,397312,340275.0,4365.0
7184038,9297920,12099584,9423760,18026496,397312,319218.0,4365.0
7184161,9297920,12099584,9423760,18026496,397312,416570.0,4365.0
7184286,9297920,12103680,9423760,18026496,397312,336613.0,4365.0
7184410,9297920,12103680,9423760,18026496,397312,272220.0,4365.0
7184535,9297920,12107776,9423760,18026496,397312,310978.0,4365.0
7184660,9297920,12107776,9423760,18026496,397312,273441.0,4365.0
7184784,9297920,12111872,9423760,18026496,397312,383916.0,4365.0
7184910,9297920,12111872,9423760,18026496,397312,328068.0,4365.0
7185036,9297920,12111872,9423760,18026496,397312,409246.0,4365.0
7185160,9297920,12115968,9423760,18026496,397312,365910.0,4365.0
7185284,9297920,12115968,9423760,18026496,397312,305485.0,4365.0
7185408,9297920,12120064,9423760,18026496,397312,280765.0,4365.0
7185533,9297920,12120064,9423760,18026496,397312,286869.0,4365.0
7185658,9297920,12120064,9423760,18026496,397312,273746.0,4365.0
7185782,9297920,12124160,9423760,18026496,397312,322270.0,4365.0
7185906,9297920,12124160,9423760,18026496,397312,369267.0,4365.0
7186032,9297920,12128256,9423760,18026496,397312,328068.0,4365.0
7186156,9297920,12128256,9423760,18026496,397312,310673.0,4365.0
7186281,9297920,12128256,9423760,18026496,397312,281375.0,4365.0
7186406,9297920,12132352,9423760,18026496,397312,404058.0,4365.0
7186531,9297920,12132352,9423760,18026496,397312,301212.0,4365.0
7186655,9297920,12136448,9423760,18026496,397312,308231.0,4365.0
7186780,9297920,12136448,9423760,18026496,397312,314640.0,4365.0
7186905,9297920,12136448,9423888,18026496,397312,335698.0,4365.0
7187030,9297920,12140544,9423888,18026496,397312,370183.0,4365.0
7187156,9297920,12140544,9423888,18026496,397312,271305.0,4365.0
7187281,9297920,12144640,9424016,18030592,397312,425115.0,4365.0
7187406,9297920,12144640,9424016,18030592,397312,280765.0,4365.0
7187531,9297920,12144640,9424016,18030592,397312,314640.0,4365.0
7187656,9297920,12148736,9424016,18030592,397312,395513.0,4365.0
7187781,9297920,12148736,9424016,18030592,397312,328678.0,4365.0
7187905,9297920,12152832,9424144,18026496,397312,330815.0,4365.0
7188030,9297920,12152832,9424144,18026496,397312,271305.0,4365.0
7188154,9297920,12152832,9424144,18026496,397312,309452.0,4365.0
7188279,9297920,12156928,9424144,18026496,397312,272220.0,4365.0
7188405,9297920,12156928,9424144,18026496,397312,300297.0,4365.0
7188530,9297920,12161024,9424144,18026496,397312,359807.0,4365.0
7188655,9297920,12161024,9424144,18026496,397312,339054.0,4365.0
7188780,9297920,12161024,9424144,18026496,397312,440374.0,4365.0
7188905,9297920,12165120,9424144,18026496,397312,293583.0,4365.0
7189030,9297920,12165120,9424272,18026496,397312,349736.0,4365.0
7189157,9297920,12169216,9424272,18026496,397312,307926.0,4365.0
7189281,9297920,12169216,9424272,18026496,397312,308536.0,4365.0
7189406,9297920,12169216,9424272,18026496,397312,347600.0,4365.0
7189532,9297920,12173312,9424272,18026496,397312,370793.0,4365.0
7189656,9297920,12173312,9424272,18026496,397312,318913.0,4365.0
7189781,9297920,12177408,9424272,18026496,397312,331730.0,4365.0
7189907,9297920,12177408,9424272,18026496,397312,374150.0,4365.0
7190031,9297920,12181504,9424272,18026496,397312,315861.0,4365.0
7190157,9297920,12181504,9424272,18026496,397312,272830.0,4365.0
7190282,9297920,12181504,9424272,18026496,397312,321964.0,4365.0
7190406,9297920,12185600,9424272,18026496,397312,533149.0,4365.0
7190532,9297920,12185600,9424272,18026496,397312,333866.0,4365.0
7190657,9297920,12189696,9424272,18026496,397312,305180.0,4365.0
7190782,9297920,12189696,9424272,18026496,397312,282291.0,4365.0
7190908,9297920,12189696,9424272,18026496,397312,337834.0,4365.0
7191032,9297920,12193792,9424272,18026496,397312,304264.0,4365.0
7191157,9297920,12193792,9424272,18026496,397312,387273.0,4365.0
7191282,9297920,12197888,9424272,18026496,397312,403753.0,4365.0
7191406,9297920,12197888,9424272,18026496,397312,321049.0,4365.0
7191532,9297920,12197888,9424272,18026496,397312,328678.0,4365.0
7191657,9297920,12201984,9424272,18026496,397312,401922.0,4365.0
7191782,9297920,12201984,9424272,18026496,397312,410772.0,4365.0
7191908,9297920,12206080,9424272,18026496,397312,283512.0,4365.0
7192032,9297920,12206080,9424272,18026496,397312,336918.0,4365.0
7192158,9297920,12206080,9424272,18026496,397312,337834.0,4365.0
7192282,9297920,12210176,9424272,18026496,397312,299686.0,4365.0
7192406,9297920,12210176,9424272,18026496,397312,308231.0,4365.0
7192530,9297920,12214272,9424272,18026496,397312,303654.0,4365.0
7192655,9297920,12214272,9424272,18026496,397312,412298.0,4365.0
7192780,9297920,12214272,9424272,18026496,397312,503241.0,4365.0
7192906,9297920,12218368,9424272,18026496,397312,288089.0,4365.0
7193031,9297920,12218368,9424272,18026496,397312,335698.0,4365.0
7193155,9297920,12222464,9424272,18026496,397312,271610.0,4365.0
7193279,9297920,12222464,9424272,18026496,397312,336918.0,4365.0
7193404,9297920,12222464,9424272,18026496,397312,382390.0,4365.0
7193528,9297920,12226560,9424272,18026496,397312,388494.0,4365.0
7193653,9297920,12226560,9424272,18026496,397312,303348.0,4365.0
7193777,9297920,12230656,9424272,18026496,397312,284122.0,4365.0
7193901,9297920,12230656,9424272,18026496,397312,309452.0,4365.0
7194026,9297920,12230656,9424272,18026496,397312,371404.0,4365.0
7194150,9297920,12234752,9424272,18026496,397312,303043.0,4365.0
7194275,9297920,12234752,9424272,18026496,397312,346074.0,4365.0
7194400,9297920,12238848,9424272,18026496,397312,283817.0,4365.0
7194524,9297920,12238848,9424272,18026496,397312,384221.0,4365.0
7194649,9297920,12238848,9424272,18026496,397312,273746.0,4365.0
7194774,9297920,12242944,9424272,18026496,397312,301212.0,4365.0
7194898,9297920,12242944,9424272,18026496,397312,404058.0,4365.0
7195022,9297920,12247040,9424272,18026496,397312,418096.0,4365.0
7195149,9297920,12247040,9424272,18026496,397312,322880.0,4365.0
7195274,9297920,12247040,9424272,18026496,397312,301823.0,4365.0
7195398,9297920,12251136,9424272,18026496,397312,356755.0,4365.0
7195522,9297920,12251136,9424272,18026496,397312,317692.0,4365.0
7195647,9297920,12255232,9424272,18026496,397312,276798.0,4365.0
7195773,9297920,12255232,9424272,18026496,397312,367131.0,4365.0
7195898,9297920,12259328,9424272,18026496,397312,275272.0,4365.0
7196023,9297920,12259328,9424272,18026496,397312,303043.0,4365.0
7196148,9297920,12259328,9424272,18026496,397312,378728.0,4365.0
7196274,9297920,12263424,9424272,18026496,397312,337223.0,4365.0
7196398,9297920,12263424,9424272,18026496,397312,325016.0,4365.0
7196523,9297920,12267520,9424272,18026496,397312,296024.0,4365.0
7196648,9297920,12267520,9424272,18026496,397312,326542.0,4365.0
7196773,9297920,12267520,9424272,18026496,397312,318913.0,4365.0
7196898,9297920,12271616,9424272,18026496,397312,308842.0,4365.0
7197023,9297920,12271616,9424272,18026496,397312,302738.0,4365.0
7197147,9297920,12275712,9424272,18026496,397312,412908.0,4365.0
7197271,9297920,12275712,9424272,18026496,397312,459601.0,4365.0
7197397,9297920,12275712,9424272,18026496,397312,423589.0,4365.0
7197521,9297920,12279808,9424272,18026496,397312,386663.0,4365.0
7197646,9297920,12279808,9424272,18026496,397312,275882.0,4365.0
7197771,9297920,12283904,9424272,18026496,397312,304874.0,4365.0
7197896,9297920,12283904,9424272,18026496,397312,368352.0,4365.0
7198021,9297920,12283904,9424272,18026496,397312,383306.0,4365.0
7198145,9297920,12288000,9424272,18026496,397312,414739.0,4365.0
7198270,9297920,12288000,9424272,18026496,397312,293277.0,4365.0
7198395,9297920,12292096,9424272,18026496,397312,276187.0,4365.0
7198519,9297920,12292096,9424272,18026496,397312,431524.0,4365.0
7198646,9297920,12292096,9424272,18026496,397312,332646.0,4365.0
7198770,9297920,12296192,9424272,18026496,397312,342717.0,4365.0
7198895,9297920,12296192,9424272,18026496,397312,312504.0,4365.0
7199020,9297920,12300288,9424272,18026496,397312,307926.0,4365.0
7199144,9297920,12300288,9424272,18026496,397312,354619.0,4365.0
7199269,9297920,12300288,9424272,18026496,397312,316776.0,4365.0
7199393,9297920,12304384,9424272,18026496,397312,417486.0,4365.0
7199517,9297920,12304384,9424272,18026496,397312,270084.0,4365.0
7199642,9297920,12308480,9424272,18026496,397312,385137.0,4365.0
7199767,9297920,12308480,9424272,18026496,397312,310062.0,4365.0
7199893,9297920,12308480,9424272,18026496,397312,352482.0,4365.0
7200018,9297920,12312576,9424272,18026496,397312,333866.0,4365.0
7200143,9297920,12312576,9424272,18026496,397312,275272.0,4365.0
7200267,9297920,12316672,9424272,18026496,397312,454413.0,4365.0
7200392,9297920,12316672,9424272,18026496,397312,272525.0,4365.0
7200516,9297920,12316672,9424272,18026496,397312,312199.0,4365.0
7200641,9297920,12320768,9424272,18026496,397312,345463.0,4365.0
7200765,9297920,12320768,9424272,18026496,397312,568245.0,4365.0
7200892,9297920,12324864,9424272,18026496,397312,340275.0,4365.0
7201017,9297920,12324864,9424272,18026496,397312,273441.0,4365.0
7201141,9297920,12324864,9424272,18026496,397312,366826.0,4365.0
7201266,9297920,12328960,9424272,18026496,397312,307621.0,4365.0
7201391,9297920,12328960,9424272,18026496,397312,274967.0,4365.0
7201516,9297920,12333056,9424272,18026496,397312,330815.0,4365.0
7201640,9297920,12333056,9424272,18026496,397312,470282.0,4365.0
7201765,9297920,12337152,9424272,18026496,397312,328373.0,4365.0
7201889,9297920,12337152,9424272,18026496,397312,356755.0,4365.0
7202016,9297920,12337152,9424272,18026496,397312,365605.0,4365.0
7202141,9297920,12341248,9424272,18026496,397312,315250.0,4365.0
7202265,9297920,12341248,9424272,18026496,397312,274967.0,4365.0
7202389,9297920,12345344,9424272,18026496,397312,304264.0,4365.0
7202513,9297920,12345344,9424272,18026496,397312,475165.0,4365.0
7202638,9297920,12345344,9424272,18026496,397312,321659.0,4365.0
7202762,9297920,12349440,9424272,18026496,397312,308231.0,4365.0
7202888,9297920,12349440,9424272,18026496,397312,290226.0,4365.0
7203013,9297920,12353536,9424272,18026496,397312,462652.0,4365.0
7203138,9297920,12353536,9424272,18026496,397312,313114.0,4365.0
7203264,9297920,12353536,9424272,18026496,397312,468146.0,4365.0
7203389,9297920,12357632,9424272,18026496,397312,387273.0,4365.0
7203513,9297920,12357632,9424272,18026496,397312,306400.0,4365.0
7203637,9297920,12361728,9424272,18026496,397312,308842.0,4365.0
7203761,9297920,12361728,9424272,18026496,397312,318913.0,4365.0
7203885,9297920,12361728,9424272,18026496,397312,430303.0,4365.0
7204010,9297920,12365824,9424272,18026496,397312,270694.0,4365.0
7204136,9297920,12365824,9424272,18026496,397312,402227.0,4365.0
7204261,9297920,12369920,9424272,18026496,397312,428777.0,4365.0
7204387,9297920,12369920,9424272,18026496,397312,440985.0,4365.0
7204514,9297920,12369920,9424272,18026496,397312,414434.0,4365.0
7204638,9297920,12374016,9424272,18026496,397312,284427.0,4365.0
7204764,9297920,12374016,9424272,18026496,397312,433660.0,4365.0
7204888,9297920,12378112,9424272,18026496,397312,288395.0,4365.0
7205014,9297920,12378112,9424272,18026496,397312,271305.0,4365.0
7205140,9297920,12378112,9424272,18026496,397312,343632.0,4365.0
7205264,9297920,12382208,9424272,18026496,397312,276798.0,4365.0
7205388,9297920,12382208,9424272,18026496,397312,304874.0,4365.0
7205512,9297920,12386304,9424272,18026496,397312,479742.0,4365.0
7205638,9297920,12386304,9424272,18026496,397312,360722.0,4365.0
7205764,9297920,12386304,9424272,18026496,397312,306400.0,4365.0
7205888,9297920,12390400,9424272,18026496,397312,272830.0,4365.0
7206013,9297920,12390400,9424272,18026496,397312,323795.0,4365.0
7206137,9297920,12394496,9424272,18026496,397312,339970.0,4365.0
7206261,9297920,12394496,9424272,18026496,397312,355839.0,4365.0
7206385,9297920,12394496,9424272,18026496,397312,400090.0,4365.0
