C-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
181727940,10543104,12427264,14176288,16654336,430080,234683.0,3854.0
181728082,10543104,12431360,14176288,16654336,430080,276798.0,3854.0
181728221,10543104,12431360,14176288,16654336,430080,236209.0,3854.0
181728361,10543104,12435456,14176288,16654336,430080,253909.0,3854.0
181728500,10543104,12435456,14176288,16654336,430080,215151.0,3854.0
181728639,10543104,12439552,14176288,16654336,430080,333866.0,3854.0
181728779,10543104,12439552,14176288,16654336,430080,227969.0,3854.0
181728917,10543104,12439552,14176288,16654336,430080,219729.0,3854.0
181729057,10543104,12443648,14176288,16654336,430080,339054.0,3854.0
181729199,10543104,12443648,14176288,16654336,430080,234683.0,3854.0
181729338,10543104,12447744,14176288,16654336,430080,294803.0,3854.0
181729478,10543104,12447744,14176288,16654336,430080,274967.0,3854.0
181729617,10543104,12447744,14176288,16654336,430080,200503.0,3854.0
181729755,10543104,12451840,14176288,16654336,430080,240481.0,3854.0
181729893,10543104,12451840,14176288,16654336,430080,195315.0,3854.0
181730032,10543104,12455936,14176288,16654336,430080,389409.0,3854.0
181730172,10543104,12455936,14176288,16654336,430080,248721.0,3854.0
181730312,10543104,12460032,14176288,16654336,430080,281375.0,3854.0
fim
