C-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
153582770,10383360,24580096,14027616,16166912,434176,422063.0,4411.0
153582901,10383360,24580096,14027616,16166912,434176,281681.0,4411.0
153583030,10383360,24580096,14027616,16166912,434176,296940.0,4411.0
153583159,10383360,24584192,14027616,16166912,434176,303654.0,4411.0
153583289,10383360,24584192,14027616,16166912,434176,314030.0,4411.0
153583423,10383360,24588288,14027616,16166912,434176,290226.0,4411.0
153583553,10383360,24588288,14027616,16166912,434176,262149.0,4411.0
153583683,10383360,24588288,14027616,16166912,434176,376592.0,4411.0
153583813,10383360,24592384,14027616,16166912,434176,269473.0,4411.0
153583942,10383360,24592384,14027616,16166912,434176,302738.0,4411.0
153584072,10383360,24596480,14027616,16166912,434176,258182.0,4411.0
153584202,10383360,24596480,14027616,16166912,434176,307926.0,4411.0
153584331,10383360,24600576,14027616,16166912,434176,405279.0,4411.0
153584461,10383360,24600576,14027616,16166912,434176,289005.0,4411.0
153584590,10383360,24600576,14027616,16166912,434176,316776.0,4411.0
153584721,10383360,24604672,14027616,16166912,434176,267032.0,4411.0
153584850,10383360,24604672,14027616,16166912,434176,401922.0,4411.0
153584981,10383360,24608768,14027616,16166912,434176,274051.0,4411.0
153585110,10383360,24608768,14027616,16166912,434176,349431.0,4411.0
153585241,10383360,24608768,14027616,16166912,434176,261844.0,4411.0
153585371,10383360,24612864,14027616,16166912,434176,347905.0,4411.0
153585502,10383360,24612864,14027616,16166912,434176,312504.0,4411.0
153585633,10383360,24616960,14027616,16166912,434176,257877.0,4411.0
153585763,10383360,24616960,14027616,16166912,434176,322575.0,4411.0
153585891,10383360,24616960,14027616,16166912,434176,325016.0,4411.0
153586023,10383360,24621056,14027616,16166912,434176,395818.0,4411.0
153586153,10383360,24621056,14027616,16166912,434176,303043.0,4411.0
153586284,10383360,24625152,14027616,16166912,434176,269473.0,4411.0
153586413,10383360,24625152,14027616,16166912,434176,295719.0,4411.0
153586542,10383360,24629248,14027616,16166912,434176,276493.0,4411.0
153586672,10383360,24629248,14027616,16166912,434176,332951.0,4411.0
153586802,10383360,24629248,14027616,16166912,434176,262454.0,4411.0
153586931,10383360,24633344,14027616,16166912,434176,288089.0,4411.0
153587061,10383360,24633344,14027616,16166912,434176,292362.0,4411.0
153587189,10383360,24637440,14027616,16166912,434176,310673.0,4411.0
153587320,10383360,24637440,14027616,16166912,434176,319523.0,4411.0
153587451,10383360,24637440,14027616,16166912,434176,304569.0,4411.0
153587581,10383360,24641536,14027616,16166912,434176,288089.0,4411.0
153587710,10383360,24641536,14027616,16166912,434176,366826.0,4411.0
153587840,10383360,24645632,14027616,16166912,434176,282901.0,4411.0
153587969,10383360,24645632,14027616,16166912,434176,287479.0,4411.0
153588099,10383360,24645632,14027616,16166912,434176,308842.0,4411.0
