CPP-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10921153,9502720,11681792,20576416,19197952,397312,630501.0,4303.0
10921293,9502720,11685888,0,19197952,397312,549324.0,4303.0
10921432,9502720,11685888,20623184,19197952,495616,1054702.0,4303.0
10921759,9502720,11689984,20685808,19197952,495616,1070876.0,4303.0
10922023,9502720,11689984,20893872,19197952,495616,1059279.0,4303.0
10922275,9502720,11694080,21681520,19197952,495616,1052260.0,4303.0
10922531,9502720,11694080,27396112,19197952,499712,1055007.0,4303.0
10922783,9502720,11694080,28750688,19197952,528384,1131302.0,4303.0
10923055,9502720,11698176,46714080,19197952,528384,1496907.0,4303.0
10923311,9502720,11698176,17743328,19197952,528384,1854578.0,4303.0
10923567,9502720,11702272,204986832,19197952,528384,1604941.0,4303.0
fim
