CPP-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
9140713,9453568,9228288,9416672,19038208,393216,496527.0,4333.0
9140845,9453568,9228288,9416672,19038208,393216,227359.0,4333.0
9140979,9453568,9228288,9416672,19038208,393216,278934.0,4333.0
9141110,9453568,9232384,9416672,19038208,393216,221255.0,4333.0
9141242,9453568,9232384,9416672,19038208,393216,239871.0,4333.0
9141372,9453568,9236480,9416672,19038208,393216,262149.0,4333.0
9141503,9453568,9236480,9416672,19038208,393216,254825.0,4333.0
9141634,9453568,9236480,9416672,19038208,393216,266116.0,4333.0
9141764,9453568,9240576,9416672,19038208,393216,232852.0,4333.0
9141895,9453568,9240576,9416672,19038208,393216,386357.0,4333.0
9142026,9453568,9244672,9416672,19038208,393216,197146.0,4333.0
9142156,9453568,9244672,9416672,19038208,393216,229190.0,4333.0
9142285,9453568,9244672,9416672,19038208,393216,202334.0,4333.0
9142417,9453568,9248768,9416672,19038208,393216,337223.0,4333.0
9142548,9453568,9248768,9416672,19038208,393216,249942.0,4333.0
9142679,9453568,9252864,9416672,19038208,393216,216677.0,4333.0
9142810,9453568,9252864,9416672,19038208,393216,265811.0,4333.0
9142941,9453568,9252864,9416672,19038208,393216,244754.0,4333.0
9143071,9453568,9256960,9416672,19038208,393216,268253.0,4333.0
9143203,9453568,9256960,9416672,19038208,393216,225833.0,4333.0
9143334,9453568,9261056,9416672,19038208,393216,204165.0,4333.0
9143466,9453568,9261056,9416672,19038208,393216,264285.0,4333.0
9143597,9453568,9265152,9416672,19038208,393216,218814.0,4333.0
9143726,9453568,9265152,9416672,19038208,393216,235904.0,4333.0
9143857,9453568,9265152,9416672,19038208,393216,279850.0,4333.0
9143989,9453568,9269248,9416672,19038208,393216,234988.0,4333.0
9144119,9453568,9269248,9416672,19038208,393216,243838.0,4333.0
9144251,9453568,9273344,9416672,19038208,393216,307926.0,4333.0
9144382,9453568,9273344,9416672,19038208,393216,336003.0,4333.0
9144513,9453568,9273344,9416672,19038208,393216,213626.0,4333.0
9144642,9453568,9277440,9416672,19038208,393216,239871.0,4333.0
9144772,9453568,9277440,9416672,19038208,393216,238650.0,4333.0
9144902,9453568,9281536,9416672,19038208,393216,238040.0,4333.0
9145034,9453568,9281536,9416672,19038208,393216,234378.0,4333.0
9145164,9453568,9281536,9416672,19038208,393216,231936.0,4333.0
9145295,9453568,9285632,9416672,19038208,393216,276493.0,4333.0
9145425,9453568,9285632,9416672,19038208,393216,282291.0,4333.0
9145557,9453568,9289728,9416672,19038208,393216,295414.0,4333.0
9145688,9453568,9289728,9416672,19038208,393216,289005.0,4333.0
9145818,9453568,9289728,9416672,19038208,393216,270389.0,4333.0
9145949,9453568,9293824,9416672,19038208,393216,294803.0,4333.0
9146080,9453568,9293824,9416672,19038208,393216,359807.0,4333.0
9146210,9453568,9297920,9416672,19038208,393216,215762.0,4333.0
9146340,9453568,9297920,9416672,19038208,393216,199587.0,4333.0
9146472,9453568,9297920,9416672,19038208,393216,471197.0,4333.0
9146604,9453568,9302016,9416672,19038208,393216,202029.0,4333.0
9146734,9453568,9302016,9416672,19038208,393216,273441.0,4333.0
9146865,9453568,9306112,9416672,19038208,393216,273746.0,4333.0
9146996,9453568,9306112,9416672,19038208,393216,233462.0,4333.0
9147126,9453568,9306112,9416672,19038208,393216,305790.0,4333.0
9147257,9453568,9310208,9416672,19038208,393216,333256.0,4333.0
9147387,9453568,9310208,9416672,19038208,393216,255740.0,4333.0
9147517,9453568,9314304,9416672,19038208,393216,204470.0,4333.0
