CPP-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
182077289,10543104,13479936,14012688,16162816,1056768,470892.0,3855.0
182077453,10543104,13479936,14012688,16162816,1056768,297550.0,3855.0
182077594,10543104,13479936,14012688,16162816,1056768,312199.0,3855.0
182077737,10543104,13484032,14012688,16162816,1056768,204470.0,3855.0
182077881,10543104,13484032,14012688,16162816,1056768,412298.0,3855.0
182078033,10543104,13488128,14012688,16162816,1056768,193789.0,3855.0
182078183,10543104,13488128,14012688,16162816,1056768,343327.0,3855.0
182078347,10543104,13492224,14012688,16162816,1056768,236209.0,3855.0
182078499,10543104,13492224,14012688,16162816,1056768,321354.0,3855.0
182078675,10543104,13492224,14012688,16162816,1056768,461737.0,3855.0
182078821,10543104,13496320,14012688,16162816,1056768,462042.0,3855.0
182078970,10543104,13496320,14012688,16162816,1056768,245669.0,3855.0
182079132,10543104,13500416,14012688,16162816,1056768,304264.0,3855.0
182079271,10543104,13500416,14012688,16162816,1609728,385442.0,3855.0
182079411,10543104,13500416,14012688,16162816,1609728,425115.0,3855.0
182079556,10543104,13504512,14012688,16162816,1609728,587471.0,3855.0
182079714,10543104,13504512,14012688,16162816,1609728,529487.0,3855.0
182079854,10543104,13508608,14012688,16162816,1609728,1013807.0,3855.0
182079997,10543104,13508608,14012688,16162816,1609728,635384.0,3855.0
182080128,10543104,13508608,14012688,16162816,1609728,625313.0,3855.0
182080266,10543104,13512704,14012688,16162816,1609728,601509.0,3855.0
182080405,10543104,13512704,14012688,16162816,1609728,568245.0,3855.0
182080540,10543104,13516800,14012688,16162816,1609728,498969.0,3855.0
182080682,10543104,13516800,14012688,16162816,1609728,556343.0,3855.0
182080821,10543104,13520896,14012688,16162816,1609728,557869.0,3855.0
182080953,10543104,13520896,14012688,16162816,1609728,709238.0,3855.0
182081083,10543104,13520896,14012688,16162816,1609728,603951.0,3855.0
182081214,10543104,13524992,14012688,16162816,1609728,651254.0,3855.0
182081343,10543104,13524992,14012688,16162816,1609728,562446.0,3855.0
182081472,10543104,13529088,14012688,16162816,1609728,568550.0,3855.0
182081602,10543104,13529088,14012688,16162816,1609728,617379.0,3855.0
182081734,10543104,13529088,14012688,16162816,1609728,839855.0,3855.0
182081874,10543104,13533184,14012688,16162816,1609728,684518.0,3855.0
182082008,10543104,13533184,14012688,16162816,1609728,685739.0,3855.0
182082140,10543104,13537280,14012688,16162816,1609728,578010.0,3855.0
182082280,10543104,13537280,14012688,16162816,1609728,549934.0,3855.0
182082409,10543104,13537280,14012688,16162816,1609728,603035.0,3855.0
182082547,10543104,13541376,14012688,16162816,1609728,602120.0,3855.0
182082676,10543104,13541376,14012688,16162816,1609728,593269.0,3855.0
182082816,10543104,13545472,14012688,16162816,1609728,453497.0,3855.0
182082947,10543104,13545472,14012688,16162816,1609728,493170.0,3855.0
182083076,10543104,13549568,14012688,16162816,1609728,725412.0,3855.0
182083207,10543104,13549568,14012688,16162816,1609728,464178.0,3855.0
182083343,10543104,13549568,14012688,16162816,1609728,505378.0,3855.0
182083475,10543104,13553664,14012688,16162816,1609728,576179.0,3855.0
182083606,10543104,13553664,14012688,16162816,1609728,701303.0,3855.0
182083738,10543104,13557760,14012688,16162816,1609728,553596.0,3855.0
fim
