CPP-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
154400396,10514432,17174528,14028144,16166912,434176,366216.0,4368.0
154400534,10514432,17178624,14028144,16166912,434176,445257.0,4368.0
154400672,10514432,17178624,14028144,16166912,434176,247195.0,4368.0
154400808,10514432,17182720,14028144,16166912,434176,258182.0,4368.0
154400946,10514432,17182720,14028144,16166912,434176,296024.0,4368.0
154401084,10514432,17186816,14028144,16166912,434176,218814.0,4368.0
154401219,10514432,17186816,14028144,16166912,434176,406194.0,4368.0
154401356,10514432,17186816,14028144,16166912,434176,318607.0,4368.0
154401493,10514432,17190912,14028144,16166912,434176,253604.0,4368.0
154401629,10514432,17190912,14028144,16166912,434176,263065.0,4368.0
154401766,10514432,17195008,14028144,16166912,434176,285038.0,4368.0
154401901,10514432,17195008,14028144,16166912,434176,265811.0,4368.0
154402037,10514432,17195008,14028144,16166912,434176,252689.0,4368.0
154402174,10514432,17199104,14028144,16166912,434176,250247.0,4368.0
154402310,10514432,17199104,14028144,16166912,434176,344853.0,4368.0
154402446,10514432,17203200,14028144,16166912,434176,288395.0,4368.0
154402585,10514432,17203200,14028144,16166912,434176,278629.0,4368.0
154402721,10514432,17207296,14028144,16166912,434176,284122.0,4368.0
154402857,10514432,17207296,14028144,16166912,434176,246585.0,4368.0
154402993,10514432,17207296,14028144,16166912,434176,363774.0,4368.0
154403130,10514432,17211392,14028144,16166912,434176,268253.0,4368.0
154403265,10514432,17211392,14028144,16166912,434176,230716.0,4368.0
154403401,10514432,17215488,14028144,16166912,434176,235293.0,4368.0
154403537,10514432,17215488,14028144,16166912,434176,218508.0,4368.0
154403673,10514432,17215488,14028144,16166912,434176,411993.0,4368.0
154403809,10514432,17219584,14028144,16166912,434176,357365.0,4368.0
154403944,10514432,17219584,14028144,16166912,434176,404363.0,4368.0
154404082,10514432,17223680,14028144,16166912,434176,273746.0,4368.0
154404218,10514432,17223680,14028144,16166912,434176,250552.0,4368.0
154404355,10514432,17223680,14028144,16166912,434176,298771.0,4368.0
154404490,10514432,17227776,14028144,16166912,434176,357976.0,4368.0
154404627,10514432,17227776,14028144,16166912,434176,289615.0,4368.0
154404763,10514432,17231872,14028144,16166912,434176,286564.0,4368.0
154404900,10514432,17231872,14028144,16166912,434176,271610.0,4368.0
154405037,10514432,17235968,14028144,16166912,434176,337834.0,4368.0
154405175,10514432,17235968,14028144,16166912,434176,261844.0,4368.0
154405310,10514432,17235968,14028144,16166912,434176,228579.0,4368.0
154405445,10514432,17240064,14028144,16166912,434176,267337.0,4368.0
154405581,10514432,17240064,14028144,16166912,434176,284427.0,4368.0
154405718,10514432,17244160,14028144,16166912,434176,343937.0,4368.0
154405854,10514432,17244160,14028144,16166912,434176,221560.0,4368.0
154405990,10514432,17244160,14028144,16166912,434176,239871.0,4368.0
154406126,10514432,17248256,14028144,16166912,434176,282291.0,4368.0
154406263,10514432,17248256,14028144,16166912,434176,390325.0,4368.0
154406400,10514432,17252352,14028144,16166912,434176,323795.0,4368.0
154406537,10514432,17252352,14028144,16166912,434176,220950.0,4368.0
154406674,10514432,17252352,14028144,16166912,434176,282291.0,4368.0
154406809,10514432,17256448,14028144,16166912,434176,320133.0,4368.0
154406945,10514432,17256448,14028144,16166912,434176,308536.0,4368.0
154407083,10514432,17260544,14028144,16166912,434176,321354.0,4368.0
154407220,10514432,17260544,14028144,16166912,434176,291446.0,4368.0
154407354,10514432,17264640,14028144,16166912,434176,399785.0,4368.0
154407492,10514432,17264640,14028144,16166912,434176,280460.0,4368.0
154407627,10514432,17264640,14028144,16166912,434176,284122.0,4368.0
154407763,10514432,17268736,14028144,16166912,434176,415349.0,4368.0
154407898,10514432,17268736,14028144,16166912,434176,251468.0,4368.0
154408034,10514432,17272832,14028144,16166912,434176,214846.0,4368.0
154408171,10514432,17272832,14028144,16166912,434176,344548.0,4368.0
154408307,10514432,17272832,14028144,16166912,434176,271915.0,4368.0
154408444,10514432,17276928,14028144,16166912,434176,252994.0,4368.0
154408580,10514432,17276928,14028144,16166912,434176,271915.0,4368.0
154408714,10514432,17281024,14028144,16166912,434176,264285.0,4368.0
154408851,10514432,17281024,14028144,16166912,434176,311588.0,4368.0
154408987,10514432,17281024,14028144,16166912,434176,296329.0,4368.0
154409122,10514432,17285120,14028144,16166912,434176,267948.0,4368.0
154409258,10514432,17285120,14028144,16166912,434176,243533.0,4368.0
154409394,10514432,17289216,14028144,16166912,434176,281681.0,4368.0
154409530,10514432,17289216,14028144,16166912,434176,312199.0,4368.0
154409666,10514432,17293312,14028144,16166912,434176,339054.0,4368.0
154409802,10514432,17293312,14028144,16166912,434176,268558.0,4368.0
154409938,10514432,17293312,14028144,16166912,434176,296634.0,4368.0
154410075,10514432,17297408,14028144,16166912,434176,239871.0,4368.0
154410210,10514432,17297408,14028144,16166912,434176,346684.0,4368.0
154410346,10514432,17301504,14028144,16166912,434176,319828.0,4368.0
154410480,10514432,17301504,14028144,16166912,434176,404058.0,4368.0
154410618,10514432,17301504,14028144,16166912,434176,394292.0,4368.0
154410755,10514432,17305600,14028144,16166912,434176,215762.0,4368.0
154410892,10514432,17305600,14028144,16166912,434176,366826.0,4368.0
154411027,10514432,17309696,14028144,16166912,434176,218508.0,4368.0
154411162,10514432,17309696,14028144,16166912,434176,316776.0,4368.0
154411299,10514432,17313792,14028144,16166912,434176,239871.0,4368.0
154411434,10514432,17313792,14028144,16166912,434176,274356.0,4368.0
154411570,10514432,17313792,14028144,16166912,434176,256351.0,4368.0
154411707,10514432,17317888,14028144,16166912,434176,248111.0,4368.0
154411844,10514432,17317888,14028144,16166912,434176,304874.0,4368.0
154411980,10514432,17321984,14028144,16166912,434176,306095.0,4368.0
154412117,10514432,17321984,14028144,16166912,434176,258487.0,4368.0
154412252,10514432,17321984,14028144,16166912,434176,265201.0,4368.0
154412389,10514432,17326080,14028144,16166912,434176,266116.0,4368.0
154412525,10514432,17326080,14028144,16166912,434176,226138.0,4368.0
154412661,10514432,17330176,14028144,16166912,434176,359502.0,4368.0
154412797,10514432,17330176,14028144,16166912,434176,308231.0,4368.0
154412932,10514432,17330176,14028144,16166912,434176,364690.0,4368.0
154413068,10514432,17334272,14028144,16166912,434176,241397.0,4368.0
154413206,10514432,17334272,14028144,16166912,434176,217898.0,4368.0
154413341,10514432,17338368,14028144,16166912,434176,359807.0,4368.0
154413477,10514432,17338368,14028144,16166912,434176,248721.0,4368.0
154413612,10514432,17342464,14028144,16166912,434176,350651.0,4368.0
154413746,10514432,17342464,14028144,16166912,434176,241092.0,4368.0
154413882,10514432,17342464,14028144,16166912,434176,342717.0,4368.0
154414018,10514432,17346560,14028144,16166912,434176,419012.0,4368.0
154414157,10514432,17346560,14028144,16166912,434176,281375.0,4368.0
154414294,10514432,17350656,14028144,16166912,434176,250247.0,4368.0
154414429,10514432,17350656,14028144,16166912,434176,254520.0,4368.0
154414566,10514432,17350656,14028144,16166912,434176,287174.0,4368.0
154414702,10514432,17354752,14028144,16166912,434176,378423.0,4368.0
154414839,10514432,17354752,14028144,16166912,434176,289310.0,4368.0
154414975,10514432,17358848,14028144,16166912,434176,221255.0,4368.0
154415111,10514432,17358848,14028144,16166912,434176,385747.0,4368.0
154415247,10514432,17358848,14028144,16166912,434176,216067.0,4368.0
154415383,10514432,17362944,14028144,16166912,434176,427862.0,4368.0
154415519,10514432,17362944,14028144,16166912,434176,247195.0,4368.0
154415653,10514432,17367040,14028144,16166912,434176,284122.0,4368.0
154415790,10514432,17367040,14028144,16166912,434176,280460.0,4368.0
154415927,10514432,17371136,14028144,16166912,434176,228885.0,4368.0
154416061,10514432,17371136,14028144,16166912,434176,287784.0,4368.0
154416199,10514432,17371136,14028144,16166912,434176,241702.0,4368.0
154416335,10514432,17375232,14028144,16166912,434176,320439.0,4368.0
154416470,10514432,17375232,14028144,16166912,434176,293277.0,4368.0
154416606,10514432,17379328,14028144,16166912,434176,264896.0,4368.0
154416742,10514432,17379328,14028144,16166912,434176,271915.0,4368.0
154416877,10514432,17379328,14028144,16166912,434176,255130.0,4368.0
154417013,10514432,17383424,14028144,16166912,434176,285953.0,4368.0
154417150,10514432,17383424,14028144,16166912,434176,324711.0,4368.0
154417285,10514432,17387520,14028144,16166912,434176,250857.0,4368.0
154417421,10514432,17387520,14028144,16166912,434176,376286.0,4368.0
154417558,10514432,17387520,14028144,16166912,434176,252689.0,4368.0
154417694,10514432,17391616,14028144,16166912,434176,247195.0,4368.0
154417830,10514432,17391616,14028144,16166912,434176,333561.0,4368.0
154417967,10514432,17395712,14028144,16166912,434176,220950.0,4368.0
154418102,10514432,17395712,14028144,16166912,434176,265506.0,4368.0
154418239,10514432,17399808,14028144,16166912,434176,230105.0,4368.0
154418375,10514432,17399808,14028144,16166912,434176,264896.0,4368.0
154418511,10514432,17399808,14028144,16166912,434176,402532.0,4368.0
