JAVA-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
9699842,9469952,13746176,9477824,19034112,491520,1119095.0,4337.0
9699995,9469952,13750272,9477824,19034112,491520,1043105.0,4337.0
9700152,9469952,13750272,9477824,19034112,491520,998243.0,4337.0
9700304,9469952,13754368,9477824,19034112,491520,933240.0,4337.0
9700471,9469952,13754368,9477824,19034112,491520,937818.0,4337.0
9700622,9469952,13754368,9477824,19034112,491520,1002821.0,4337.0
9700768,9469952,13758464,9477824,19034112,491520,932630.0,4337.0
9700908,9469952,13758464,9477824,19034112,491520,987257.0,4337.0
9701059,9469952,13762560,9477824,19034112,491520,1011976.0,4337.0
9701219,9469952,13762560,9477824,19034112,491520,957349.0,4337.0
9701377,9469952,13762560,9477824,19034112,491520,959180.0,4337.0
9701528,9469952,13766656,9477824,19034112,491520,974134.0,4337.0
9701680,9469952,13766656,9477824,19034112,491520,1008619.0,4337.0
9701831,9469952,13770752,9477824,19034112,491520,952466.0,4337.0
9701983,9469952,13770752,9477824,19034112,491520,975050.0,4337.0
9702134,9469952,13770752,9477824,19034112,491520,1083083.0,4281.0
9702287,9469952,13774848,9477824,19034112,491520,1074233.0,4281.0
9702443,9469952,13774848,9477824,19034112,491520,1100479.0,4281.0
9702595,9469952,13778944,9477824,19034112,491520,1008009.0,4281.0
9702739,9469952,13778944,9477824,19034112,491520,975965.0,4281.0
9702891,9469952,13783040,9477824,19034112,491520,1000990.0,4281.0
9703042,9469952,13783040,9477824,19034112,491520,981153.0,4281.0
9703191,9469952,13783040,9477824,19034112,491520,1020521.0,4281.0
9703342,9469952,13787136,9477824,19034112,491520,990614.0,4281.0
9703493,9469952,13787136,9477824,19034112,491520,1048293.0,4281.0
9703646,9469952,13791232,9477824,19034112,491520,970472.0,4281.0
9703798,9469952,13791232,9477824,19034112,491520,955518.0,4281.0
9703949,9469952,13791232,9477824,19034112,491520,983900.0,4281.0
9704100,9469952,13795328,9477824,19034112,491520,974439.0,4281.0
9704251,9469952,13795328,9477824,19034112,491520,990614.0,4281.0
9704403,9469952,13799424,9477824,19034112,491520,949414.0,4281.0
9704554,9469952,13799424,9477824,19034112,491520,978407.0,4281.0
9704706,9469952,13799424,9477824,19034112,491520,1018385.0,4281.0
9704858,9469952,13803520,9477824,19034112,491520,1051955.0,4281.0
9705010,9469952,13803520,9477824,19034112,491520,1004652.0,4281.0
9705161,9469952,13807616,9477824,19034112,491520,1011061.0,4281.0
9705316,9469952,13807616,9477824,19034112,491520,1076369.0,4281.0
9705487,9469952,13807616,9477824,19034112,491520,977186.0,4281.0
9705638,9469952,13811712,9477824,19034112,491520,975355.0,4281.0
9705790,9469952,13811712,9477824,19034112,491520,1032729.0,4281.0
9705942,9469952,13815808,9477824,19034112,491520,1062941.0,4281.0
9706094,9469952,13815808,9477824,19034112,491520,981764.0,4281.0
9706245,9469952,13815808,9477824,19034112,491520,980848.0,4281.0
9706397,9469952,13819904,9477824,19034112,491520,968336.0,4281.0
9706548,9469952,13819904,9477824,19034112,491520,952161.0,4281.0
9706699,9469952,13824000,9477824,19034112,491520,958265.0,4281.0
9706848,9469952,13824000,9477824,19034112,491520,950635.0,4281.0
9707000,9469952,13828096,9477824,19034112,491520,964673.0,4281.0
9707167,9469952,13828096,9477824,19034112,491520,1047377.0,4281.0
9707318,9469952,13828096,9477824,19034112,491520,956128.0,4281.0
9707469,9469952,13832192,9477824,19034112,491520,1009840.0,4281.0
9707643,9469952,13832192,9477824,19034112,491520,981764.0,4281.0
9707795,9469952,13836288,9477824,19034112,491520,1016554.0,4281.0
9707946,9469952,13836288,9477824,19034112,491520,982679.0,4281.0
9708101,9469952,13836288,9477824,19034112,491520,1065688.0,4281.0
9708253,9469952,13840384,9477824,19034112,491520,937818.0,4281.0
9708413,9469952,13840384,9477824,19034112,491520,1002516.0,4281.0
9708564,9469952,13844480,9477824,19034112,491520,957960.0,4281.0
9708715,9469952,13844480,9477824,19034112,491520,1108718.0,4281.0
9708868,9469952,13844480,9477824,19034112,491520,929883.0,4281.0
9709020,9469952,13848576,9477824,19034112,491520,1050124.0,4281.0
9709171,9469952,13848576,9477824,19034112,491520,1161820.0,4281.0
9709322,9469952,13852672,9477824,19034112,491520,970472.0,4281.0
9709474,9469952,13852672,9477824,19034112,491520,958570.0,4281.0
9709625,9469952,13852672,9477824,19034112,491520,1016554.0,4281.0
9709777,9469952,13856768,9477824,19034112,491520,941785.0,4281.0
9709928,9469952,13856768,9477824,19034112,491520,1018385.0,4281.0
9710087,9469952,13860864,9462288,19034112,466944,956739.0,4281.0
9710278,9469952,13860864,9438960,19034112,442368,1026625.0,4281.0
fim
