JAVA-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
182474584,10579968,15478784,14133072,16162816,851968,736399.0,3850.0
182474725,10579968,17059840,14132960,16162816,851968,746775.0,3850.0
182474867,10440704,18706432,14132656,16162816,851968,650033.0,3850.0
182475009,10436608,10641408,14132768,16162816,851968,872204.0,3850.0
182475150,10436608,12247040,14132656,16162816,851968,813609.0,3850.0
182475291,10436608,13856768,14132832,16162816,851968,693674.0,3850.0
182475432,10436608,15470592,14132832,16162816,851968,766001.0,3850.0
182475572,10575872,17076224,14132768,16162816,851968,852978.0,3850.0
182475716,10567680,10432512,14132736,16162816,851968,737925.0,3850.0
182475856,10567680,12038144,14132768,16162816,851968,687875.0,3850.0
182475998,10567680,13668352,14132656,16162816,851968,689401.0,3850.0
182476139,10567680,15290368,14132656,16162816,851968,1075759.0,3850.0
182476280,10440704,16920576,14132864,16162816,851968,1081863.0,3850.0
182476421,10440704,10358784,14132768,16162816,856064,642403.0,3850.0
182476562,10440704,11984896,14132656,16162816,856064,412298.0,3850.0
182476704,10440704,13647872,14132864,16187392,856064,446783.0,3850.0
182476845,10440704,15253504,14132896,16187392,856064,1029066.0,3850.0
182476987,10571776,16863232,14132784,16187392,856064,697946.0,3850.0
182477128,10571776,10321920,14132864,16187392,856064,833141.0,3850.0
182477269,10571776,11927552,14132784,16187392,856064,1165482.0,3850.0
182477410,10571776,13545472,14132784,16187392,856064,636300.0,3850.0
182477552,10571776,15155200,14132960,16187392,856064,750437.0,3850.0
182477695,10575872,16809984,14132944,16187392,856064,698251.0,3850.0
182477837,10440704,10256384,14132784,16187392,856064,433660.0,3850.0
182477978,10440704,11857920,14132864,16187392,856064,800792.0,3850.0
182478120,10440704,13500416,14132896,16187392,856064,646371.0,3850.0
182478262,10440704,15110144,14132784,16187392,856064,616768.0,3850.0
182478404,10440704,16719872,14132592,16187392,856064,646676.0,3850.0
182478546,10571776,10096640,14132912,16187392,860160,1130997.0,3850.0
182478687,10571776,11726848,14132736,16187392,860160,643929.0,3850.0
182478829,10571776,13361152,14132736,16187392,860160,733957.0,3850.0
182478970,10571776,15007744,14132736,16187392,860160,691843.0,3850.0
182479112,10571776,16633856,14132768,16187392,860160,849926.0,3850.0
182479253,10440704,9949184,14132848,16187392,860160,586555.0,3850.0
182479393,10440704,11558912,14132736,16187392,860160,842296.0,3850.0
182479534,10440704,13176832,14132912,16187392,860160,686044.0,3850.0
182479676,10440704,14815232,14132848,16187392,860160,721140.0,3850.0
182479817,10440704,16474112,14132848,16187392,860160,560005.0,3850.0
182479959,10571776,9883648,14132848,16187392,860160,719309.0,3850.0
182480100,10571776,11485184,14132848,16187392,860160,932630.0,3850.0
182480241,10571776,13111296,14132976,16187392,860160,558784.0,3850.0
182480382,10571776,14725120,14132976,16187392,860160,1295489.0,3850.0
182480524,10571776,16330752,14132864,16187392,860160,649728.0,3850.0
182480666,10440704,9617408,14132976,16187392,860160,752573.0,3850.0
182480809,10440704,11247616,14132864,16187392,860160,693063.0,3850.0
182480951,10440704,12890112,14132976,16187392,860160,652169.0,3850.0
182481092,10440704,14520320,14133040,16187392,860160,1228959.0,3850.0
182481234,10440704,16158720,14132976,16187392,860160,609444.0,3850.0
182481375,10571776,9609216,14132976,16187392,860160,718698.0,3850.0
182481517,10571776,11243520,14132864,16187392,860160,778819.0,3850.0
182481658,10571776,12853248,14132864,16187392,860160,772105.0,3850.0
182481800,10571776,14499840,14132864,16187392,860160,574959.0,3850.0
182481941,10571776,16121856,14132976,16187392,860160,614937.0,3850.0
182482083,10440704,9519104,14132976,16187392,860160,554817.0,3850.0
182482225,10440704,11182080,14132976,16187392,860160,774241.0,3850.0
182482365,10440704,12791808,14132976,16187392,860160,681466.0,3850.0
182482507,10440704,14401536,14133072,16187392,860160,807201.0,3850.0
182482648,10575872,11071488,14132864,16187392,864256,810558.0,3850.0
182482792,10575872,12591104,14133040,16187392,864256,663766.0,3850.0
182482937,10575872,14155776,14132864,16187392,864256,648507.0,3850.0
182483085,10575872,15720448,14132976,16187392,864256,666818.0,3850.0
182483233,10567680,17297408,14132976,16187392,864256,1035170.0,3850.0
182483367,10440704,11935744,14132864,16187392,864256,563972.0,3850.0
182483516,10440704,13512704,14132880,16187392,864256,783091.0,3850.0
182483658,10440704,15011840,14132976,16187392,864256,538032.0,3850.0
182483805,10440704,16609280,14132880,16187392,864256,517585.0,3850.0
182483953,10440704,18153472,14132880,16187392,864256,456854.0,3850.0
182484098,10571776,11522048,14132976,16187392,864256,572822.0,3850.0
182484243,10571776,13025280,14132976,16187392,864256,823986.0,3850.0
182484391,10571776,14630912,14132864,16187392,864256,668649.0,3850.0
182484537,10571776,16154624,14132976,16187392,864256,860302.0,3850.0
182484687,10571776,17731584,14132864,16187392,864256,652780.0,3850.0
182484831,10440704,10895360,14132864,16187392,864256,854198.0,3850.0
182484977,10440704,12496896,14133040,16187392,864256,755930.0,3850.0
182485124,10440704,14049280,14132976,16187392,864256,563972.0,3850.0
182485273,10440704,15609856,14132864,16187392,864256,713205.0,3850.0
182485417,10440704,17158144,14132976,16187392,864256,549018.0,3850.0
182485567,10571776,18714624,14132864,16187392,864256,801402.0,3850.0
182485698,10571776,11939840,14133024,16187392,864256,628975.0,3850.0
182485845,10571776,13541376,14133024,16187392,864256,975050.0,3850.0
182485991,10571776,15060992,14132912,16187392,864256,657968.0,3850.0
182486137,10571776,16617472,14132912,16187392,864256,875561.0,3850.0
182486286,10571776,18165760,14133024,16187392,864256,470587.0,3850.0
182486433,10440704,11476992,14133024,16187392,864256,786448.0,3850.0
182486580,10444800,12996608,14132912,16187392,864256,735483.0,3850.0
182486728,10444800,14577664,14132912,16187392,864256,904553.0,3850.0
182486873,10444800,16109568,14132912,16187392,864256,834362.0,3850.0
182487018,10444800,17657856,14132912,16187392,864256,808421.0,3850.0
182487168,10575872,11014144,14133024,16187392,864256,771800.0,3850.0
182487312,10575872,12529664,14133088,16187392,864256,775767.0,3850.0
182487457,10575872,14094336,14133024,16187392,864256,907605.0,3850.0
182487606,10575872,15642624,14133024,16187392,864256,457159.0,3850.0
182487753,10575872,17223680,14133024,16187392,864256,316471.0,3850.0
182487900,10440704,18759680,14132912,16187392,864256,1376056.0,3850.0
182488044,10440704,11984896,14133024,16187392,864256,840465.0,3850.0
182488192,10440704,13545472,14133120,16187392,864256,926526.0,3850.0
182488337,10440704,15085568,14132944,16187392,864256,760508.0,3850.0
182488486,10440704,16646144,14132912,16187392,864256,963148.0,3850.0
182488630,10440704,18194432,14133024,16187392,864256,740061.0,3850.0
182488774,10571776,11563008,14133024,16187392,864256,673532.0,3850.0
182488920,10575872,13090816,14132912,16187392,864256,372014.0,3850.0
182489067,10575872,14684160,14132848,16187392,864256,728769.0,3850.0
182489215,10575872,16216064,14132768,16187392,864256,784312.0,3850.0
182489360,10575872,17768448,14132880,16187392,864256,724192.0,3850.0
182489509,10440704,11067392,14132864,16187392,864256,798961.0,3850.0
182489654,10440704,12652544,14132976,16187392,864256,558174.0,3850.0
182489800,10440704,14172160,14132864,16187392,864256,764170.0,3850.0
182489948,10440704,15765504,14132864,16187392,864256,1155106.0,3850.0
182490096,10440704,17301504,14132864,16187392,864256,1051039.0,3850.0
182490239,10571776,16523264,14132976,16187392,864256,908520.0,3850.0
182490387,10571776,12177408,14133040,16187392,864256,641793.0,3850.0
182490532,10571776,13725696,14132944,16187392,864256,626229.0,3850.0
182490677,10571776,15278080,14132864,16187392,864256,643624.0,3850.0
182490825,10571776,16830464,14132864,16187392,864256,964368.0,3850.0
182490974,10571776,18382848,14132992,16187392,864256,812083.0,3850.0
182491119,10440704,11587584,14132976,16187392,864256,886547.0,3850.0
182491267,10440704,13164544,14132976,16187392,864256,722055.0,3850.0
182491413,10440704,14659584,14132864,16187392,864256,904858.0,3850.0
182491560,10440704,16244736,14132864,16187392,864256,1047988.0,3850.0
182491708,10440704,17788928,14133072,16187392,864256,665597.0,3850.0
182491854,10571776,11104256,14132976,16187392,864256,747080.0,3850.0
182492001,10571776,12644352,14132864,16187392,864256,653695.0,3850.0
182492148,10571776,14209024,14132976,16187392,864256,639962.0,3850.0
182492295,10571776,15749120,14133040,16187392,864256,959485.0,3850.0
182492440,10571776,17301504,14132864,16187392,864256,809642.0,3850.0
