JAVA-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
155237196,10526720,26664960,14037712,16396288,434176,614937.0,4386.0
155237333,10526720,26664960,14037712,16396288,434176,324101.0,4386.0
155237470,10526720,26669056,14037712,16396288,434176,312504.0,4386.0
155237607,10526720,26669056,14037712,16396288,434176,224917.0,4386.0
155237743,10526720,26673152,14037712,16396288,434176,309757.0,4386.0
155237881,10526720,26673152,14037712,16396288,434176,266727.0,4386.0
155238018,10526720,26673152,14037712,16396288,434176,195925.0,4386.0
155238154,10526720,26677248,14037712,16396288,434176,219424.0,4386.0
155238289,10526720,26677248,14037712,16396288,434176,194094.0,4386.0
155238427,10526720,26681344,14037712,16396288,434176,366521.0,4386.0
155238563,10526720,26681344,14037712,16396288,434176,232852.0,4386.0
155238698,10526720,26681344,14037712,16396288,434176,240176.0,4386.0
155238834,10526720,26685440,14037712,16396288,434176,296634.0,4386.0
155238970,10526720,26685440,14037712,16396288,434176,285953.0,4386.0
155239106,10526720,26689536,14037712,16396288,434176,439459.0,4386.0
155239242,10526720,26689536,14037712,16396288,434176,278934.0,4386.0
155239380,10526720,26689536,14037712,16396288,434176,266422.0,4386.0
155239517,10526720,26693632,14037712,16396288,434176,333256.0,4386.0
155239653,10526720,26693632,14037712,16396288,434176,266422.0,4386.0
155239790,10526720,26697728,14037712,16396288,434176,300602.0,4386.0
155239925,10526720,26697728,14037712,16396288,434176,263980.0,4386.0
155240062,10526720,26701824,14037712,16396288,434176,230105.0,4386.0
155240197,10526720,26701824,14037712,16396288,434176,237124.0,4386.0
155240332,10526720,26701824,14037712,16396288,434176,194094.0,4386.0
155240468,10526720,26705920,14037712,16396288,434176,491950.0,4386.0
155240606,10526720,26705920,14037712,16396288,434176,260013.0,4386.0
155240742,10526720,26710016,14037712,16396288,434176,214846.0,4386.0
155240878,10526720,26710016,14037712,16396288,434176,259097.0,4386.0
155241014,10526720,26710016,14037712,16396288,434176,185854.0,4386.0
155241151,10526720,26714112,14037712,16396288,434176,219424.0,4386.0
155241287,10526720,26714112,14037712,16396288,434176,188296.0,4386.0
155241424,10526720,26718208,14037712,16396288,434176,256046.0,4386.0
155241561,10526720,26718208,14037712,16396288,434176,373235.0,4386.0
155241697,10526720,26718208,14037712,16396288,434176,221255.0,4386.0
155241833,10526720,26722304,14037712,16396288,434176,226138.0,4386.0
155241969,10526720,26722304,14037712,16396288,434176,217898.0,4386.0
155242106,10526720,26726400,14037712,16396288,434176,221255.0,4386.0
155242241,10526720,26726400,14037712,16396288,434176,328068.0,4386.0
155242379,10526720,26730496,14037712,16396288,434176,224612.0,4386.0
155242515,10526720,26730496,14037712,16396288,434176,504767.0,4386.0
155242655,10526720,26730496,14037712,16396288,434176,288700.0,4386.0
155242791,10526720,26734592,14037712,16396288,434176,190127.0,4386.0
155242927,10526720,26734592,14037712,16396288,434176,329594.0,4386.0
155243063,10526720,26738688,14037712,16396288,434176,207522.0,4386.0
155243198,10526720,26738688,14037712,16396288,434176,279239.0,4386.0
155243334,10526720,26738688,14037712,16396288,434176,184633.0,4386.0
155243471,10526720,26742784,14037712,16396288,434176,201723.0,4386.0
155243607,10526720,26742784,14037712,16396288,434176,404363.0,4386.0
155243743,10526720,26746880,14037712,16396288,434176,228885.0,4386.0
155243879,10526720,26746880,14037712,16396288,434176,272830.0,4386.0
155244014,10526720,26746880,14037712,16396288,434176,298771.0,4386.0
155244152,10526720,26750976,14037712,16396288,434176,254520.0,4386.0
155244288,10526720,26750976,14037712,16396288,434176,278934.0,4386.0
155244425,10526720,26755072,14037712,16396288,434176,247806.0,4386.0
155244561,10526720,26755072,14037712,16396288,434176,218508.0,4386.0
155244698,10526720,26759168,14037712,16396288,434176,310673.0,4386.0
155244834,10526720,26759168,14037712,16396288,434176,250552.0,4386.0
155244969,10526720,26759168,14037712,16396288,434176,306095.0,4386.0
155245106,10526720,26763264,14037712,16396288,434176,251773.0,4386.0
155245242,10526720,26763264,14037712,16396288,434176,217593.0,4386.0
155245377,10526720,26767360,14037712,16396288,434176,218508.0,4386.0
155245514,10526720,26767360,14037712,16396288,434176,182192.0,4386.0
155245649,10526720,26767360,14037712,16396288,434176,498664.0,4386.0
155245786,10526720,26771456,14037712,16396288,434176,301517.0,4386.0
155245922,10526720,26771456,14037712,16396288,434176,270999.0,4386.0
155246059,10526720,26775552,14037712,16396288,434176,191958.0,4386.0
155246195,10526720,26775552,14037712,16396288,434176,209353.0,4386.0
155246332,10526720,26775552,14037712,16396288,434176,310368.0,4386.0
155246470,10526720,26779648,14037712,16396288,434176,201113.0,4386.0
155246607,10526720,26779648,14037712,16396288,434176,439459.0,4386.0
155246746,10526720,26783744,14037712,16396288,434176,341801.0,4386.0
155246882,10526720,26783744,14037712,16396288,434176,291446.0,4386.0
155247019,10526720,26787840,14037712,16396288,434176,401006.0,4386.0
155247157,10526720,26787840,14037712,16396288,434176,407110.0,4386.0
155247290,10526720,26787840,14037712,16396288,434176,611885.0,4386.0
fim
