JAVA-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
152311316,10502144,13701120,13733168,16207872,430080,486456.0,4399.0
152311451,10547200,20942848,13737232,16207872,430080,490424.0,4399.0
152311581,10502144,22765568,13733168,16207872,430080,457770.0,4399.0
152311711,10481664,24002560,13733040,16207872,430080,431524.0,4399.0
152311844,10555392,16338944,13733040,16207872,430080,569771.0,4399.0
152311979,10366976,25190400,13733040,16207872,430080,312809.0,4399.0
152312111,10510336,15503360,13733168,16207872,430080,440374.0,4399.0
152312245,10498048,27701248,13733040,16207872,430080,484015.0,4399.0
152312373,10481664,33431552,13732784,16207872,430080,344548.0,4399.0
152312501,10485760,25083904,13732656,16207872,430080,411687.0,4399.0
152312635,10403840,28483584,13732592,16207872,430080,594795.0,4399.0
152312769,10481664,31444992,13737024,16207872,430080,426031.0,4399.0
152312904,10485760,25006080,13732656,16207872,430080,518500.0,4399.0
152313039,10407936,32567296,13732656,16207872,430080,368047.0,4399.0
152313168,10477568,25374720,13733488,16207872,430080,308536.0,4399.0
152313297,10469376,20123648,13733040,16207872,430080,374150.0,4399.0
152313427,10346496,20930560,13732912,16207872,430080,476080.0,4399.0
152313560,10477568,17661952,13737152,16207872,430080,376286.0,4399.0
152313689,10469376,20008960,13732912,16207872,430080,364384.0,4399.0
152313824,10387456,34693120,13733104,16207872,430080,308231.0,4399.0
152313952,10534912,23928832,13733104,16207872,430080,417181.0,4399.0
152314086,10522624,29724672,13733040,16207872,430080,491034.0,4399.0
152314221,10387456,35237888,13733168,16207872,430080,489203.0,4399.0
152314349,10354688,23953408,13733104,16207872,430080,388494.0,4399.0
152314484,10473472,30494720,13732912,16207872,430080,501410.0,4399.0
152314618,10477568,38957056,13733040,16207872,430080,448614.0,4399.0
152314748,10346496,19935232,13732912,16207872,430080,420843.0,4399.0
152314881,10518528,22368256,13733104,16207872,430080,509650.0,4399.0
152315014,10387456,31547392,13733104,16207872,430080,514838.0,4399.0
152315144,10383360,22839296,13733104,16207872,430080,422369.0,4399.0
152315278,10522624,27983872,13732976,16207872,430080,317997.0,4399.0
152315412,10481664,36384768,13733552,16207872,430080,390630.0,4399.0
152315541,10387456,31756288,13733152,16207872,430080,409551.0,4399.0
152315667,10399744,23994368,13733232,16207872,430080,401616.0,4399.0
152315801,10526720,27226112,13733296,16207872,430080,449530.0,4399.0
152315935,10518528,34529280,13734256,16207872,430080,380864.0,4399.0
152316065,10473472,29249536,13733104,16207872,430080,351567.0,4399.0
152316198,10469376,32915456,13733104,16207872,430080,397649.0,4399.0
152316329,10403840,30023680,13733152,16207872,430080,411687.0,4399.0
152316457,10530816,23486464,13733616,16207872,430080,441595.0,4399.0
152316590,10477568,35237888,13733680,16207872,430080,412908.0,4399.0
152316719,10518528,31019008,13733808,16207872,430080,508429.0,4399.0
152316849,10522624,30150656,13733104,16207872,430080,386968.0,4399.0
152316984,10473472,34144256,13733104,16207872,430080,466009.0,4399.0
152317122,10387456,34603008,13733360,16207872,430080,479437.0,4399.0
152317252,10522624,28004352,13733232,16207872,430080,578010.0,4399.0
152317386,10477568,36974592,13733872,16207872,430080,376897.0,4399.0
152317516,10387456,31358976,13733360,16207872,430080,498969.0,4399.0
152317645,10342400,21688320,13733168,16207872,430080,378423.0,4399.0
152317778,10346496,18128896,13733168,16207872,430080,440374.0,4399.0
152317910,10354688,21315584,13733216,16207872,430080,429083.0,4399.0
152318045,10473472,28299264,13733216,16207872,430080,374761.0,4399.0
152318178,10469376,29597696,13733280,16207872,430080,449224.0,4399.0
152318308,10403840,30363648,13733856,16207872,430080,318302.0,4399.0
152318437,10387456,23707648,13733360,16207872,430080,523688.0,4399.0
152318572,10387456,31776768,13733360,16207872,430080,406499.0,4399.0
152318700,10387456,22827008,13733360,16207872,430080,395208.0,4399.0
152318834,10391552,31625216,13733360,16207872,430080,436712.0,4399.0
152318964,10387456,23633920,13733360,16207872,430080,391851.0,4399.0
