KOTLIN-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
19426658,9236480,53563392,9305056,17231872,430080,647897.0,4128.0
19426789,9310208,118501376,9305056,17240064,430080,700388.0,4128.0
19426922,9351168,160980992,9305248,17235968,430080,740061.0,4128.0
19427057,9498624,271847424,9368304,17235968,593920,1059890.0,4128.0
19427193,11132928,271847424,9368304,17235968,593920,610054.0,4128.0
19427330,12128256,277889024,9356048,17235968,593920,459295.0,4128.0
19428101,12611584,271953920,9277024,17231872,602112,537116.0,4128.0
19428369,10805248,273145856,9277232,17231872,602112,597237.0,4128.0
19428509,12181504,273145856,9261936,17231872,602112,497443.0,4128.0
19428853,13545472,274116608,9258224,17235968,602112,271915.0,4128.0
19429568,11083776,281399296,9258464,17231872,602112,268863.0,4128.0
19430229,13205504,266797056,9258464,17231872,602112,302738.0,4128.0
19430902,11304960,272658432,9258592,17231872,602112,994581.0,4128.0
19431040,10960896,273100800,9258592,17231872,602112,636910.0,4128.0
19431185,12378112,273174528,9226640,17231872,602112,336308.0,4128.0
19432304,14417920,267325440,9225984,17256448,552960,554817.0,4128.0
19432513,10805248,273096704,9226064,17256448,552960,414129.0,4128.0
19432653,12230656,273096704,9226064,17256448,552960,375676.0,4128.0
19432796,12271616,274157568,9226064,17256448,552960,350651.0,4128.0
19432939,11374592,108843008,9226128,17256448,552960,453497.0,4128.0
19433085,12341248,281985024,9226128,17256448,552960,886242.0,4128.0
19433227,10473472,273170432,9221456,17256448,552960,410161.0,4128.0
19433370,11956224,273174528,9221456,17256448,552960,341496.0,4128.0
19433515,12324864,273240064,9221424,17256448,552960,337834.0,4128.0
19433845,11800576,279711744,9221552,17256448,552960,956128.0,4128.0
19433984,11001856,273162240,9221552,17256448,552960,463263.0,4128.0
19434128,12111872,273227776,9221424,17256448,552960,383916.0,4128.0
19434420,9641984,234049536,9221552,17256448,552960,961011.0,4128.0
19434559,11243520,273162240,9221552,17256448,552960,562446.0,4128.0
19434703,12156928,273227776,9221424,17256448,552960,379643.0,4128.0
19435005,11583488,278228992,9221552,17256448,552960,988478.0,4128.0
19435147,10969088,273149952,9221552,17256448,552960,536201.0,4128.0
19435292,12132352,273215488,9221552,17256448,552960,299991.0,4128.0
19435433,12226560,277766144,9221552,17256448,552960,465399.0,4128.0
19435577,11702272,180871168,9221616,17256448,552960,1000380.0,4128.0
19435739,10461184,273162240,9221552,17256448,552960,564583.0,4128.0
19435877,11939840,273162240,9221552,17256448,552960,268863.0,4128.0
19436020,12308480,273231872,9221360,17256448,552960,336003.0,4128.0
19436331,12369920,278528000,9221360,17256448,557056,367436.0,4128.0
