KOTLIN-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
10074927,9482240,15024128,9483184,19091456,507904,1241167.0,4327.0
10075076,9482240,15028224,9483184,19091456,491520,958265.0,4327.0
10075228,9482240,15028224,9483184,19091456,491520,936902.0,4327.0
10075380,9482240,15032320,9483184,19091456,491520,995191.0,4327.0
10075529,9482240,15032320,9483184,19091456,491520,1046767.0,4327.0
10075680,9482240,15036416,9483184,19091456,491520,926221.0,4327.0
10075832,9482240,15036416,9483184,19091456,491520,938733.0,4327.0
10075989,9482240,15036416,9483184,19091456,491520,1076675.0,4327.0
10076141,9482240,15040512,9483184,19091456,491520,1060805.0,4327.0
10076295,9482240,15040512,9483184,19091456,491520,954603.0,4327.0
10076459,9482240,15044608,9483184,19091456,491520,992445.0,4327.0
10076609,9482240,15044608,9483184,19091456,491520,946363.0,4327.0
10076761,9482240,15044608,9483184,19091456,491520,973524.0,4327.0
10076913,9482240,15048704,9483184,19091456,491520,984510.0,4327.0
10077064,9482240,15048704,9483184,19091456,491520,954297.0,4327.0
10077220,9482240,15052800,9483184,19091456,491520,1078506.0,4327.0
10077381,9482240,15052800,9483184,19091456,491520,972303.0,4327.0
10077533,9482240,15052800,9483184,19091456,491520,1076064.0,4327.0
10077693,9482240,15056896,9483184,19091456,491520,972913.0,4327.0
10077844,9482240,15056896,9483184,19091456,491520,959791.0,4327.0
10078005,9482240,15060992,9483184,19091456,491520,991224.0,4327.0
10078155,9482240,15060992,9483184,19091456,491520,943616.0,4327.0
10078307,9482240,15065088,9483184,19091456,491520,967725.0,4327.0
10078459,9482240,15065088,9483184,19091456,491520,928052.0,4327.0
10078623,9482240,15065088,9483184,19091456,491520,1156021.0,4327.0
10078767,9482240,15069184,9483184,19091456,491520,945447.0,4327.0
10078916,9482240,15069184,9483184,19091456,491520,991835.0,4327.0
10079068,9482240,15073280,9483184,19091456,491520,1013807.0,4327.0
10079220,9482240,15073280,9483184,19091456,491520,1023573.0,4327.0
10079371,9482240,15073280,9483184,19091456,491520,964673.0,4327.0
10079522,9482240,15077376,9483184,19091456,491520,987867.0,4327.0
10079674,9482240,15077376,9483184,19091456,491520,934766.0,4327.0
10079829,9482240,15081472,9483184,19091456,491520,1098342.0,4327.0
10079983,9482240,15081472,9483184,19091456,491520,932630.0,4327.0
10080133,9482240,15081472,9483184,19091456,491520,1040663.0,4327.0
10080295,9482240,15085568,9483184,19091456,491520,1031813.0,4327.0
10080453,9482240,15085568,9483184,19091456,491520,1017775.0,4327.0
10080604,9482240,15089664,9483184,19091456,491520,1006788.0,4327.0
10080757,9482240,15089664,9483184,19091456,491520,1001600.0,4327.0
10080909,9482240,15089664,9483184,19091456,491520,1034865.0,4327.0
10081060,9482240,15093760,9483184,19091456,491520,988783.0,4327.0
10081217,9482240,15093760,9483184,19091456,491520,1028761.0,4327.0
10081368,9482240,15097856,9483184,19091456,491520,985426.0,4327.0
10081519,9482240,15097856,9483184,19091456,491520,1050429.0,4327.0
10081670,9482240,15101952,9483184,19091456,491520,993055.0,4327.0
10081820,9482240,15101952,9483184,19091456,491520,986341.0,4327.0
10081979,9482240,15101952,9483184,19091456,491520,972608.0,4327.0
10082131,9482240,15106048,9483184,19091456,491520,957654.0,4327.0
10082283,9482240,15106048,9483184,19091456,491520,1008925.0,4327.0
10082435,9482240,15110144,9483184,19091456,491520,962537.0,4327.0
10082587,9482240,15110144,9483184,19091456,491520,972913.0,4327.0
10082742,9482240,15110144,9483184,19091456,491520,972303.0,4327.0
10082894,9482240,15114240,9483184,19091456,491520,958265.0,4327.0
10083046,9482240,15114240,9483184,19091456,491520,936597.0,4327.0
10083203,9482240,15118336,9483184,19091456,491520,1169449.0,4327.0
10083356,9482240,15118336,9483184,19091456,491520,1023878.0,4327.0
10083509,9482240,15118336,9483184,19091456,491520,1005873.0,4327.0
10083660,9482240,15122432,9483184,19091456,491520,1029372.0,4327.0
10083812,9482240,15122432,9483184,19091456,491520,1047988.0,4327.0
10083969,9482240,15126528,9483184,19091456,491520,1006483.0,4327.0
10084120,9482240,15126528,9483184,19091456,491520,979932.0,4327.0
10084272,9482240,15126528,9483184,19091456,491520,987257.0,4327.0
10084420,9482240,15130624,9483184,19091456,491520,1075149.0,4327.0
10084577,9482240,15130624,9483184,19091456,491520,998243.0,4327.0
10084739,9482240,15134720,9483184,19091456,491520,935987.0,4327.0
10084890,9482240,15134720,9483184,19091456,491520,990614.0,4327.0
10085048,9482240,15134720,9483184,19091456,491520,1010450.0,4327.0
10085200,9482240,15138816,9452016,19091456,454656,1001600.0,4327.0
fim
