KOTLIN-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
183598828,11141120,14110720,15204480,16154624,2805760,574348.0,3796.0
183598982,11141120,15851520,15204592,16154624,2805760,515754.0,3796.0
183599137,11141120,17674240,15204656,16154624,2805760,691537.0,3796.0
183599291,10997760,9666560,15203936,16154624,2805760,719919.0,3796.0
183599445,10997760,11456512,15204048,16154624,2805760,732737.0,3796.0
183599599,10997760,13234176,15204144,16154624,2805760,692453.0,3796.0
183599753,10997760,15015936,15204048,16154624,2805760,678415.0,3796.0
183599906,10997760,16793600,15204304,16154624,2805760,730600.0,3796.0
183600064,11132928,10297344,15203936,16154624,2805760,634774.0,3796.0
183600218,11132928,12079104,15203936,16154624,2805760,927136.0,3796.0
183600376,11132928,13897728,15203936,16154624,2805760,662240.0,3796.0
183600531,11132928,15695872,15204112,16154624,2805760,945752.0,3796.0
183600685,11001856,17473536,15203936,16154624,2805760,874035.0,3796.0
183600826,11001856,10813440,15204048,16154624,2805760,664376.0,3796.0
183600980,11001856,12591104,15203936,16154624,2805760,809337.0,3796.0
183601134,11001856,14401536,15203936,16154624,2805760,864880.0,3796.0
183601290,11001856,16179200,15204048,16154624,2805760,854504.0,3796.0
183601445,11132928,9752576,15204048,16154624,2805760,633858.0,3796.0
183601600,11132928,11526144,15204048,16154624,2805760,919507.0,3796.0
183601754,11132928,13328384,15203936,16154624,2805760,737620.0,3796.0
183601909,11132928,15089664,15204048,16154624,2805760,639352.0,3796.0
183602063,11137024,16883712,15204144,16154624,2805760,731821.0,3796.0
183602218,11001856,10383360,15203936,16154624,2805760,635995.0,3796.0
183602376,11001856,12214272,15203936,16154624,2805760,1026320.0,3796.0
183602531,11001856,13971456,15203936,16154624,2805760,855114.0,3796.0
183602687,11001856,15777792,15203936,16154624,2805760,980543.0,3796.0
183602841,11132928,9265152,15203936,16154624,2805760,766917.0,3796.0
183602995,11132928,11059200,15203968,16154624,2805760,838024.0,3796.0
183603149,11132928,12845056,15204048,16154624,2805760,840160.0,3796.0
183603304,11132928,14671872,15203936,16154624,2805760,571602.0,3796.0
183603458,11132928,16441344,15204048,16154624,2805760,842601.0,3796.0
183603613,11001856,9932800,15203840,16154624,2805760,568245.0,3796.0
183603767,11001856,11710464,15203952,16154624,2805760,512702.0,3796.0
183603922,11001856,13492224,15203952,16154624,2805760,600289.0,3796.0
183604077,11001856,15306752,15203952,16154624,2805760,522773.0,3796.0
183604232,11137024,17055744,15203936,16154624,2805760,890210.0,3796.0
183604384,11132928,10608640,15204048,16154624,2805760,463873.0,3796.0
183604538,11132928,12431360,15203936,16154624,2805760,799876.0,3796.0
183604693,11132928,14204928,15204096,16154624,2805760,538947.0,3796.0
183604848,11132928,16003072,15203984,16154624,2805760,581367.0,3796.0
183605003,11001856,9379840,15204096,16154624,2805760,433660.0,3796.0
183605158,11001856,11214848,15203984,16154624,2805760,698251.0,3796.0
183605314,11001856,13029376,15204096,16154624,2805760,915234.0,3796.0
183605468,11001856,14774272,15203984,16154624,2805760,585030.0,3796.0
183605622,11001856,16596992,15203984,16154624,2805760,439459.0,3796.0
183605777,11132928,10182656,15204096,16154624,2809856,733957.0,3796.0
183605933,11137024,12013568,15203984,16154624,2809856,540473.0,3796.0
183606087,11137024,13762560,15203984,16154624,2809856,815135.0,3796.0
183606242,11137024,15581184,15204160,16154624,2809856,675668.0,3796.0
183606398,11001856,17362944,15203984,16154624,2809856,835582.0,3796.0
183606545,11001856,10756096,15204096,16154624,2809856,781565.0,3796.0
183606699,11001856,12570624,15203984,16154624,2809856,663156.0,3796.0
183606854,11010048,16240640,15203952,16154624,2809856,807506.0,3796.0
183607008,11137024,11546624,15203920,16154624,2809856,643624.0,3796.0
183607166,11137024,13279232,15204096,16154624,2809856,649117.0,3796.0
183607327,11137024,14999552,15203920,16154624,2809856,758982.0,3796.0
183607486,11137024,16674816,15204032,16154624,2809856,658578.0,3796.0
183607648,11001856,11546624,15204160,16154624,2809856,905774.0,3796.0
183607807,11001856,13246464,15204256,16154624,2809856,550544.0,3796.0
183607966,11001856,14966784,15204048,16154624,2809856,688486.0,3796.0
183608126,11001856,16662528,15204048,16154624,2809856,992140.0,3796.0
183608285,11128832,18337792,15204160,16154624,2809856,640878.0,3796.0
183608447,11132928,11857920,15204048,16154624,2809856,702219.0,3796.0
183608605,11132928,13565952,15204048,16154624,2809856,639352.0,3796.0
183608766,11132928,15286272,15204256,16154624,2809856,745554.0,3796.0
183608927,11132928,16994304,15204256,16154624,2809856,690927.0,3796.0
183609087,11120640,18694144,15204160,16154624,2809856,554817.0,3796.0
183609248,11001856,12029952,15203856,16154624,2809856,662240.0,3796.0
183609406,11001856,13746176,15204112,16154624,2809856,744028.0,3796.0
183609566,11001856,15450112,15203904,16154624,2809856,720224.0,3796.0
183609726,11001856,17154048,15203904,16154624,2809856,844127.0,3796.0
183609886,11132928,18833408,15204112,16154624,2809856,851757.0,3796.0
183610047,11132928,12374016,15204112,16154624,2809856,413518.0,3796.0
183610207,11132928,14094336,15204112,16154624,2809856,361333.0,3796.0
183610368,11132928,15818752,15204176,16154624,2809856,792857.0,3796.0
183610526,11132928,17539072,15204000,16154624,2809856,720529.0,3796.0
183610686,11001856,10940416,15204032,16154624,2809856,682992.0,3796.0
183610845,11001856,12664832,15204208,16154624,2809856,608834.0,3796.0
183611004,11001856,14311424,15204080,16154624,2809856,605171.0,3796.0
183611164,11001856,16011264,15204112,16154624,2809856,937512.0,3796.0
183611325,11001856,17731584,15204000,16154624,2809856,621956.0,3796.0
183611482,11132928,11218944,15204000,16154624,2809856,549934.0,3796.0
183611642,11132928,12935168,15204112,16154624,2809856,483405.0,3796.0
183611804,11132928,14663680,15204112,16154624,2809856,474554.0,3796.0
183611966,11132928,16367616,15204112,16154624,2809856,614022.0,3796.0
183612126,11132928,18051072,15204000,16154624,2809856,722361.0,3796.0
183612284,11001856,11403264,15204000,16154624,2809856,568550.0,3796.0
183612444,11001856,13090816,15204032,16154624,2809856,756846.0,3796.0
183612604,11001856,14778368,15204112,16154624,2809856,899060.0,3796.0
183612766,11001856,16502784,15204000,16154624,2809856,608223.0,3796.0
183612924,11001856,18198528,15204000,16154624,2809856,748606.0,3796.0
183613084,11132928,11698176,15204032,16154624,2809856,775462.0,3796.0
183613244,11137024,13385728,15204032,16154624,2809856,588997.0,3796.0
183613405,11137024,15106048,15204000,16154624,2809856,741282.0,3796.0
183613564,11137024,16826368,15204000,16154624,2809856,603035.0,3796.0
183613724,11010048,18526208,15204112,16154624,2809856,826122.0,3796.0
183613884,11001856,11882496,15204112,16154624,2809856,1095291.0,3796.0
183614045,11001856,13598720,15204000,16154624,2809856,678415.0,3796.0
183614206,11001856,15323136,15204000,16154624,2809856,560005.0,3796.0
183614365,11001856,17039360,15204000,16154624,2809856,619210.0,3796.0
183614524,11132928,18714624,15204112,16154624,2809856,693063.0,3796.0
183614686,11132928,12181504,15204112,16154624,2809856,721140.0,3796.0
183614846,11132928,13877248,15203856,16154624,2809856,817577.0,3796.0
183615005,11132928,15601664,15204128,16154624,2809856,633553.0,3796.0
183615166,11132928,17317888,15203952,16154624,2809856,838939.0,3796.0
183615326,11001856,19017728,15204160,16154624,2809856,582588.0,3796.0
183615488,11001856,12419072,15204160,16154624,2809856,800487.0,3796.0
183615648,11001856,14090240,15204160,16154624,2809856,723581.0,3796.0
183615809,11001856,15814656,15204224,16154624,2809856,669870.0,3796.0
183615968,11001856,17518592,15204224,16154624,2809856,719309.0,3796.0
183616127,11132928,10960896,15204160,16154624,2809856,754099.0,3787.0
183616286,11132928,12685312,15204224,16154624,2809856,630807.0,3787.0
183616443,11132928,14381056,15204048,16154624,2809856,776072.0,3787.0
183616603,11132928,16060416,15204160,16154624,2809856,692758.0,3787.0
183616765,11132928,17784832,15204048,16154624,2809856,863964.0,3787.0
183616926,11001856,11087872,15204160,16154624,2809856,913098.0,3787.0
183617087,11001856,12804096,15204048,16154624,2809856,854198.0,3787.0
183617245,11001856,14524416,15204256,16154624,2809856,704660.0,3787.0
183617406,11001856,16236544,15204048,16154624,2809856,1041579.0,3787.0
183617569,11001856,17956864,15204048,16154624,2809856,593880.0,3787.0
183617729,11132928,11448320,15204160,16154624,2809856,698862.0,3787.0
183617887,11132928,13127680,15204160,16154624,2809856,972303.0,3787.0
183618047,11132928,14848000,15204048,16154624,2809856,605477.0,3787.0
183618206,11132928,16576512,15204224,16154624,2809856,909436.0,3787.0
183618366,11132928,18272256,15204352,16154624,2809856,578621.0,3787.0
183618527,11001856,11669504,15204160,16154624,2809856,624703.0,3787.0
183618686,11005952,13369344,15204160,16154624,2809856,823986.0,3787.0
183618844,11005952,15081472,15204048,16154624,2809856,703745.0,3787.0
183619004,11005952,16785408,15204160,16154624,2809856,621651.0,3787.0
183619164,11132928,18464768,15204048,16154624,2809856,895092.0,3787.0
183619323,11137024,11948032,15204080,16154624,2809856,330204.0,3787.0
183619484,11137024,13668352,15204048,16154624,2809856,575264.0,3787.0
183619645,11137024,15392768,15204048,16154624,2809856,1035780.0,3787.0
183619804,11137024,17113088,15204048,16154624,2809856,834056.0,3787.0
183619964,11005952,18788352,15204032,16154624,2809856,1034255.0,3787.0
183620123,11005952,14225408,15203920,16154624,2809856,614632.0,3787.0
183620282,11005952,15937536,15203920,16154624,2809856,779429.0,3787.0
183620440,11005952,17567744,15203888,16154624,2809856,677804.0,3787.0
183620598,11132928,12931072,15204000,16154624,2809856,685434.0,3787.0
183620756,11132928,14602240,15204112,16154624,2809856,776377.0,3787.0
183620915,11132928,16297984,15204000,16154624,2809856,631417.0,3787.0
183621070,11132928,17948672,15204032,16154624,2809856,798656.0,3787.0
183621230,11001856,11337728,15204064,16154624,2809856,750132.0,3787.0
183621387,11001856,13008896,15204064,16154624,2809856,566719.0,3787.0
183621545,11001856,14675968,15204176,16154624,2809856,639657.0,3787.0
183621706,11001856,16396288,15204240,16154624,2809856,687875.0,3787.0
183621865,11001856,18116608,15204064,16154624,2809856,417181.0,3787.0
183622025,11132928,11653120,15204176,16154624,2809856,467840.0,3787.0
183622182,11137024,13307904,15204144,16154624,2809856,870373.0,3787.0
183622343,11137024,15020032,15204064,16154624,2809856,669259.0,3787.0
183622503,11137024,16744448,15204064,16154624,2809856,714731.0,3787.0
183622662,11141120,18386944,15204304,16154624,2809856,672616.0,3787.0
183622821,11001856,11804672,15204176,16154624,2809856,932019.0,3787.0
183622983,11001856,13524992,15204064,16154624,2809856,1020216.0,3787.0
183623142,11001856,15249408,15204064,16154624,2809856,846264.0,3787.0
183623303,11001856,16953344,15204064,16154624,2809856,660409.0,3787.0
183623461,11141120,18612224,15204064,16154624,2809856,957044.0,3787.0
183623618,11132928,11997184,15204176,16154624,2809856,729380.0,3787.0
183623777,11132928,13701120,15204176,16154624,2809856,620736.0,3787.0
183623936,11132928,15417344,15204176,16154624,2809856,650948.0,3787.0
183624094,11132928,17076224,15204064,16154624,2809856,700693.0,3787.0
183624252,11145216,18759680,15204096,16154624,2809856,935681.0,3787.0
183624410,11001856,11890688,15204064,16154624,2809856,660409.0,3787.0
183624568,11001856,13602816,15204240,16154624,2809856,803538.0,3787.0
183624726,11001856,15249408,15204176,16154624,2809856,858166.0,3787.0
183624885,11001856,16932864,15204064,16154624,2809856,760203.0,3787.0
183625043,11132928,18644992,15204144,16154624,2809856,889294.0,3787.0
183625201,11132928,12288000,15204176,16154624,2809856,541694.0,3787.0
183625360,11132928,13971456,15204112,16154624,2809856,658883.0,3787.0
183625521,11132928,15695872,15203920,16154624,2809856,617379.0,3787.0
183625680,11132928,17416192,15204176,16154624,2809856,560005.0,3787.0
183625841,11001856,10706944,15204240,16154624,2809856,825206.0,3787.0
183625989,11001856,12292096,15204176,16154624,2809856,598152.0,3787.0
183626148,11001856,13987840,15204064,16154624,2809856,601814.0,3787.0
183626306,11001856,15675392,15204176,16154624,2809856,791942.0,3787.0
183626465,11001856,17342464,15204176,16154624,2809856,570686.0,3787.0
183626624,11132928,10846208,15204112,16154624,2809856,781260.0,3787.0
183626782,11132928,12529664,15204112,16154624,2809856,770274.0,3787.0
183626941,11132928,14221312,15204224,16154624,2809856,797740.0,3787.0
183627101,11132928,15945728,15204112,16154624,2809856,674447.0,3787.0
183627261,11132928,17666048,15204112,16154624,2809856,973829.0,3787.0
183627423,11001856,11079680,15204224,16154624,2809856,880444.0,3787.0
183627579,11001856,12726272,15204224,16154624,2809856,852367.0,3787.0
183627741,11001856,14446592,15204192,16154624,2809856,616158.0,3787.0
183627902,11001856,16171008,15204224,16154624,2809856,695200.0,3787.0
183628064,11001856,17891328,15204320,16154624,2809856,723886.0,3787.0
183628222,11132928,11403264,15204224,16154624,2809856,870373.0,3787.0
183628381,11137024,13082624,15204224,16154624,2809856,796214.0,3787.0
183628541,11137024,14794752,15204112,16154624,2809856,700693.0,3787.0
183628700,11137024,16494592,15204112,16154624,2809856,674142.0,3787.0
183628861,11137024,18219008,15204112,16154624,2809856,654916.0,3787.0
183629020,11001856,11558912,15204224,16154624,2809856,932019.0,3787.0
183629180,11001856,13283328,15204224,16154624,2809856,686349.0,3787.0
183629339,11001856,15003648,15204224,16154624,2809856,848400.0,3787.0
183629501,11001856,16728064,15204112,16154624,2809856,919507.0,3787.0
183629668,11128832,18493440,15204224,16154624,2809856,543830.0,3787.0
183629827,11132928,11997184,15204112,16154624,2809856,825206.0,3787.0
183629984,11132928,13684736,15204192,16154624,2809856,740671.0,3787.0
183630145,11132928,15384576,15204112,16154624,2809856,560310.0,3787.0
183630304,11132928,17055744,15204224,16154624,2809856,929578.0,3787.0
183630464,11001856,18771968,15204112,16154624,2809856,708627.0,3787.0
183630622,11001856,12091392,15204224,16154624,2809856,748911.0,3787.0
183630780,11001856,13758464,15204112,16154624,2809856,895703.0,3787.0
183630938,11001856,15482880,15203968,16154624,2809856,863049.0,3787.0
183631098,11001856,17149952,15203968,16154624,2809856,726938.0,3787.0
183631259,11132928,18857984,15204096,16154624,2809856,748911.0,3787.0
183631407,11132928,12271616,15204064,16154624,2809856,624703.0,3787.0
183631565,11132928,13987840,15204064,16154624,2809856,910962.0,3787.0
183631723,11132928,15634432,15204064,16154624,2809856,572517.0,3787.0
183631885,11132928,17362944,15204064,16154624,2809856,684823.0,3787.0
183632045,11001856,10780672,15204240,16154624,2809856,754099.0,3787.0
183632201,11001856,12447744,15204064,16154624,2809856,814525.0,3787.0
183632367,11001856,14217216,15204064,16154624,2809856,751353.0,3787.0
183632528,11001856,15904768,15204064,16154624,2809856,633248.0,3787.0
183632687,11001856,17575936,15204064,16154624,2809856,780650.0,3787.0
183632844,11132928,11075584,15204064,16154624,2809856,708627.0,3787.0
183633004,11132928,12767232,15204064,16154624,2809856,819408.0,3787.0
183633163,11132928,14458880,15204176,16154624,2809856,552375.0,3787.0
183633325,11132928,16183296,15204064,16154624,2809856,790721.0,3787.0
183633482,11132928,17870848,15204176,16154624,2809856,571907.0,3787.0
183633642,11001856,11157504,15204064,16154624,2809856,1147171.0,3787.0
183633802,11001856,12890112,15204176,16154624,2809856,596016.0,3787.0
183633962,11001856,14610432,15204272,16154624,2809856,842907.0,3787.0
183634122,11001856,16326656,15204240,16154624,2809856,544135.0,3787.0
183634281,11001856,18006016,15204064,16154624,2809856,346684.0,3787.0
183634442,11132928,11534336,15204176,16154624,2809856,573128.0,3787.0
183634601,11132928,13221888,15204176,16154624,2809856,690622.0,3787.0
183634762,11132928,14938112,15204176,16154624,2809856,749216.0,3787.0
183634923,11132928,16662528,15204176,16154624,2809856,569160.0,3787.0
183635083,11137024,18382848,15204192,16154624,2809856,752879.0,3787.0
183635243,11001856,11743232,15204064,16154624,2809856,628975.0,3787.0
183635402,11001856,13418496,15204176,16154624,2809856,663461.0,3787.0
183635560,11001856,15134720,15204064,16154624,2809856,656747.0,3787.0
183635725,11001856,16863232,15204064,16154624,2809856,747385.0,3787.0
183635883,11141120,18583552,15204064,16154624,2809856,835582.0,3787.0
183636043,11132928,12099584,15204064,16154624,2809856,534065.0,3787.0
183636202,11132928,13774848,15204144,16154624,2809856,668954.0,3787.0
183636361,11132928,15454208,15204080,16154624,2809856,519111.0,3787.0
183636521,11132928,17174528,15204080,16154624,2809856,570076.0,3787.0
183636681,11001856,18898944,15204288,16154624,2809856,516669.0,3787.0
183636840,11001856,12226560,15204288,16154624,2813952,857555.0,3787.0
183637001,11001856,13950976,15204288,16154624,2813952,697641.0,3787.0
183637164,11001856,15675392,15204320,16154624,2813952,713816.0,3787.0
183637323,11001856,17395712,15204112,16154624,2813952,601204.0,3787.0
183637482,11132928,10973184,15204224,16154624,2813952,859692.0,3787.0
183637641,11132928,12693504,15204224,16154624,2813952,685739.0,3787.0
183637799,11132928,14381056,15204112,16154624,2813952,544135.0,3787.0
183637960,11132928,16105472,15204224,16154624,2813952,569160.0,3787.0
183638121,11132928,17825792,15204224,16154624,2813952,802623.0,3787.0
183638280,11001856,11272192,15204112,16154624,2813952,662240.0,3787.0
183638438,11001856,12951552,15204144,16154624,2813952,703134.0,3787.0
183638596,11001856,14622720,15204112,16154624,2813952,728769.0,3787.0
183638754,11001856,16347136,15204112,16154624,2813952,599068.0,3787.0
183638911,11001856,17993728,15204224,16154624,2813952,898755.0,3787.0
183639069,11132928,11501568,15204112,16154624,2813952,779429.0,3787.0
183639227,11132928,13168640,15204224,16154624,2813952,625313.0,3787.0
183639387,11132928,14835712,15204192,16154624,2813952,769358.0,3787.0
183639545,11132928,16560128,15204288,16154624,2813952,699167.0,3787.0
183639704,11132928,18259968,15204288,16154624,2813952,613716.0,3787.0
183639864,11001856,11587584,15204224,16154624,2813952,519416.0,3787.0
183640022,11001856,13283328,15204224,16154624,2813952,733957.0,3787.0
183640183,11001856,15003648,15204224,16154624,2813952,843517.0,3787.0
183640345,11001856,16728064,15204112,16154624,2813952,792552.0,3787.0
183640503,11128832,18448384,15204112,16154624,2813952,666207.0,3787.0
183640663,11132928,11980800,15204112,16154624,2813952,874951.0,3787.0
183640821,11132928,13643776,15204224,16154624,2813952,897534.0,3787.0
183640980,11132928,15331328,15204224,16154624,2813952,579231.0,3787.0
183641140,11132928,17051648,15204224,16154624,2813952,874645.0,3787.0
183641300,11001856,18776064,15204320,16154624,2813952,690622.0,3787.0
183641461,11001856,12214272,15204144,16154624,2813952,728769.0,3787.0
183641620,11001856,13897728,15204224,16154624,2813952,753794.0,3787.0
183641778,11001856,15581184,15204080,16154624,2813952,668039.0,3787.0
183641937,11001856,17301504,15203968,16154624,2813952,666207.0,3787.0
fim
