KOTLIN-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
155589833,10379264,9318400,14027776,16166912,434176,400396.0,4373.0
155589971,10379264,9322496,14027776,16166912,434176,299076.0,4373.0
155590108,10379264,9322496,14027776,16166912,434176,184023.0,4373.0
155590248,10379264,9326592,14027776,16166912,434176,413213.0,4373.0
155590385,10379264,9326592,14027776,16166912,434176,283817.0,4373.0
155590520,10379264,9330688,14027776,16166912,434176,380864.0,4373.0
155590657,10379264,9330688,14027776,16166912,434176,240176.0,4373.0
155590794,10379264,9330688,14027776,16166912,434176,206301.0,4373.0
155590930,10379264,9334784,14027776,16166912,434176,218814.0,4373.0
155591067,10379264,9334784,14027776,16166912,434176,222476.0,4373.0
155591202,10379264,9338880,14027776,16166912,434176,258182.0,4373.0
155591337,10379264,9338880,14027776,16166912,434176,340886.0,4373.0
155591474,10379264,9338880,14027776,16166912,434176,249942.0,4373.0
155591616,10379264,9342976,14027776,16166912,434176,278324.0,4373.0
155591752,10379264,9342976,14027776,16166912,434176,262759.0,4373.0
155591890,10379264,9347072,14027776,16166912,434176,245059.0,4373.0
155592026,10379264,9347072,14027776,16166912,434176,252383.0,4373.0
155592161,10379264,9351168,14027776,16166912,434176,250552.0,4373.0
155592297,10379264,9351168,14027776,16166912,434176,488288.0,4373.0
155592434,10379264,9351168,14027776,16166912,434176,364995.0,4373.0
155592573,10379264,9355264,14027776,16166912,434176,283512.0,4373.0
155592711,10379264,9355264,14027776,16166912,434176,219729.0,4373.0
155592848,10379264,9359360,14027776,16166912,434176,184939.0,4373.0
155592984,10379264,9359360,14027776,16166912,434176,284427.0,4373.0
155593120,10379264,9359360,14027776,16166912,434176,183413.0,4373.0
155593255,10379264,9363456,14027776,16166912,434176,332646.0,4373.0
155593391,10379264,9363456,14027776,16166912,434176,346989.0,4373.0
155593527,10379264,9367552,14027776,16166912,434176,300297.0,4373.0
155593663,10379264,9367552,14027776,16166912,434176,187380.0,4373.0
155593799,10379264,9367552,14027776,16166912,434176,210269.0,4373.0
155593935,10379264,9371648,14027776,16166912,434176,286869.0,4373.0
155594073,10379264,9371648,14027776,16166912,434176,280460.0,4373.0
155594211,10379264,9375744,14027776,16166912,434176,244144.0,4373.0
155594346,10379264,9375744,14027776,16166912,434176,352177.0,4373.0
155594484,10379264,9379840,14027776,16166912,434176,249332.0,4373.0
155594621,10379264,9379840,14027776,16166912,434176,282901.0,4373.0
155594757,10379264,9379840,14027776,16166912,434176,282901.0,4373.0
155594893,10379264,9383936,14027776,16166912,434176,204165.0,4373.0
155595029,10379264,9383936,14027776,16166912,434176,224612.0,4373.0
155595166,10379264,9388032,14027776,16166912,434176,213320.0,4373.0
155595301,10379264,9388032,14027776,16166912,434176,330509.0,4373.0
155595443,10379264,9388032,14027776,16166912,434176,439764.0,4373.0
155595578,10379264,9392128,14027776,16166912,434176,289310.0,4373.0
155595714,10379264,9392128,14027776,16166912,434176,217593.0,4373.0
155595850,10379264,9396224,14027776,16166912,434176,186159.0,4373.0
155595987,10379264,9396224,14027776,16166912,434176,388799.0,4373.0
155596122,10379264,9396224,14027776,16166912,434176,205996.0,4373.0
155596256,10379264,9400320,14027776,16166912,434176,247195.0,4373.0
155596392,10379264,9400320,14027776,16166912,434176,289921.0,4373.0
155596530,10379264,9404416,14027776,16166912,434176,341496.0,4373.0
155596666,10379264,9404416,14027776,16166912,434176,273441.0,4373.0
155596802,10379264,9408512,14027776,16166912,434176,259403.0,4373.0
155596939,10379264,9408512,14027776,16166912,434176,248111.0,4373.0
155597074,10379264,9408512,14027776,16166912,434176,206606.0,4373.0
155597209,10379264,9412608,14027776,16166912,434176,334782.0,4373.0
155597345,10379264,9412608,14027776,16166912,434176,347905.0,4373.0
155597481,10379264,9416704,14027776,16166912,434176,444342.0,4373.0
155597617,10379264,9416704,14027776,16166912,434176,245059.0,4373.0
155597753,10379264,9416704,14027776,16166912,434176,265506.0,4373.0
155597889,10379264,9420800,14027776,16166912,434176,197756.0,4373.0
155598025,10379264,9420800,14027776,16166912,434176,187685.0,4373.0
155598160,10379264,9424896,14027776,16166912,434176,203555.0,4373.0
155598296,10379264,9424896,14027776,16166912,434176,209658.0,4373.0
155598432,10379264,9424896,14027776,16166912,434176,437628.0,4373.0
155598570,10379264,9428992,14027776,16166912,434176,300907.0,4373.0
155598704,10379264,9428992,14027776,16166912,434176,348820.0,4373.0
155598843,10379264,9433088,14027776,16166912,434176,293888.0,4373.0
155598979,10379264,9433088,14027776,16166912,434176,212405.0,4373.0
155599114,10379264,9437184,14027776,16166912,434176,278018.0,4373.0
155599250,10379264,9437184,14027776,16166912,434176,223696.0,4373.0
155599385,10379264,9437184,14027776,16166912,434176,310368.0,4373.0
155599521,10379264,9441280,14027776,16166912,434176,336918.0,4373.0
155599656,10379264,9441280,14027776,16166912,434176,350957.0,4373.0
155599793,10379264,9445376,14027776,16166912,434176,658578.0,4373.0
155599926,10375168,9445376,14027776,16166912,434176,560005.0,4373.0
155600068,10375168,9445376,14027776,16166912,434176,655526.0,4373.0
fim
