KOTLIN-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
152731053,10473472,17473536,13740000,16166912,430080,543220.0,4381.0
152731185,10473472,20238336,13739872,16166912,430080,589607.0,4381.0
152731315,10473472,25468928,13739872,16166912,430080,784617.0,4381.0
152731441,10465280,14090240,13739872,16166912,430080,518500.0,4381.0
152731568,10477568,27205632,13744064,16166912,430080,527961.0,4381.0
152731696,10555392,24502272,13739872,16166912,430080,413824.0,4381.0
152731826,10473472,24612864,13740096,16166912,430080,473334.0,4381.0
152731954,10526720,25288704,13739872,16166912,430080,433660.0,4381.0
152732082,10457088,23584768,13739552,16166912,430080,380864.0,4381.0
152732216,10489856,30818304,13739744,16166912,430080,394292.0,4381.0
152732350,10326016,24178688,13739488,16166912,430080,445562.0,4381.0
152732484,10448896,24850432,13739552,16166912,430080,438238.0,4381.0
152732612,10448896,39194624,13740000,16166912,430080,398259.0,4381.0
152732743,10321920,19337216,13739552,16166912,430080,529487.0,4381.0
152732876,10346496,22990848,13740656,16166912,430080,497138.0,4381.0
152733010,10526720,27090944,13740928,16166912,430080,463873.0,4381.0
152733143,10514432,31006720,13740608,16166912,430080,376897.0,4381.0
152733277,10379264,32669696,13740736,16166912,430080,579536.0,4381.0
152733406,10469376,17657856,13740608,16166912,430080,406804.0,4381.0
152733534,10465280,18731008,13740608,16166912,430080,390020.0,4381.0
152733661,10391552,25468928,13740736,16166912,430080,591744.0,4381.0
152733795,10518528,26460160,13741120,16166912,430080,444342.0,4381.0
152733928,10379264,34848768,13740736,16166912,430080,359196.0,4381.0
152734057,10510336,27811840,13741120,16166912,430080,486151.0,4381.0
152734190,10379264,33619968,13740736,16166912,430080,465704.0,4381.0
152734317,10338304,21450752,13740592,16166912,430080,429083.0,4381.0
152734450,10522624,24948736,13741040,16166912,430080,586250.0,4381.0
152734583,10379264,33198080,13740784,16166912,430080,415044.0,4381.0
152734712,10514432,28286976,13741040,16166912,430080,385747.0,4381.0
152734845,10469376,34684928,13741488,16166912,430080,551765.0,4381.0
152734973,10379264,29790208,13740784,16166912,430080,438543.0,4381.0
152735101,10522624,25751552,13741168,16166912,430080,448309.0,4381.0
152735234,10473472,35778560,13741360,16166912,430080,602425.0,4381.0
152735362,10379264,32141312,13740912,16166912,430080,521857.0,4381.0
152735489,10522624,25718784,13740976,16166912,430080,487982.0,4381.0
152735623,10469376,35987456,13741168,16166912,430080,566414.0,4381.0
152735751,10379264,30871552,13740912,16166912,430080,501105.0,4381.0
152735879,10522624,25026560,13741360,16166912,430080,472723.0,4381.0
152736013,10469376,35237888,13740912,16166912,430080,576790.0,4381.0
152736141,10387456,33026048,13740912,16166912,430080,448919.0,4381.0
152736269,10379264,30441472,13740912,16166912,430080,325321.0,4381.0
152736395,10514432,26816512,13740784,16166912,430080,552680.0,4381.0
152736528,10469376,30830592,13740848,16166912,430080,363164.0,4381.0
152736657,10383360,30855168,13740912,16166912,430080,421758.0,4381.0
152736785,10522624,26238976,13741168,16166912,430080,589302.0,4381.0
152736919,10473472,35319808,13740912,16166912,430080,491950.0,4381.0
152737049,10379264,32870400,13740720,16166912,430080,420843.0,4381.0
152737175,10338304,21262336,13740720,16166912,430080,467230.0,4381.0
152737309,10522624,24559616,13741488,16166912,430080,443731.0,4381.0
152737443,10379264,35098624,13740912,16166912,430080,382695.0,4381.0
152737570,10391552,28860416,13740720,16166912,430080,548713.0,4381.0
152737697,10522624,24457216,13740912,16166912,430080,409246.0,4381.0
152737832,10379264,31641600,13740912,16166912,430080,370488.0,4381.0
152737959,10522624,24293376,13741424,16166912,430080,635689.0,4381.0
152738093,10469376,38572032,13741232,16166912,430080,438238.0,4381.0
152738220,10395648,30617600,13740720,16166912,430080,471808.0,4381.0
152738347,10338304,19083264,13740784,16166912,430080,426641.0,4381.0
152738480,10338304,20594688,13740784,16166912,430080,460821.0,4381.0
152738613,10514432,27463680,13741168,16166912,430080,378423.0,4381.0
152738747,10469376,36638720,13741296,16166912,430080,573128.0,4381.0
152738876,10379264,31404032,13740912,16166912,430080,429693.0,4381.0
152739005,10514432,27631616,13741104,16166912,430080,370488.0,4381.0
152739140,10498048,35237888,13740992,16166912,430080,631722.0,4381.0
152739268,10461184,32710656,13740736,16166912,430080,406499.0,4381.0
152739402,10469376,19390464,13740928,16166912,430080,473334.0,4381.0
152739530,10514432,28405760,13740736,16166912,430080,723886.0,4381.0
152739663,10469376,33173504,13741376,16166912,430080,648812.0,4381.0
152739792,10379264,32899072,13740864,16166912,430080,553901.0,4381.0
152739918,10334208,22380544,13740736,16166912,430080,700998.0,4381.0
152740051,10530816,27185152,13741120,16166912,430080,634164.0,4381.0
152740185,10510336,34828288,13741184,16166912,430080,571296.0,4381.0
152740313,10379264,32485376,13740864,16166912,430080,753184.0,4381.0
152740442,10465280,29732864,13740736,16166912,430080,618294.0,4381.0
152740575,10465280,24928256,13741056,16166912,430080,595711.0,4381.0
152740703,10379264,32669696,13740864,16166912,430080,708322.0,4381.0
152740832,10379264,31817728,13740864,16166912,430080,582893.0,4381.0
152740958,10526720,26185728,13740800,16166912,430080,580452.0,4381.0
152741093,10473472,35950592,13741568,16166912,430080,661019.0,4381.0
152741220,10379264,32616448,13740864,16166912,430080,583198.0,4381.0
152741347,10379264,22740992,13740864,16166912,430080,500495.0,4381.0
152741480,10465280,29556736,13740736,16166912,430080,694589.0,4381.0
152741614,10465280,17448960,13740672,16166912,430080,548103.0,4381.0
152741743,10465280,37142528,13741056,16166912,430080,485541.0,4381.0
152741871,10379264,31449088,13740800,16166912,430080,615242.0,4381.0
152742001,10465280,29241344,13740608,16166912,430080,541389.0,4381.0
152742136,10465280,17453056,13740672,16166912,430080,566414.0,4381.0
152742264,10469376,35098624,13741248,16166912,430080,634774.0,4381.0
152742392,10379264,33394688,13740800,16166912,430080,620430.0,4381.0
152742519,10510336,29134848,13740928,16166912,430080,338444.0,4381.0
152742653,10461184,18210816,13740672,16166912,430080,588692.0,4381.0
152742780,10469376,33951744,13741184,16166912,430080,409551.0,4381.0
152742908,10510336,34111488,13741120,16166912,430080,442205.0,4381.0
152743036,10461184,35246080,13740736,16166912,430080,434576.0,4381.0
152743165,10473472,35356672,13741120,16166912,430080,340580.0,4381.0
152743293,10510336,33427456,13740992,16166912,430080,482489.0,4381.0
152743422,10379264,32063488,13740800,16166912,430080,400396.0,4381.0
152743548,10522624,24018944,13741120,16166912,430080,465704.0,4381.0
152743681,10469376,27181056,13741312,16166912,430080,406499.0,4381.0
152743809,10493952,29376512,13740672,16166912,430080,546577.0,4381.0
152743944,10465280,18223104,13740672,16166912,430080,476080.0,4381.0
152744069,10469376,34910208,13745040,16166912,430080,384526.0,4381.0
152744198,10473472,34967552,13740992,16166912,430080,436407.0,4381.0
152744328,10510336,34742272,13740912,16166912,430080,502631.0,4381.0
152744456,10510336,32444416,13741616,16166912,430080,467230.0,4381.0
152744587,10379264,32776192,13740848,16166912,430080,514533.0,4381.0
152744713,10514432,26963968,13740912,16166912,430080,515754.0,4381.0
152744847,10469376,33492992,13740976,16166912,430080,428777.0,4381.0
152744976,10383360,32215040,13740848,16166912,430080,435186.0,4381.0
152745104,10522624,26320896,13741040,16166912,430080,511481.0,4381.0
152745237,10461184,36012032,13740720,16166912,430080,393071.0,4381.0
152745368,10469376,36216832,13741296,16166912,430080,448919.0,4381.0
152745496,10469376,35270656,13740784,16166912,430080,452581.0,4381.0
152745624,10465280,35188736,13741232,16166912,430080,407720.0,4381.0
152745752,10473472,34390016,13741600,16166912,430080,427557.0,4381.0
152745880,10465280,35569664,13740912,16166912,430080,676584.0,4381.0
152746008,10465280,32219136,13740784,16166912,430080,458685.0,4381.0
152746141,10465280,17768448,13740976,16166912,430080,365605.0,4381.0
152746267,10473472,36175872,13740848,16166912,430080,553596.0,4381.0
152746396,10469376,37249024,13740912,16166912,430080,450750.0,4381.0
152746525,10469376,36052992,13740912,16166912,430080,379643.0,4381.0
152746653,10469376,31084544,13741296,16166912,430080,505378.0,4381.0
152746781,10469376,35192832,13741040,16166912,430080,334477.0,4381.0
152746908,10469376,34799616,13741168,16166912,430080,468146.0,4381.0
152747037,10461184,28192768,13740912,16166912,430080,442816.0,4381.0
152747166,10379264,32436224,13740976,16166912,430080,365300.0,4381.0
152747294,10395648,30404608,13740976,16166912,430080,505988.0,4381.0
152747422,10391552,28532736,13740784,16166912,430080,405889.0,4381.0
152747548,10530816,25559040,13740848,16166912,430080,444647.0,4381.0
152747683,10461184,18395136,13740976,16166912,430080,406194.0,4381.0
152747809,10461184,28454912,13740848,16166912,430080,468756.0,4381.0
152747943,10481664,22020096,13740912,16166912,430080,363164.0,4381.0
152748077,10477568,24526848,13740848,16166912,430080,470587.0,4381.0
152748211,10473472,28844032,13745920,16166912,430080,606392.0,4381.0
152748345,10473472,16547840,13745536,16166912,430080,393377.0,4381.0
152748473,10469376,30601216,13745536,16166912,430080,478827.0,4381.0
152748607,10473472,17100800,13745792,16166912,430080,434271.0,4381.0
152748734,10469376,31264768,13741360,16166912,430080,473639.0,4381.0
152748862,10469376,28356608,13741296,16166912,430080,439459.0,4381.0
152748996,10522624,24252416,13742000,16166912,430080,602120.0,4381.0
152749129,10469376,34983936,13741376,16166912,430080,381475.0,4381.0
152749258,10461184,36737024,13741312,16166912,430080,417181.0,4381.0
152749388,10379264,32845824,13741440,16166912,430080,487067.0,4381.0
152749516,10510336,28237824,13741248,16166912,430080,430914.0,4381.0
152749651,10469376,19939328,13741248,16166912,430080,500800.0,4381.0
152749784,10473472,19623936,13740464,16166912,430080,534980.0,4381.0
152749918,10461184,28438528,13741312,16166912,430080,478217.0,4381.0
152750048,10469376,33837056,13741376,16166912,430080,378118.0,4381.0
152750176,10469376,35368960,13741312,16166912,430080,528266.0,4381.0
152750304,10379264,33923072,13741312,16166912,430080,452887.0,4381.0
152750431,10338304,20443136,13741440,16166912,430080,568855.0,4381.0
152750564,10469376,34701312,13741824,16166912,430080,538642.0,4381.0
152750693,10469376,24342528,13741312,16166912,430080,375981.0,4381.0
152750821,10473472,34357248,13741696,16166912,430080,494391.0,4381.0
152750948,10461184,33755136,13741776,16166912,430080,670480.0,4381.0
152751082,10473472,20725760,13741184,16166912,430080,441595.0,4381.0
152751215,10473472,19914752,13741184,16166912,430080,450750.0,4381.0
152751349,10469376,26591232,13741184,16166912,430080,586861.0,4381.0
152751482,10473472,17145856,13745552,16166912,430080,478217.0,4381.0
152751611,10473472,29679616,13741248,16166912,430080,455023.0,4381.0
152751738,10477568,29089792,13745360,16166912,430080,551765.0,4381.0
152751868,10334208,19542016,13741312,16166912,430080,422369.0,4381.0
152752001,10473472,36601856,13741632,16166912,430080,389714.0,4381.0
152752130,10473472,23343104,13741184,16166912,430080,623177.0,4381.0
152752257,10465280,16482304,13741248,16166912,430080,495307.0,4381.0
152752384,10481664,22777856,13741184,16166912,430080,604561.0,4381.0
152752518,10342400,20054016,13741312,16166912,430080,523078.0,4381.0
152752651,10465280,17764352,13741120,16166912,430080,580147.0,4381.0
152752784,10477568,25133056,13745296,16166912,430080,427252.0,4381.0
152752917,10342400,18391040,13741248,16166912,430080,429998.0,4381.0
152753050,10473472,23642112,13742080,16166912,430080,435491.0,4381.0
fim
