PYTHON-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
17396567,18825216,9424896,0,19013632,397312,619820.0,4155.0
17396702,26193920,9428992,0,19013632,397312,398259.0,4155.0
17396836,32735232,9428992,0,19800064,397312,307926.0,4155.0
17396973,41508864,9433088,0,19800064,397312,357976.0,4155.0
17397110,49651712,9433088,0,19800064,397312,364079.0,4155.0
17397244,56565760,9437184,0,19800064,397312,505378.0,4155.0
17397383,65073152,9437184,0,19800064,397312,430914.0,4155.0
17397523,73900032,9437184,0,19800064,397312,459906.0,4155.0
17397658,80433152,9441280,0,19800064,397312,540473.0,4155.0
17397795,89092096,9441280,0,19800064,397312,418706.0,4155.0
17397936,97783808,9445376,0,19800064,397312,455938.0,4155.0
17398074,104206336,9445376,0,19800064,397312,284427.0,4155.0
17398211,112918528,9445376,0,19800064,397312,326237.0,4155.0
17398349,121585664,9449472,0,19800064,397312,296940.0,4155.0
17398488,128454656,9449472,0,19800064,397312,417181.0,4155.0
17398625,136921088,9453568,0,19800064,397312,299381.0,4155.0
17398766,145833984,9453568,0,19800064,397312,329289.0,4155.0
17398906,152698880,9453568,0,19800064,397312,672006.0,4155.0
17399043,161144832,9457664,0,19800064,397312,385137.0,4155.0
17399185,169938944,9457664,0,19800064,397312,479132.0,4155.0
17399326,176947200,9461760,0,19800064,397312,386968.0,4155.0
17399464,185667584,9461760,0,19800064,397312,376286.0,4155.0
17399609,194666496,9465856,0,19800064,397312,393377.0,4155.0
17399748,201515008,9465856,0,19800064,397312,337223.0,4155.0
17399889,210366464,9465856,0,19800064,397312,335087.0,4155.0
17400033,219230208,9469952,0,19800064,397312,343327.0,4155.0
17400172,226123776,9469952,0,19800064,397312,617379.0,4155.0
17400312,235147264,9474048,0,19800064,397312,456854.0,4155.0
17400456,243621888,9474048,0,19800064,397312,409246.0,4155.0
17400595,251084800,9474048,0,19800064,397312,454413.0,4155.0
17400741,260136960,9478144,0,19800064,397312,403447.0,4155.0
17400886,267870208,9478144,0,19800064,397312,333561.0,4155.0
17401027,275992576,9482240,0,19800064,397312,337529.0,4155.0
17401172,281337856,9482240,0,19800064,397312,316776.0,4155.0
17401316,281337856,9482240,0,19800064,397312,333866.0,4155.0
17401463,281337856,9486336,0,19800064,397312,347294.0,4155.0
17401609,281337856,9486336,0,19800064,397312,309757.0,4155.0
17401755,281337856,9490432,0,19800064,397312,369267.0,4155.0
17401901,281337856,9490432,0,19800064,397312,325016.0,4155.0
17402047,281337856,9490432,0,19800064,397312,398565.0,4155.0
17402192,281337856,9494528,0,19800064,397312,314945.0,4155.0
17402338,281337856,9494528,0,19800064,397312,370793.0,4155.0
17402482,281337856,9498624,0,19800064,397312,321049.0,4155.0
17402629,281337856,9498624,0,19800064,397312,465094.0,4155.0
17402773,281337856,9498624,0,19800064,397312,531318.0,4155.0
17402918,281337856,9502720,0,19800064,397312,433355.0,4155.0
17403064,281337856,9502720,0,19800064,397312,411382.0,4155.0
17403211,281337856,9506816,0,19800064,397312,450140.0,4155.0
17403357,281337856,9506816,0,19800064,397312,469977.0,4155.0
17403502,150528000,9510912,0,19800064,397312,520637.0,4155.0
17403643,15155200,9510912,0,19013632,397312,445867.0,4155.0
17403777,23322624,9510912,0,19013632,397312,343022.0,4155.0
17403913,31502336,9515008,0,19800064,397312,349736.0,4155.0
17404047,38207488,9515008,0,19800064,397312,323185.0,4155.0
17404182,46743552,9519104,0,19800064,397312,456854.0,4155.0
17404320,55701504,9519104,0,19800064,397312,319523.0,4155.0
17404455,62070784,9519104,0,19800064,397312,298771.0,4155.0
17404590,70856704,9523200,0,19800064,397312,369878.0,4155.0
17404729,79699968,9523200,0,19800064,397312,315861.0,4155.0
17404865,86249472,9527296,0,19800064,397312,602730.0,4155.0
17405001,94621696,9527296,0,19800064,397312,526740.0,4155.0
17405141,103399424,9527296,0,19800064,397312,506293.0,4155.0
17405278,110497792,9531392,0,19800064,397312,450140.0,4155.0
17405415,118607872,9531392,0,19800064,397312,366826.0,4155.0
17405556,127574016,9535488,0,19800064,397312,366216.0,4155.0
17405696,134742016,9535488,0,19800064,397312,315556.0,4155.0
17405834,143126528,9535488,0,19800064,397312,317692.0,4155.0
17405978,145010688,9539584,0,19800064,581632,307926.0,4155.0
17406137,145014784,9539584,0,19800064,598016,396123.0,4155.0
17406282,145014784,9543680,0,19800064,606208,261844.0,4155.0
17406431,145018880,9543680,0,19800064,606208,339970.0,4155.0
17406577,145018880,9547776,0,19800064,614400,274662.0,4155.0
17406726,145018880,9547776,0,19800064,614400,368657.0,4155.0
17406871,145018880,9547776,0,19800064,614400,280460.0,4155.0
17407019,145018880,9551872,0,19800064,614400,361943.0,4155.0
17407168,145018880,9551872,0,19800064,614400,498969.0,4155.0
17407317,145018880,9555968,0,19800064,614400,386357.0,4155.0
17407461,145018880,9555968,0,19800064,614400,185244.0,4155.0
17407606,145018880,9555968,0,19800064,614400,340275.0,4155.0
17407747,145018880,9560064,0,19800064,614400,220034.0,4155.0
17407894,145018880,9560064,0,19800064,614400,353398.0,4155.0
17408040,145018880,9564160,0,19800064,614400,146791.0,4155.0
17408186,145018880,9564160,0,19800064,614400,347600.0,4155.0
17408332,145018880,9564160,0,19800064,614400,162355.0,4155.0
17408479,145018880,9568256,0,19800064,614400,550239.0,4155.0
17408622,145018880,9568256,0,19800064,614400,232547.0,4155.0
17408769,145018880,9572352,0,19800064,614400,448919.0,4155.0
17408913,145018880,9572352,0,19800064,614400,247500.0,4155.0
17409062,145018880,9572352,0,19800064,614400,437322.0,4155.0
17409206,145018880,9576448,0,19800064,614400,191653.0,4155.0
17409349,145018880,9576448,0,19800064,614400,450750.0,4155.0
17409491,145018880,9580544,0,19800064,614400,321659.0,4155.0
17409637,145018880,9580544,0,19800064,614400,536201.0,4155.0
17409783,145018880,9580544,0,19800064,614400,174562.0,4155.0
17409927,145018880,9584640,0,19800064,614400,247806.0,4155.0
17410069,145018880,9584640,0,19800064,614400,215762.0,4155.0
17410210,145018880,9588736,0,19800064,614400,247500.0,4155.0
17410354,145018880,9588736,0,19800064,614400,227053.0,4155.0
17410497,145018880,9592832,0,19800064,614400,298466.0,4155.0
17410646,145018880,9592832,0,19800064,614400,359502.0,4155.0
17410789,145018880,9592832,0,19800064,614400,168764.0,4155.0
17410934,145018880,9596928,0,19800064,614400,329594.0,4155.0
17411079,145018880,9596928,0,19800064,614400,211794.0,4155.0
17411222,145018880,9601024,0,19800064,614400,254520.0,4155.0
17411371,145018880,9601024,0,19800064,614400,154115.0,4155.0
17411513,145018880,9601024,0,19800064,614400,314030.0,4155.0
17411656,145018880,9605120,0,19800064,614400,313419.0,4155.0
17411802,145018880,9605120,0,19800064,614400,361943.0,4155.0
17411949,145018880,9609216,0,19800064,614400,253604.0,4155.0
17412100,145018880,9609216,0,19800064,614400,228885.0,4155.0
17412262,145018880,9609216,0,19800064,614400,217898.0,4155.0
17412415,145018880,9613312,0,19800064,614400,288700.0,4155.0
17412560,145018880,9613312,0,19800064,614400,243838.0,4155.0
17412707,145018880,9617408,0,19800064,614400,252994.0,4155.0
17412856,145018880,9617408,0,19800064,614400,222476.0,4155.0
17413000,145018880,9617408,0,19800064,614400,444647.0,4155.0
17413154,145018880,9621504,0,19800064,614400,277408.0,4155.0
17413297,145018880,9621504,0,19800064,614400,197451.0,4155.0
17413441,145018880,9625600,0,19800064,614400,279544.0,4155.0
17413588,145018880,9625600,0,19800064,614400,290531.0,4155.0
17413729,145018880,9629696,0,19800064,614400,309757.0,4155.0
17413871,145018880,9629696,0,19800064,614400,202029.0,4155.0
17414014,145018880,9629696,0,19800064,614400,229190.0,4155.0
17414161,145018880,9633792,0,19800064,614400,328984.0,4155.0
17414308,145018880,9633792,0,19800064,614400,404058.0,4155.0
17414459,145018880,9637888,0,19800064,614400,220645.0,4155.0
17414608,145018880,9637888,0,19800064,614400,213626.0,4155.0
17414756,145018880,9637888,0,19800064,614400,199282.0,4155.0
17414922,145018880,9641984,0,19800064,614400,302433.0,4155.0
17415069,145018880,9641984,0,19800064,614400,199892.0,4155.0
