PYTHON-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
189576750,11038720,12169216,15303168,16199680,2912256,682992.0,3701.0
189576907,11169792,11321344,15321600,16199680,2912256,750742.0,3701.0
189577072,11038720,13287424,15321600,16199680,2912256,836193.0,3701.0
189577238,11038720,15740928,15368672,16199680,2912256,410161.0,3701.0
189577402,11169792,17608704,15368672,16199680,2912256,696420.0,3701.0
189577557,11038720,10203136,15261680,16199680,2912256,629281.0,3701.0
189577722,11038720,10289152,15261680,16199680,2912256,544135.0,3701.0
189577886,11038720,10366976,15261728,16199680,2912256,516059.0,3701.0
189578051,11038720,10448896,15261680,16199680,2912256,668954.0,3701.0
189578215,11038720,10526720,15261680,16199680,2912256,869763.0,3701.0
189578379,11038720,10612736,15261680,16199680,2912256,499579.0,3701.0
189578543,11038720,10690560,15261680,16199680,2912256,549018.0,3701.0
189578706,11038720,10768384,15261680,16199680,2912256,909436.0,3701.0
189578870,11038720,10854400,15261680,16199680,2912256,632332.0,3701.0
189579034,11038720,10932224,15261680,16199680,2912256,694284.0,3701.0
189579199,11038720,11014144,15261680,16199680,2912256,898755.0,3694.0
189579364,11038720,11096064,15261680,16199680,2912256,679025.0,3694.0
189579529,11038720,11165696,15261680,16199680,2912256,597542.0,3694.0
189579695,11038720,11247616,15261680,16199680,2912256,577400.0,3694.0
189579861,11038720,11329536,15261680,16199680,2912256,672921.0,3694.0
189580025,11038720,11407360,15261680,16199680,2912256,557258.0,3694.0
189580189,11038720,11485184,15261680,16199680,2912256,585640.0,3694.0
189580353,11038720,11567104,15261680,16199680,2912256,847790.0,3694.0
189580516,11038720,11644928,15261680,16199680,2912256,582588.0,3694.0
189580681,11038720,11726848,15261680,16199680,2912256,583809.0,3694.0
189580845,11038720,11808768,15261680,16199680,2912256,658273.0,3694.0
189581008,11038720,11886592,15261680,16199680,2912256,665292.0,3694.0
189581171,11038720,11968512,15261680,16199680,2912256,533149.0,3694.0
189581335,11038720,12050432,15261680,16199680,2912256,892346.0,3694.0
189581488,11038720,12124160,15261680,16199680,2912256,536201.0,3694.0
189581654,11038720,12206080,15261536,16199680,2912256,628060.0,3694.0
189581819,11038720,12283904,15261536,16199680,2912256,668649.0,3694.0
189581987,11038720,12365824,15261536,16199680,2912256,776683.0,3694.0
189582152,11038720,12443648,15261536,16199680,2912256,654916.0,3694.0
189582317,11038720,12521472,15261536,16199680,2912256,694284.0,3694.0
189582482,11038720,12603392,15261536,16199680,2912256,689096.0,3694.0
189582647,11038720,12681216,15261536,16199680,2912256,622872.0,3694.0
189582813,11038720,12763136,15261648,16199680,2912256,601204.0,3694.0
189582978,11038720,12840960,15261536,16199680,2912256,668344.0,3694.0
189583142,11038720,12922880,15261536,16199680,2912256,618905.0,3694.0
189583306,11038720,13000704,15261536,16199680,2912256,603035.0,3694.0
189583471,11038720,13078528,15261536,16199680,2912256,667428.0,3694.0
189583637,11038720,13160448,15261536,16199680,2912256,700082.0,3694.0
189583801,11038720,13238272,15261536,16199680,2912256,701608.0,3694.0
189583965,11038720,13320192,15261536,16199680,2912256,602730.0,3694.0
189584132,11038720,13398016,15261536,16199680,2912256,611885.0,3694.0
189584296,11038720,13475840,15261584,16199680,2912256,528571.0,3694.0
