PYTHON-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
176664170,10407936,13549568,14004640,16150528,430080,675973.0,3918.0
176664303,10407936,13553664,14004640,16150528,430080,597237.0,3918.0
176664445,10407936,13553664,14004640,16150528,430080,428777.0,3918.0
176664585,10407936,13557760,14004640,16150528,430080,274356.0,3918.0
176664725,10407936,13557760,14004640,16150528,430080,510260.0,3918.0
176664865,10407936,13561856,14004640,16150528,430080,287479.0,3918.0
176665005,10407936,13561856,14004640,16150528,430080,285648.0,3918.0
176665147,10407936,13561856,14004640,16150528,430080,395513.0,3918.0
176665287,10407936,13565952,14004640,16150528,430080,279544.0,3918.0
176665427,10407936,13565952,14004640,16150528,430080,324711.0,3918.0
176665567,10407936,13570048,14004640,16150528,430080,306705.0,3918.0
176665707,10407936,13570048,14004640,16150528,430080,337223.0,3918.0
176665847,10407936,13570048,14004640,16150528,430080,449530.0,3918.0
176665987,10407936,13574144,14004640,16150528,430080,463873.0,3918.0
176666128,10407936,13574144,14004640,16150528,430080,441290.0,3918.0
176666268,10407936,13578240,14004640,16150528,430080,303959.0,3918.0
176666408,10407936,13578240,14004640,16150528,430080,282596.0,3918.0
176666547,10407936,13582336,14004640,16150528,430080,303959.0,3918.0
176666687,10407936,13582336,14004640,16150528,430080,336003.0,3918.0
176666827,10407936,13582336,14004640,16150528,430080,292667.0,3918.0
176666966,10407936,13586432,14004640,16150528,430080,450750.0,3918.0
176667108,10407936,13586432,14004640,16150528,430080,295414.0,3918.0
176667247,10407936,13590528,14004640,16150528,430080,248416.0,3918.0
176667388,10407936,13590528,14004640,16150528,430080,294498.0,3918.0
176667528,10407936,13590528,14004640,16150528,430080,304874.0,3918.0
176667668,10407936,13594624,14004640,16150528,430080,379338.0,3918.0
176667808,10407936,13594624,14004640,16150528,430080,262454.0,3918.0
176667947,10407936,13598720,14004640,16150528,430080,549934.0,3918.0
176668088,10407936,13598720,14004640,16150528,430080,341496.0,3918.0
176668229,10407936,13598720,14004640,16150528,430080,253299.0,3918.0
176668370,10407936,13602816,14004640,16150528,430080,308231.0,3918.0
176668509,10407936,13602816,14004640,16150528,430080,271305.0,3918.0
176668651,10407936,13606912,14004640,16150528,430080,339970.0,3918.0
176668791,10407936,13606912,14004640,16150528,430080,284427.0,3918.0
176668931,10407936,13611008,14004640,16150528,430080,465399.0,3918.0
176669071,10407936,13611008,14004640,16150528,430080,266727.0,3918.0
176669211,10407936,13611008,14004640,16150528,430080,308231.0,3918.0
