PYTHON-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
153235969,10387456,23699456,13812432,16162816,434176,280155.0,4405.0
153236106,10387456,23699456,13844240,16162816,434176,219424.0,4405.0
153236243,10387456,23703552,13833712,16162816,434176,305790.0,4405.0
153236380,10387456,23703552,13877392,16162816,434176,208437.0,4405.0
153236517,10387456,23703552,13854832,16162816,434176,283817.0,4405.0
153236653,10387456,23707648,13891728,16162816,434176,289615.0,4405.0
153236791,10387456,23707648,13923984,16162816,434176,279544.0,4405.0
153236928,10387456,23711744,13877872,16162816,434176,231326.0,4405.0
153237064,10387456,23711744,13900928,16162816,434176,234073.0,4405.0
153237203,10387456,23711744,13968784,16162816,434176,336918.0,4405.0
153237340,10387456,23715840,13909872,16162816,434176,292667.0,4405.0
153237477,10387456,23715840,13909872,16162816,434176,206912.0,4405.0
153237612,10387456,23719936,13909872,16162816,434176,186770.0,4405.0
153237748,10387456,23719936,13909872,16162816,434176,354313.0,4405.0
153237885,10387456,23724032,13929072,16162816,434176,190737.0,4405.0
153238022,10387456,23724032,13929072,16162816,434176,289310.0,4405.0
153238158,10387456,23724032,13929072,16162816,434176,193484.0,4405.0
153238294,10387456,23728128,13995664,16162816,434176,222476.0,4405.0
153238430,10387456,23728128,14090352,16162816,434176,227053.0,4405.0
153238567,10387456,23732224,14090352,16162816,434176,220034.0,4405.0
153238701,10387456,23732224,14090352,16162816,434176,289615.0,4405.0
153238839,10387456,23732224,14024800,16162816,434176,245059.0,4405.0
153238976,10387456,23736320,14090352,16162816,434176,248111.0,4405.0
153239112,10387456,23736320,14090352,16162816,434176,223086.0,4405.0
153239247,10387456,23740416,14155904,16162816,434176,228274.0,4405.0
153239384,10387456,23740416,14090352,16162816,434176,315861.0,4405.0
153239521,10387456,23740416,14221456,16162816,434176,344243.0,4405.0
153239657,10387456,23744512,14090352,16162816,434176,200503.0,4405.0
153239794,10387456,23744512,14090352,16162816,434176,233157.0,4405.0
153239931,10387456,23748608,14090352,16162816,434176,193789.0,4405.0
153240068,10387456,23748608,14090352,16162816,434176,332646.0,4405.0
153240205,10387456,23752704,14090352,16162816,434176,219729.0,4405.0
153240341,10387456,23752704,14221456,16162816,434176,194704.0,4405.0
153240478,10387456,23752704,14221456,16162816,434176,201723.0,4405.0
153240614,10387456,23756800,14090352,16162816,434176,193789.0,4405.0
153240750,10387456,23756800,14090352,16162816,434176,296024.0,4405.0
153240887,10387456,23760896,14221456,16162816,434176,214541.0,4405.0
153241021,10387456,23760896,14090352,16162816,434176,268253.0,4405.0
153241157,10387456,23760896,14221456,16162816,434176,230716.0,4405.0
153241295,10387456,23764992,14090352,16162816,434176,230410.0,4405.0
153241434,10387456,23764992,14155904,16162816,434176,273441.0,4405.0
153241571,10387456,23769088,14221456,16162816,434176,245364.0,4405.0
153241707,10387456,23769088,14155904,16162816,434176,254520.0,4405.0
153241851,10387456,23769088,14090352,16162816,434176,223086.0,4405.0
153241987,10387456,23773184,14090352,16162816,434176,249942.0,4405.0
153242125,10387456,23773184,14221456,16162816,434176,336613.0,4405.0
153242261,10387456,23777280,14221456,16162816,434176,250552.0,4405.0
153242397,10387456,23777280,14090352,16162816,434176,218814.0,4405.0
153242532,10387456,23781376,14090352,16162816,434176,225833.0,4405.0
153242670,10387456,23781376,14155904,16162816,434176,194399.0,4405.0
153242807,10387456,23781376,14221456,16162816,434176,316776.0,4405.0
153242942,10387456,23785472,14090352,16162816,434176,196841.0,4405.0
153243078,10387456,23785472,14090352,16162816,434176,243228.0,4405.0
153243214,10387456,23789568,14221456,16162816,434176,186464.0,4405.0
153243351,10387456,23789568,14221456,16162816,434176,201723.0,4405.0
153243488,10387456,23789568,14090352,16162816,434176,269168.0,4405.0
153243624,10387456,23793664,14090352,16162816,434176,278018.0,4405.0
153243761,10387456,23793664,14090352,16162816,434176,277408.0,4405.0
153243898,10387456,23797760,14090352,16162816,434176,191347.0,4405.0
153244034,10387456,23797760,14090352,16162816,434176,231631.0,4405.0
153244170,10387456,23797760,14155904,16162816,434176,333256.0,4405.0
153244306,10387456,23801856,14090352,16162816,434176,236514.0,4405.0
153244442,10387456,23801856,14221456,16162816,434176,221865.0,4405.0
153244580,10387456,23805952,14155904,16162816,434176,251163.0,4405.0
153244717,10387456,23805952,14155904,16162816,434176,372319.0,4405.0
fim
