C-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52929554,9846784,11268096,154527152,16056320,552960,439687.0,4282.0
52929716,9846784,11268096,154536096,16056320,552960,439687.0,4282.0
52929873,9846784,11268096,154536224,16056320,552960,305000.0,4282.0
52930030,9846784,11272192,154536224,16056320,552960,305000.0,4282.0
52930189,9846784,11272192,154536224,16056320,552960,289375.0,4282.0
52930336,9846784,11272192,154536224,16056320,552960,289375.0,4282.0
52930474,9846784,11276288,154536224,16056320,552960,374375.0,4282.0
52930621,9846784,11276288,154536224,16056320,552960,374375.0,4282.0
52930763,9846784,11276288,154536224,16056320,552960,374375.0,4282.0
52930906,9846784,11280384,154536224,16056320,552960,290000.0,4282.0
52931053,9846784,11280384,154536224,16056320,552960,290000.0,4282.0
52931199,9846784,11280384,154536224,16056320,552960,336250.0,4282.0
52931348,9846784,11284480,154536224,16056320,552960,336250.0,4282.0
52931493,9846784,11284480,154536224,16056320,552960,336250.0,4282.0
52931642,9846784,11284480,154536224,16056320,552960,414062.0,4282.0
52931788,9846784,11288576,154536224,16056320,552960,414062.0,4282.0
52931929,9846784,11288576,154536224,16056320,552960,345000.0,4282.0
52932066,9846784,11288576,154544944,16056320,552960,345000.0,4282.0
52932213,9846784,11288576,154544944,16056320,552960,345000.0,4282.0
52932352,9846784,11292672,154544944,16056320,552960,421562.0,4282.0
52932495,9846784,11292672,154544944,16056320,552960,421562.0,4282.0
52932647,9846784,11292672,154544944,16056320,552960,282187.0,4282.0
52932795,9846784,11296768,154544944,16056320,552960,282187.0,4282.0
52932940,9846784,11296768,154544944,16056320,552960,398437.0,4282.0
52933081,9846784,11296768,154544944,16056320,552960,398437.0,4282.0
52933224,9846784,11300864,154571104,16056320,552960,398437.0,4282.0
52933370,9846784,11300864,154571104,16056320,552960,319062.0,4282.0
52933521,9846784,11300864,154571104,16056320,552960,319062.0,4282.0
52933667,9846784,11304960,154571104,16056320,552960,297500.0,4282.0
52933819,9846784,11304960,154571104,16056320,552960,297500.0,4282.0
52933972,9846784,11304960,154571104,16056320,552960,297500.0,4282.0
52934116,9846784,11309056,154571104,16056320,552960,432187.0,4282.0
52934255,9846784,11309056,154571104,16056320,552960,432187.0,4282.0
52934401,9846784,11309056,154675744,16056320,552960,279375.0,4282.0
52934548,9846784,11313152,154675744,16056320,552960,279375.0,4282.0
52934694,9846784,11313152,154675744,16056320,552960,369062.0,4282.0
52934837,9846784,11313152,154675744,16056320,552960,369062.0,4282.0
52934996,9846784,11317248,154675744,16056320,552960,369062.0,4282.0
52935144,9846784,11317248,154675744,16056320,552960,410625.0,4282.0
52935289,9846784,11317248,154675744,16056320,552960,410625.0,4282.0
52935432,9846784,11321344,154675744,16056320,552960,296562.0,4282.0
52935576,9846784,11321344,154675744,16056320,552960,296562.0,4282.0
52935719,9846784,11321344,155094304,16056320,552960,296562.0,4282.0
52935859,9846784,11325440,155094304,16056320,552960,382500.0,4282.0
52936003,9846784,11325440,155094304,16056320,552960,382500.0,4282.0
52936150,9846784,11325440,155094304,16056320,552960,303750.0,4282.0
52936298,9846784,11329536,155094304,16056320,552960,303750.0,4282.0
52936453,9846784,11329536,155094304,16056320,552960,353750.0,4282.0
52936599,9846784,11329536,155094304,16056320,552960,353750.0,4282.0
52936739,9846784,11333632,155094304,16056320,552960,353750.0,4282.0
52936882,9846784,11333632,156777264,16056320,552960,352812.0,4282.0
52937025,9846784,11333632,156777264,16056320,552960,352812.0,4282.0
52937170,9846784,11337728,156777264,16056320,552960,363125.0,4282.0
52937315,9846784,11337728,156777264,16056320,552960,363125.0,4282.0
52937462,9846784,11337728,156777264,16056320,552960,363125.0,4282.0
52937609,9846784,11341824,156777264,16056320,552960,408125.0,4282.0
52937751,9846784,11341824,156777264,16056320,552960,408125.0,4282.0
52937900,9846784,11341824,156777264,16056320,552960,360000.0,4282.0
52938039,9846784,11345920,156777264,16056320,552960,360000.0,4282.0
52938182,9846784,11345920,163517824,16056320,552960,360000.0,4282.0
52938324,9846784,11345920,163517824,16056320,552960,442187.0,4282.0
52938467,9846784,11350016,163517824,16056320,552960,442187.0,4282.0
52938610,9846784,11350016,163517824,16056320,552960,435625.0,4282.0
52938758,9846784,11350016,163517824,16056320,552960,435625.0,4282.0
52938911,9846784,11350016,163517824,16056320,552960,457187.0,4282.0
52939059,9846784,11354112,163517824,16056320,552960,457187.0,4282.0
52939204,9846784,11354112,163517824,16056320,552960,457187.0,4282.0
52939350,9846784,11354112,190462624,16056320,552960,388750.0,4282.0
52939499,9846784,11358208,190462624,16056320,552960,388750.0,4282.0
52939643,9846784,11358208,190462624,16056320,552960,438437.0,4282.0
52939784,9846784,11358208,190462624,16056320,552960,438437.0,4282.0
52939924,9846784,11362304,190462624,16056320,552960,438437.0,4282.0
52940066,9846784,11362304,190462624,16056320,552960,430937.0,4282.0
52940207,9846784,11362304,190462624,16056320,552960,430937.0,4282.0
52940348,9846784,11366400,190462624,16056320,552960,461875.0,4282.0
52940488,9846784,11366400,190462624,16056320,552960,461875.0,4282.0
52940628,9846784,11366400,71818080,16056320,552960,461875.0,4282.0
fim
