C-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
49871352,9658368,10018816,10822272,14790656,548864,435625.0,4336.0
49871507,9658368,10022912,10822272,14790656,552960,435625.0,4336.0
49871661,9658368,10022912,10822272,14790656,552960,536875.0,4336.0
49871816,9658368,10027008,10822272,14790656,552960,536875.0,4336.0
49871960,9658368,10027008,10822272,14790656,552960,400937.0,4336.0
49872103,9658368,10027008,10822272,14790656,552960,400937.0,4336.0
49872241,9658368,10027008,10822272,14790656,552960,400937.0,4336.0
49872370,9658368,10031104,10822272,14790656,552960,727500.0,4336.0
49872503,9658368,10031104,10822272,14790656,552960,727500.0,4336.0
49872636,9658368,10031104,10822272,14790656,552960,437812.0,4336.0
49872775,9658368,10035200,10822272,14790656,552960,437812.0,4336.0
49872919,9658368,10035200,10822272,14790656,552960,437812.0,4336.0
49873062,9658368,10035200,10822272,14790656,552960,492187.0,4336.0
49873202,9658368,10039296,10822272,14790656,552960,492187.0,4336.0
49873341,9658368,10039296,10822272,14790656,552960,501250.0,4336.0
49873481,9658368,10039296,10822272,14790656,552960,501250.0,4336.0
49873630,9658368,10043392,10822272,14790656,552960,501250.0,4336.0
49873772,9658368,10043392,10822272,14790656,552960,507187.0,4336.0
49873915,9658368,10043392,10822272,14790656,552960,507187.0,4336.0
49874055,9658368,10047488,10822272,14790656,552960,449062.0,4336.0
49874199,9658368,10047488,10822272,14790656,552960,449062.0,4336.0
49874341,9658368,10047488,10822272,14790656,552960,449062.0,4336.0
49874489,9658368,10051584,10822272,14790656,552960,492187.0,4336.0
49874629,9658368,10051584,10822272,14790656,552960,492187.0,4336.0
49874772,9658368,10051584,10822272,14790656,552960,417500.0,4336.0
49874918,9658368,10055680,10822272,14790656,552960,417500.0,4336.0
49875052,9658368,10055680,10822272,14790656,552960,417500.0,4336.0
49875191,9658368,10055680,10822272,14790656,552960,470625.0,4336.0
49875334,9658368,10059776,10822272,14790656,552960,470625.0,4336.0
49875487,9658368,10059776,10822272,14790656,552960,503437.0,4336.0
49875628,9658368,10059776,10822272,14790656,552960,503437.0,4336.0
49875773,9658368,10063872,10822272,14790656,552960,475312.0,4336.0
49875917,9658368,10063872,10822272,14790656,552960,475312.0,4336.0
49876063,9658368,10063872,10822272,14790656,552960,475312.0,4336.0
49876203,9658368,10067968,10822272,14790656,552960,397812.0,4336.0
49876341,9658368,10067968,10822272,14790656,552960,397812.0,4336.0
49876480,9658368,10067968,10822272,14790656,552960,504375.0,4336.0
49876617,9658368,10072064,10822272,14790656,552960,504375.0,4336.0
49876760,9658368,10072064,10822272,14790656,552960,504375.0,4336.0
49876904,9658368,10072064,10822272,14790656,552960,435312.0,4336.0
49877052,9658368,10076160,10822272,14790656,552960,435312.0,4336.0
49877191,9658368,10076160,10822272,14790656,552960,403437.0,4336.0
49877329,9658368,10076160,10822272,14790656,552960,403437.0,4336.0
49877453,9658368,10076160,10822272,14790656,552960,403437.0,4336.0
49877585,9658368,10080256,10822272,14790656,552960,455312.0,4336.0
49877716,9658368,10080256,10822272,14790656,552960,455312.0,4336.0
49877853,9658368,10080256,10822272,14790656,552960,455312.0,4336.0
49877993,9658368,10084352,10822272,14790656,552960,515312.0,4336.0
49878133,9658368,10084352,10822272,14790656,552960,515312.0,4336.0
49878276,9658368,10084352,10822272,14790656,552960,451562.0,4336.0
49878418,9658368,10088448,10822272,14790656,552960,451562.0,4336.0
49878568,9658368,10088448,10822272,14790656,552960,451562.0,4336.0
49878711,9658368,10088448,10822272,14790656,552960,471250.0,4336.0
49878857,9658368,10092544,10822272,14790656,552960,471250.0,4336.0
49878995,9658368,10092544,10822272,14790656,552960,403750.0,4336.0
49879139,9658368,10092544,10822272,14790656,552960,403750.0,4336.0
49879278,9658368,10096640,10822272,14790656,552960,509687.0,4336.0
49879426,9658368,10096640,10822272,14790656,552960,509687.0,4336.0
49879576,9658368,10096640,10822272,14790656,552960,509687.0,4336.0
49879732,9658368,10100736,10822272,14790656,552960,660625.0,4336.0
49879890,9658368,10100736,10822272,14790656,552960,660625.0,4336.0
49880048,9658368,10100736,10822272,14790656,552960,407812.0,4336.0
49880202,9658368,10104832,10822272,14790656,552960,407812.0,4336.0
49880348,9658368,10104832,10822272,14790656,552960,454375.0,4336.0
49880491,9658368,10104832,10822272,14790656,552960,454375.0,4336.0
49880637,9658368,10108928,10822272,14790656,552960,454375.0,4336.0
49880775,9658368,10108928,10822272,14790656,552960,443125.0,4336.0
49880918,9658368,10108928,10822272,14790656,552960,443125.0,4336.0
49881061,9658368,10113024,10822272,14790656,552960,416562.0,4336.0
49881208,9658368,10113024,10822272,14790656,552960,416562.0,4336.0
49881349,9658368,10113024,10822272,14790656,552960,416562.0,4336.0
49881490,9658368,10117120,10822272,14790656,552960,411875.0,4336.0
49881633,9658368,10117120,10822272,14790656,552960,411875.0,4336.0
49881780,9658368,10117120,10822272,14790656,552960,471875.0,4336.0
49881923,9658368,10121216,10822272,14790656,552960,471875.0,4336.0
49882067,9658368,10121216,10822272,14790656,552960,471875.0,4336.0
49882204,9658368,10121216,10822272,14790656,552960,498750.0,4336.0
49882346,9658368,10121216,10822272,14790656,552960,498750.0,4336.0
49882490,9658368,10125312,10822272,14790656,552960,439375.0,4336.0
49882631,9658368,10125312,10822272,14790656,552960,439375.0,4336.0
49882773,9658368,10125312,10822272,14790656,552960,439375.0,4336.0
49882915,9658368,10129408,10822272,14790656,552960,551562.0,4336.0
49883057,9658368,10129408,10822272,14790656,552960,551562.0,4336.0
49883198,9658368,10129408,10822272,14790656,552960,430000.0,4336.0
49883337,9658368,10133504,10822272,14790656,552960,430000.0,4336.0
49883478,9658368,10133504,10822272,14790656,552960,430000.0,4336.0
49883617,9658368,10133504,10822272,14790656,552960,540312.0,4336.0
49883761,9658368,10137600,10822272,14790656,552960,540312.0,4336.0
49883909,9658368,10137600,10822272,14790656,552960,465312.0,4336.0
49884052,9658368,10137600,10822272,14790656,552960,465312.0,4336.0
49884188,9658368,10141696,10822272,14790656,552960,465312.0,4336.0
49884330,9658368,10141696,10822272,14790656,552960,585625.0,4336.0
49884476,9658368,10141696,10822272,14790656,552960,585625.0,4336.0
49884613,9658368,10145792,10822272,14790656,552960,422500.0,4336.0
49884747,9658368,10145792,10822272,14790656,552960,422500.0,4336.0
49884894,9658368,10145792,10822272,14790656,552960,422500.0,4336.0
49885035,9658368,10149888,10822400,14790656,552960,516562.0,4336.0
49885178,9658368,10149888,10822400,14790656,552960,516562.0,4336.0
49885323,9658368,10149888,10822400,14790656,552960,434062.0,4336.0
49885465,9658368,10153984,10822400,14790656,552960,434062.0,4336.0
49885613,9658368,10153984,10822400,14790656,552960,522812.0,4336.0
49885757,9658368,10153984,10822400,14790656,552960,522812.0,4336.0
49885916,9658368,10158080,10822400,14790656,552960,522812.0,4336.0
49886062,9658368,10158080,10822400,14790656,552960,450937.0,4336.0
49886202,9658368,10158080,10822400,14790656,552960,450937.0,4336.0
49886340,9658368,10162176,10822400,14790656,552960,414375.0,4336.0
49886478,9658368,10162176,10822400,14790656,552960,414375.0,4336.0
49886611,9658368,10162176,10822400,14790656,552960,414375.0,4336.0
49886750,9658368,10166272,10822400,14790656,552960,453750.0,4336.0
49886901,9658368,10166272,10822400,14790656,552960,453750.0,4336.0
49887047,9658368,10166272,10822400,14790656,552960,400625.0,4336.0
49887194,9658368,10170368,10822400,14790656,552960,400625.0,4336.0
49887339,9658368,10170368,10822400,14790656,552960,400625.0,4336.0
49887484,9658368,10170368,10822400,14790656,552960,621562.0,4336.0
49887621,9658368,10170368,10822400,14790656,552960,621562.0,4336.0
49887763,9658368,10174464,10822400,14790656,552960,420000.0,4336.0
49887907,9658368,10174464,10822400,14790656,552960,420000.0,4336.0
49888052,9658368,10174464,10822400,14790656,552960,420000.0,4336.0
49888189,9658368,10178560,10822400,14790656,552960,526562.0,4336.0
49888325,9658368,10178560,10822400,14790656,552960,526562.0,4336.0
49888463,9658368,10178560,10822400,14790656,552960,440000.0,4336.0
49888596,9658368,10182656,10822400,14790656,552960,440000.0,4336.0
49888741,9658368,10182656,10822400,14790656,552960,440000.0,4336.0
49888895,9658368,10182656,10822400,14790656,552960,533125.0,4336.0
49889040,9658368,10186752,10822400,14790656,552960,533125.0,4336.0
49889182,9658368,10186752,10822400,14790656,552960,410000.0,4336.0
49889327,9658368,10186752,10822400,14790656,552960,410000.0,4336.0
49889470,9658368,10190848,10822400,14790656,552960,410000.0,4336.0
49889611,9658368,10190848,10822400,14790656,552960,485000.0,4336.0
49889760,9658368,10190848,10822400,14790656,552960,485000.0,4336.0
49889910,9658368,10194944,10822400,14790656,552960,424687.0,4336.0
49890056,9658368,10194944,10822400,14790656,552960,424687.0,4336.0
49890200,9658368,10194944,10822400,14790656,552960,404687.0,4336.0
49890344,9658368,10199040,10822400,14790656,552960,404687.0,4336.0
49890490,9658368,10199040,10822400,14790656,552960,404687.0,4336.0
49890630,9658368,10199040,10822400,14790656,552960,434375.0,4336.0
49890764,9658368,10203136,10822400,14790656,552960,434375.0,4336.0
49890906,9658368,10203136,10822400,14790656,552960,502812.0,4336.0
49891054,9658368,10203136,10822400,14790656,552960,502812.0,4336.0
49891192,9658368,10207232,10822400,14790656,552960,502812.0,4336.0
49891330,9658368,10207232,10822400,14790656,552960,593437.0,4336.0
49891467,9658368,10207232,10822400,14790656,552960,593437.0,4336.0
49891614,9658368,10211328,10822400,14790656,552960,431875.0,4336.0
49891760,9658368,10211328,10822400,14790656,552960,431875.0,4336.0
49891904,9658368,10211328,10822400,14790656,552960,431875.0,4336.0
49892047,9658368,10215424,10822400,14790656,552960,555625.0,4336.0
49892189,9658368,10215424,10822400,14790656,552960,555625.0,4336.0
49892329,9658368,10215424,10822400,14790656,552960,449375.0,4336.0
49892468,9658368,10219520,10822400,14790656,552960,449375.0,4336.0
49892612,9658368,10219520,10822400,14790656,552960,449375.0,4336.0
49892753,9658368,10219520,10822400,14790656,552960,482187.0,4336.0
49892901,9658368,10219520,10822400,14790656,552960,482187.0,4336.0
49893044,9658368,10223616,10822400,14790656,552960,416562.0,4336.0
49893187,9658368,10223616,10822400,14790656,552960,416562.0,4336.0
49893331,9658368,10223616,10822400,14790656,552960,416562.0,4336.0
49893473,9658368,10227712,10822400,14790656,552960,511250.0,4336.0
49893622,9658368,10227712,10822400,14790656,552960,511250.0,4336.0
49893774,9658368,10227712,10822400,14790656,552960,429375.0,4336.0
49893929,9658368,10231808,10822400,14790656,552960,429375.0,4336.0
49894073,9658368,10231808,10822400,14790656,552960,414375.0,4336.0
49894210,9658368,10231808,10822400,14790656,552960,414375.0,4336.0
49894352,9658368,10235904,10822400,14790656,552960,414375.0,4336.0
49894496,9658368,10235904,10822400,14790656,552960,422187.0,4336.0
49894634,9658368,10235904,10822400,14790656,552960,422187.0,4336.0
49894774,9658368,10240000,10822400,14790656,552960,436562.0,4336.0
49894918,9658368,10240000,10822400,14790656,552960,436562.0,4336.0
49895060,9658368,10240000,10822400,14790656,552960,436562.0,4336.0
49895203,9658368,10244096,10822400,14790656,552960,484687.0,4336.0
49895344,9658368,10244096,10822400,14790656,552960,484687.0,4336.0
49895483,9658368,10244096,10822400,14790656,552960,464687.0,4336.0
49895630,9658368,10248192,10822400,14790656,552960,464687.0,4336.0
49895771,9658368,10248192,10822400,14790656,552960,464687.0,4336.0
49895915,9658368,10248192,10822400,14790656,552960,461875.0,4336.0
49896056,9658368,10252288,10822400,14790656,552960,461875.0,4336.0
49896192,9658368,10252288,10822400,14790656,552960,431562.0,4336.0
49896330,9658368,10252288,10822528,14790656,552960,431562.0,4336.0
49896472,9658368,10256384,10822528,14790656,552960,431562.0,4336.0
49896607,9658368,10256384,10822528,14790656,552960,445312.0,4336.0
49896744,9658368,10256384,10822528,14790656,552960,445312.0,4336.0
49896890,9658368,10260480,10822528,14790656,552960,420312.0,4336.0
49897034,9658368,10260480,10822528,14790656,552960,420312.0,4336.0
49897178,9658368,10260480,10822528,14790656,552960,420312.0,4336.0
49897318,9658368,10264576,10822528,14790656,552960,502187.0,4336.0
49897456,9658368,10264576,10822528,14790656,552960,502187.0,4336.0
49897598,9658368,10264576,10822528,14790656,552960,476562.0,4336.0
