C-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
21079060,10006528,8265728,15444224,19296256,540672,918437.0,3787.0
21079194,10006528,8269824,15444224,19296256,540672,918437.0,3787.0
21079337,10006528,8269824,15444224,19296256,540672,918437.0,3787.0
21079480,10006528,8269824,15436800,19296256,540672,790625.0,3787.0
21079623,10006528,8273920,15436800,19296256,540672,790625.0,3755.0
21079763,10006528,8273920,15436800,19296256,540672,756875.0,3755.0
21079906,10006528,8273920,15436800,19296256,540672,756875.0,3755.0
21080054,10006528,8278016,15436800,19296256,540672,756875.0,3755.0
21080199,10006528,8278016,15282304,19296256,540672,787187.0,3755.0
fim
