C-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
2109761,10113024,60547072,15381280,19345408,536576,639687.0,4301.0
2109918,10113024,60551168,15381280,19345408,540672,639687.0,4301.0
2110071,10113024,60551168,15381280,19345408,540672,639687.0,4301.0
2110214,10113024,60551168,15381280,19345408,540672,543750.0,4301.0
2110358,10113024,60555264,15381280,19345408,540672,543750.0,4301.0
2110501,10113024,60555264,15381280,19345408,540672,604375.0,4301.0
2110648,10113024,60555264,15381280,19345408,540672,604375.0,4301.0
2110791,10113024,60559360,15381280,19345408,540672,604375.0,4301.0
2110933,10113024,60559360,15381280,19345408,540672,585312.0,4301.0
2111075,10113024,60559360,15381280,19345408,540672,585312.0,4301.0
2111216,10113024,60563456,15381280,19345408,540672,536250.0,4301.0
2111355,10113024,60563456,15381408,19345408,540672,536250.0,4301.0
2111497,10113024,60563456,15381408,19345408,540672,536250.0,4301.0
2111643,10113024,60567552,15381408,19345408,540672,638437.0,4301.0
2111785,10113024,60567552,15381408,19345408,540672,638437.0,4301.0
2111926,10113024,60567552,15381408,19345408,540672,613125.0,4301.0
2112069,10113024,60571648,15381408,19345408,540672,613125.0,4301.0
2112212,10113024,60571648,15381408,19345408,540672,631562.0,4301.0
2112358,10113024,60571648,15381408,19345408,540672,631562.0,4301.0
2112501,10113024,60575744,15381408,19345408,540672,631562.0,4301.0
2112647,10113024,60575744,15381408,19345408,540672,529062.0,4301.0
2112791,10113024,60575744,15381408,19345408,540672,529062.0,4301.0
2112926,10113024,60579840,15381408,19345408,540672,589062.0,4301.0
2113065,10113024,60579840,15381408,19345408,540672,589062.0,4301.0
2113206,10113024,60579840,15381408,19345408,540672,589062.0,4301.0
2113348,10113024,60583936,15381408,19345408,540672,560625.0,4301.0
2113487,10113024,60583936,15381408,19345408,540672,560625.0,4301.0
2113638,10113024,60583936,15381408,19345408,540672,577812.0,4301.0
2113788,10113024,60588032,15381408,19345408,540672,577812.0,4301.0
2113929,10113024,60588032,15381408,19345408,540672,577812.0,4301.0
2114078,10113024,60588032,15381408,19345408,540672,604375.0,4301.0
2114221,10113024,60592128,15381408,19345408,540672,604375.0,4301.0
2114364,10113024,60592128,15381408,19345408,540672,550937.0,4301.0
2114510,10113024,60592128,15381408,19345408,540672,550937.0,4301.0
2114654,10113024,60592128,15381408,19345408,540672,550937.0,4301.0
2114798,10113024,60596224,15381408,19345408,540672,654687.0,4301.0
2114948,10113024,60596224,15381408,19345408,540672,654687.0,4301.0
2115095,10113024,60596224,15381408,19345408,540672,524687.0,4301.0
2115250,10113024,60600320,15381408,19345408,540672,524687.0,4301.0
2115400,10113024,60600320,15381408,19345408,540672,523437.0,4301.0
2115542,10113024,60600320,15381408,19345408,540672,523437.0,4301.0
2115679,10113024,60604416,15381408,19345408,540672,523437.0,4301.0
2115830,10113024,60604416,15381408,19345408,540672,512812.0,4301.0
2115974,10113024,60604416,15381408,19345408,540672,512812.0,4301.0
2116120,10113024,60608512,15381408,19345408,540672,530312.0,4301.0
2116267,10113024,60608512,15381408,19345408,540672,530312.0,4301.0
2116392,10113024,60608512,15381408,19345408,540672,530312.0,4301.0
2116526,10113024,60612608,15381408,19345408,540672,488437.0,4301.0
2116662,10113024,60612608,15381408,19345408,540672,488437.0,4301.0
2116804,10113024,60612608,15381408,19345408,540672,491250.0,4301.0
2116942,10113024,60616704,15381408,19345408,540672,491250.0,4301.0
2117077,10113024,60616704,15381408,19345408,540672,491250.0,4301.0
2117220,10113024,60616704,15381408,19345408,540672,509375.0,4301.0
2117365,10113024,60620800,15381408,19345408,540672,509375.0,4301.0
2117512,10113024,60620800,15381408,19345408,540672,480625.0,4301.0
2117666,10113024,60620800,15381408,19345408,540672,480625.0,4301.0
2117808,10113024,60624896,15381408,19345408,540672,480625.0,4301.0
2117944,10113024,60624896,15381408,19345408,540672,517812.0,4301.0
2118081,10113024,60624896,15381408,19345408,540672,517812.0,4301.0
2118223,10113024,60628992,15381408,19345408,540672,467500.0,4301.0
