CPP-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
53315560,9846784,12509184,0,16056320,552960,476875.0,4255.0
53315703,9846784,12513280,0,16056320,552960,476875.0,4255.0
53315850,9846784,12513280,0,16056320,552960,516875.0,4255.0
53315979,9846784,12513280,0,16056320,651264,614062.0,4255.0
53316429,9846784,12517376,0,16056320,651264,631875.0,4255.0
53316762,9846784,12517376,0,16056320,651264,614062.0,4255.0
53317078,9846784,12517376,0,16056320,651264,614062.0,4255.0
53317303,9846784,12521472,0,16056320,651264,590625.0,4255.0
53317518,9846784,12521472,0,16056320,684032,630625.0,4255.0
53317800,9846784,12521472,0,16056320,684032,640625.0,4255.0
53318127,9846784,12525568,0,16056320,684032,640625.0,4255.0
53318367,9846784,12525568,0,16056320,684032,629375.0,4255.0
53318558,9846784,12525568,0,16056320,684032,888125.0,4255.0
53318814,9846784,12525568,0,16056320,684032,888125.0,4255.0
53319079,9846784,12529664,0,16056320,684032,848437.0,4255.0
53319399,9846784,12529664,0,16056320,659456,652500.0,4255.0
53319660,9846784,12529664,0,16056320,684032,530000.0,4255.0
53319921,9846784,12533760,0,16056320,569344,530000.0,4255.0
fim
