CPP-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
51511490,9691136,28348416,10819488,15962112,548864,481875.0,4306.0
51511642,9691136,28352512,10819488,15962112,552960,481875.0,4306.0
51511797,9691136,28352512,10819488,15962112,552960,324062.0,4306.0
51511939,9691136,28352512,10819488,15962112,552960,324062.0,4306.0
51512078,9691136,28356608,10819488,15962112,552960,324062.0,4306.0
51512227,9691136,28356608,10819488,15962112,552960,410312.0,4306.0
51512367,9691136,28356608,10819488,15962112,552960,410312.0,4306.0
51512510,9691136,28360704,10819488,15962112,552960,334687.0,4306.0
51512657,9691136,28360704,10819488,15962112,552960,334687.0,4306.0
51512794,9691136,28360704,10819488,15962112,552960,334687.0,4306.0
51512937,9691136,28364800,10819488,15962112,552960,422500.0,4306.0
51513077,9691136,28364800,10819488,15962112,552960,422500.0,4306.0
51513216,9691136,28364800,10819488,15962112,552960,359375.0,4306.0
51513352,9691136,28368896,10819488,15962112,552960,359375.0,4306.0
51513497,9691136,28368896,10819488,15962112,552960,359375.0,4306.0
51513644,9691136,28368896,10819488,15962112,552960,425000.0,4306.0
51513786,9691136,28372992,10819488,15962112,552960,425000.0,4306.0
51513929,9691136,28372992,10819488,15962112,552960,356875.0,4306.0
51514073,9691136,28372992,10819488,15962112,552960,356875.0,4306.0
51514226,9691136,28377088,10819488,15962112,552960,357812.0,4306.0
51514376,9691136,28377088,10819488,15962112,552960,357812.0,4306.0
51514519,9691136,28377088,10819488,15962112,552960,357812.0,4306.0
51514662,9691136,28381184,10819488,15962112,552960,333437.0,4306.0
51514808,9691136,28381184,10819488,15962112,552960,333437.0,4306.0
51514954,9691136,28381184,10819488,15962112,552960,338437.0,4306.0
51515099,9691136,28381184,10819488,15962112,552960,338437.0,4306.0
51515256,9691136,28385280,10819488,15962112,552960,338437.0,4306.0
51515411,9691136,28385280,10819488,15962112,552960,362187.0,4306.0
51515554,9691136,28385280,10819488,15962112,552960,362187.0,4306.0
51515703,9691136,28389376,10819488,15962112,552960,342500.0,4306.0
51515839,9691136,28389376,10819488,15962112,552960,342500.0,4306.0
51515977,9691136,28389376,10819488,15962112,552960,404687.0,4306.0
51516123,9691136,28393472,10819488,15962112,552960,404687.0,4306.0
51516266,9691136,28393472,10819488,15962112,552960,404687.0,4306.0
51516410,9691136,28393472,10819488,15962112,552960,341562.0,4306.0
51516553,9691136,28397568,10819488,15962112,552960,341562.0,4306.0
51516704,9691136,28397568,10819488,15962112,552960,390937.0,4306.0
51516850,9691136,28397568,10819488,15962112,552960,390937.0,4306.0
51516996,9691136,28401664,10819488,15962112,552960,390937.0,4306.0
51517139,9691136,28401664,10819488,15962112,552960,338125.0,4306.0
51517278,9691136,28401664,10819488,15962112,552960,338125.0,4306.0
51517420,9691136,28405760,10819488,15962112,552960,324062.0,4306.0
51517569,9691136,28405760,10819488,15962112,552960,324062.0,4306.0
51517716,9691136,28405760,10819488,15962112,552960,324062.0,4306.0
51517855,9691136,28409856,10819488,15962112,552960,415312.0,4306.0
51517994,9691136,28409856,10819488,15962112,552960,415312.0,4306.0
51518131,9691136,28409856,10819488,15962112,552960,325312.0,4306.0
51518274,9691136,28413952,10819488,15962112,552960,325312.0,4306.0
51518413,9691136,28413952,10819488,15962112,552960,325312.0,4306.0
51518555,9691136,28413952,10819488,15962112,552960,530000.0,4306.0
51518700,9691136,28418048,10819488,15962112,552960,530000.0,4306.0
51518844,9691136,28418048,10819488,15962112,552960,356875.0,4306.0
51518983,9691136,28418048,10819488,15962112,552960,356875.0,4306.0
51519133,9691136,28422144,10819488,15962112,552960,356875.0,4306.0
51519277,9691136,28422144,10819488,15962112,552960,403125.0,4306.0
51519423,9691136,28422144,10819488,15962112,552960,403125.0,4306.0
51519573,9691136,28426240,10819488,15962112,552960,338125.0,4306.0
51519719,9691136,28426240,10819488,15962112,552960,338125.0,4306.0
51519868,9691136,28426240,10819488,15962112,552960,359687.0,4306.0
51520015,9691136,28430336,10819488,15962112,552960,359687.0,4306.0
51520156,9691136,28430336,10819488,15962112,552960,359687.0,4306.0
51520303,9691136,28430336,10819488,15962112,552960,335625.0,4306.0
51520442,9691136,28434432,10819488,15962112,552960,335625.0,4306.0
51520585,9691136,28434432,10819488,15962112,552960,316250.0,4306.0
51520735,9691136,28434432,10819488,15962112,552960,316250.0,4306.0
51520876,9691136,28438528,10819488,15962112,552960,316250.0,4306.0
51521019,9691136,28438528,10819488,15962112,552960,524687.0,4306.0
51521160,9691136,28438528,10819488,15962112,552960,524687.0,4306.0
51521297,9691136,28442624,10819488,15962112,552960,330625.0,4306.0
51521436,9691136,28442624,10819488,15962112,552960,330625.0,4306.0
51521578,9691136,28442624,10819488,15962112,552960,330625.0,4306.0
51521720,9691136,28446720,10819488,15962112,552960,455000.0,4306.0
51521859,9691136,28446720,10819488,15962112,552960,455000.0,4306.0
51521998,9691136,28446720,10819488,15962112,552960,321250.0,4306.0
51522137,9691136,28446720,10819488,15962112,552960,321250.0,4306.0
51522275,9691136,28450816,10819488,15962112,552960,321250.0,4306.0
51522427,9691136,28450816,10819488,15962112,552960,359687.0,4306.0
51522573,9691136,28450816,10819488,15962112,552960,359687.0,4306.0
51522719,9691136,28454912,10819488,15962112,552960,350937.0,4306.0
51522864,9691136,28454912,10819488,15962112,552960,350937.0,4306.0
