CPP-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
2869365,10117120,66957312,15397552,19357696,536576,254375.0,4283.0
2869528,10117120,66957312,15397552,19357696,540672,254375.0,4283.0
2869677,10117120,66961408,15397552,19357696,540672,530937.0,4283.0
2869822,10117120,66961408,15397552,19357696,540672,530937.0,4283.0
2869962,10117120,66961408,15397552,19357696,540672,469375.0,4283.0
2870104,10117120,66965504,15397552,19357696,540672,469375.0,4283.0
2870253,10117120,66965504,15397552,19357696,540672,469375.0,4283.0
2870395,10117120,66965504,15397552,19357696,540672,539062.0,4283.0
2870542,10117120,66969600,15397552,19357696,540672,539062.0,4283.0
2870686,10117120,66969600,15397552,19357696,540672,493125.0,4283.0
2870828,10117120,66969600,15397552,19357696,540672,493125.0,4283.0
2870976,10117120,66973696,15397552,19357696,540672,493125.0,4283.0
2871123,10117120,66973696,15397552,19357696,540672,558750.0,4283.0
2871268,10117120,66973696,15397552,19357696,540672,558750.0,4283.0
2871407,10117120,66977792,15397552,19357696,540672,493125.0,4283.0
2871545,10117120,66977792,15397552,19357696,540672,493125.0,4283.0
2871692,10117120,66977792,15397552,19357696,540672,557500.0,4283.0
2871833,10117120,66981888,15397552,19357696,540672,557500.0,4283.0
2871973,10117120,66981888,15397552,19357696,540672,557500.0,4283.0
2872120,10117120,66981888,15397552,19357696,540672,488125.0,4283.0
2872259,10117120,66985984,15397552,19357696,540672,488125.0,4283.0
2872403,10117120,66985984,15397552,19357696,540672,509687.0,4283.0
2872545,10117120,66985984,15397552,19357696,540672,509687.0,4283.0
2872695,10117120,66990080,15397552,19357696,540672,509687.0,4283.0
2872841,10117120,66990080,15397552,19357696,540672,457500.0,4283.0
2872985,10117120,66990080,15397552,19357696,540672,457500.0,4283.0
2873128,10117120,66990080,15397552,19357696,540672,486250.0,4283.0
2873272,10117120,66994176,15397552,19357696,540672,486250.0,4283.0
2873411,10117120,66994176,15397552,19357696,540672,486250.0,4283.0
2873551,10117120,66994176,15397552,19357696,540672,500937.0,4283.0
2873693,10117120,66998272,15397552,19357696,540672,500937.0,4283.0
2873842,10117120,66998272,15397552,19357696,540672,469375.0,4283.0
2873984,10117120,66998272,15397552,19357696,540672,469375.0,4283.0
2874134,10117120,67002368,15397552,19357696,540672,469375.0,4283.0
2874277,10117120,67002368,15397552,19357696,540672,600937.0,4283.0
2874424,10117120,67002368,15397552,19357696,540672,600937.0,4283.0
2874567,10117120,67006464,15397552,19357696,540672,471562.0,4283.0
2874713,10117120,67006464,15397552,19357696,540672,471562.0,4283.0
2874860,10117120,67006464,15397552,19357696,540672,547500.0,4283.0
2875003,10117120,67010560,15397552,19357696,540672,547500.0,4283.0
2875145,10117120,67010560,15397552,19357696,540672,547500.0,4283.0
2875288,10117120,67010560,15397552,19357696,540672,547812.0,4283.0
2875433,10117120,67014656,15397552,19357696,540672,547812.0,4283.0
2875578,10117120,67014656,15397552,19357696,540672,517500.0,4283.0
2875718,10117120,67014656,15397552,19357696,540672,517500.0,4283.0
2875863,10117120,67018752,15397552,19357696,540672,517500.0,4283.0
2876000,10117120,67018752,15397552,19357696,540672,498750.0,4283.0
