JAVA-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
20502573,9383936,78012416,11021264,15540224,581632,689687.0,4319.0
20502691,9449472,146001920,11021456,15544320,581632,689687.0,4319.0
20502809,9736192,271753216,11083616,15544320,745472,945000.0,4319.0
20502927,11890688,271753216,11083056,15544320,745472,945000.0,4319.0
20503546,13193216,279523328,10918624,15540224,757760,549687.0,4319.0
20503720,12963840,285773824,10918512,15540224,761856,549687.0,4319.0
20503851,11829248,199454720,10918704,15540224,761856,1657500.0,4319.0
20503991,10059776,273100800,10918688,15540224,761856,1657500.0,4319.0
20504109,12095488,273100800,10918688,15540224,761856,1657500.0,4319.0
20504228,12615680,275058688,10898672,15540224,761856,802812.0,4319.0
20504428,11943936,282664960,10898672,15540224,761856,802812.0,4319.0
20504553,14491648,284045312,10898672,15540224,761856,1525312.0,4319.0
20504699,11194368,273076224,10898800,15540224,761856,1525312.0,4319.0
20504818,12505088,273092608,10898672,15540224,761856,745000.0,4319.0
20505055,12951552,278974464,10898672,15540224,761856,745000.0,4319.0
20505223,10981376,273063936,10898800,15540224,761856,811250.0,4319.0
20505342,12521472,273080320,10898800,15540224,761856,811250.0,4319.0
20505460,12738560,285347840,10898800,15540224,761856,811250.0,4319.0
20505579,13152256,277921792,10898672,15540224,761856,1568125.0,4319.0
20505861,11169792,273080320,10898800,15540224,761856,1568125.0,4319.0
20505980,12439552,273096704,10898672,15540224,761856,897812.0,4319.0
20506193,11870208,281325568,10898720,15540224,761856,595312.0,4319.0
20506390,11161600,273080320,10898800,15540224,761856,595312.0,4319.0
20506510,12525568,273096704,10898672,15540224,761856,606562.0,4319.0
20506735,14163968,281309184,10898784,15540224,761856,606562.0,4319.0
20506899,11206656,273080320,10898800,15540224,761856,606562.0,4319.0
20507018,12374016,273096704,10898672,15540224,761856,908750.0,4319.0
20507243,11378688,280743936,10865840,15540224,761856,908750.0,4319.0
20507377,11493376,192647168,10865968,15540224,712704,1391875.0,4319.0
20507515,11878400,273084416,10865968,15540224,712704,1391875.0,4319.0
20507637,12615680,273100800,10865840,15540224,712704,615000.0,4319.0
20507851,11472896,282578944,10865840,15540224,712704,724375.0,4319.0
20508355,12820480,277860352,10865808,15540224,712704,1255625.0,4319.0
20508554,11194368,273084416,10865936,15540224,712704,1255625.0,4319.0
20508674,12668928,273100800,10865904,15540224,712704,717187.0,4319.0
20508942,11317248,168845312,10866096,15540224,712704,717187.0,4319.0
20509078,11816960,291856384,10866096,15540224,712704,583437.0,4319.0
20509198,10838016,273063936,10866032,15540224,712704,583437.0,4319.0
20509319,12562432,273080320,10865904,15540224,712704,621250.0,4319.0
20509571,13303808,280846336,10865904,15540224,712704,621250.0,4319.0
20509721,11124736,273076224,10866032,15540224,712704,621250.0,4319.0
20509843,12447744,273092608,10865904,15540224,712704,749375.0,4319.0
20510069,11272192,240738304,10866096,15540224,712704,749375.0,4319.0
20510201,11403264,188317696,10866032,15540224,712704,1471250.0,4319.0
20510335,11747328,273080320,10866032,15540224,712704,1471250.0,4319.0
20510457,12447744,273108992,10865904,15540224,712704,608437.0,4319.0
20510641,13504512,280489984,10866032,15540224,712704,608437.0,4319.0
20510875,11935744,273076224,10866032,15540224,712704,1124375.0,4319.0
20511029,12808192,275849216,10865904,15540224,712704,1124375.0,4319.0
20511227,11730944,281415680,10865904,15540224,712704,1417500.0,4319.0
20511454,11124736,273080320,10866032,15540224,712704,1417500.0,4319.0
20511589,12546048,273096704,10865904,15540224,712704,634375.0,4319.0
20511816,13148160,279678976,10865904,15540224,712704,832812.0,4319.0
20511987,11182080,273072128,10866032,15540224,712704,832812.0,4319.0
20512109,12500992,273076224,10866032,15540224,712704,832812.0,4319.0
20512247,10924032,253362176,10866272,15540224,712704,859375.0,4319.0
20512391,12922880,285691904,10866384,15540224,712704,859375.0,4319.0
20512561,11440128,273080320,10866400,15540224,712704,620312.0,4319.0
20512683,12574720,273084416,10866272,15540224,712704,620312.0,4319.0
20512927,13553664,280690688,10866384,15540224,712704,1475625.0,4319.0
20513101,11325440,273080320,10866400,15540224,712704,1475625.0,4319.0
20513221,12390400,273084416,10866272,15540224,712704,618125.0,4319.0
20513424,11952128,280637440,10866272,15540224,712704,618125.0,4319.0
20513556,12480512,282722304,10866320,15540224,712704,618125.0,4319.0
20513682,11239424,273084416,10866400,15540224,712704,1623125.0,4319.0
20513803,12390400,273088512,10866176,15540224,712704,1623125.0,4319.0
20514018,12025856,281616384,10866272,15540224,712704,1589687.0,4319.0
20514155,12480512,232775680,10866272,15540224,712704,1589687.0,4319.0
20514272,11223040,273068032,10866400,15540224,712704,1589687.0,4319.0
20514393,12546048,273072128,10866272,15540224,712704,657500.0,4319.0
20514656,11370496,200896512,10866464,15540224,712704,657500.0,4319.0
20514784,12398592,245776384,10866400,15540224,712704,1185000.0,4319.0
20514923,11505664,273068032,10866400,15540224,712704,1185000.0,4319.0
20515044,12505088,273072128,10866528,15540224,712704,612500.0,4319.0
20515179,10899456,152530944,10866592,15540224,712704,612500.0,4319.0
20515311,13885440,289710080,10866592,15540224,712704,612500.0,4319.0
20515432,10575872,273080320,10866528,15540224,712704,659375.0,4319.0
20515550,12685312,273080320,10866400,15540224,712704,659375.0,4319.0
20515823,12410880,279879680,10866400,15540224,712704,688750.0,4319.0
20516376,13406208,281387008,10866448,15540224,712704,610000.0,4319.0
20516582,11468800,273063936,10866528,15540224,712704,610000.0,4319.0
20516719,12333056,274272256,10866528,15540224,712704,610000.0,4319.0
20516864,12369920,244359168,10866400,15540224,712704,608750.0,4319.0
20517446,14032896,280109056,10866400,15540224,712704,745625.0,4319.0
20517658,11276288,273076224,10850816,15540224,671744,745625.0,4319.0
20517777,13099008,273080320,10850688,15540224,671744,633750.0,4319.0
20518029,14123008,254853120,10852304,15540224,671744,587500.0,4319.0
20518742,13664256,280956928,10844640,15540224,651264,587500.0,4319.0
20518874,16154624,299511808,10845488,15540224,651264,769687.0,4319.0
20519069,11481088,273076224,10837712,15540224,630784,769687.0,4319.0
20519190,12996608,273080320,10837488,15540224,630784,754062.0,4319.0
20519486,14503936,262352896,10829824,15540224,610304,754062.0,4319.0
20519634,17637376,299401216,10829824,15540224,610304,630000.0,4319.0
20519781,10096640,239878144,10823888,15540224,589824,743125.0,4319.0
20520294,12238848,234545152,10824080,15540224,589824,988437.0,4319.0
20520419,16138240,290508800,10824144,15540224,589824,988437.0,4319.0
20520562,9859072,220876800,10824016,15540224,589824,988437.0,4319.0
20520687,12378112,273076224,10824016,15540224,589824,591562.0,4319.0
20520831,13639680,273084416,10823888,15540224,589824,568125.0,4301.0
20521190,11264000,200163328,10816032,15540224,569344,568125.0,4301.0
20521310,13271040,254664704,10816416,15540224,569344,568125.0,4301.0
20521448,10067968,232411136,10816160,15540224,569344,959062.0,4301.0
20521590,12472320,273080320,10816032,15540224,569344,959062.0,4301.0
20521817,10592256,143732736,10816032,15540224,569344,528437.0,4301.0
20521935,11055104,234520576,10816224,15540224,569344,528437.0,4301.0
20522074,10448896,225361920,10816160,15540224,569344,824062.0,4301.0
20522218,12787712,273084416,10816032,15540224,569344,561562.0,4301.0
20522562,10993664,168005632,10816032,15540224,569344,561562.0,4301.0
20522680,13225984,215957504,10816224,15540224,569344,561562.0,4301.0
20522820,16699392,232865792,10816224,15540224,569344,631875.0,4301.0
20522966,9940992,207052800,10816160,15540224,569344,631875.0,4301.0
20523117,12484608,273076224,10816160,15540224,569344,610000.0,4301.0
20523239,12898304,279183360,10816032,15540224,569344,610000.0,4301.0
20523479,11014144,168017920,10816032,15540224,569344,597187.0,4301.0
fim
