JAVA-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
21865326,10022912,32350208,15326304,19042304,1228800,947500.0,3729.0
21865457,10153984,34332672,15330464,19042304,1228800,947500.0,3729.0
21865586,10149888,11968512,15326368,19042304,1228800,1214062.0,3729.0
21865712,10149888,13963264,15326480,19042304,1228800,1214062.0,3729.0
21865839,10149888,15949824,15326368,19042304,1228800,1214062.0,3729.0
21865968,10149888,17981440,15326368,19042304,1228800,978750.0,3729.0
21866084,10149888,19832832,15326368,19042304,1228800,978750.0,3729.0
21866199,10149888,21803008,15326368,19042304,1228800,978750.0,3729.0
21866326,10149888,23875584,15326480,19042304,1228800,1047812.0,3729.0
21866453,10149888,25915392,15326400,19042304,1228800,1047812.0,3729.0
21866578,10149888,27967488,15326480,19042304,1228800,1047812.0,3729.0
21866705,10149888,30031872,15326368,19042304,1228800,1431250.0,3729.0
21866831,10149888,31870976,15326480,19042304,1228800,1431250.0,3729.0
21866962,10149888,33820672,15326480,19042304,1228800,920625.0,3729.0
21867092,10014720,9150464,15326128,19042304,1228800,920625.0,3729.0
21867218,10014720,11067392,15326128,19042304,1228800,920625.0,3729.0
21867334,10014720,12713984,15326128,19042304,1228800,977187.0,3729.0
21867468,10014720,14716928,15326016,19042304,1228800,977187.0,3729.0
21867583,10014720,16384000,15326128,19042304,1228800,977187.0,3729.0
21867713,10014720,18268160,15326320,19042304,1228800,1141562.0,3729.0
21867842,10014720,20283392,15326352,19042304,1228800,1141562.0,3729.0
21867967,10014720,22151168,15326224,19042304,1228800,1141562.0,3729.0
21868095,10014720,24297472,15326144,19042304,1228800,840625.0,3729.0
21868223,10014720,26251264,15326256,19042304,1228800,840625.0,3729.0
21868342,10014720,28151808,15326352,19042304,1228800,840625.0,3729.0
21868469,10014720,30158848,15326256,19042304,1228800,1298437.0,3729.0
21868603,10014720,32337920,15326256,19042304,1228800,1298437.0,3729.0
21868736,10145792,9400320,15326256,19042304,1228800,1039062.0,3729.0
21868866,10145792,11280384,15326320,19042304,1228800,1039062.0,3729.0
21868992,10145792,13107200,15326144,19042304,1228800,1039062.0,3729.0
21869118,10145792,14917632,15326256,19042304,1228800,1036875.0,3729.0
