JAVA-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
3454435,10129408,70762496,15402016,19316736,536576,151875.0,4306.0
3454606,10129408,70762496,15402016,19316736,540672,151875.0,4306.0
3454748,10129408,70762496,15402016,19316736,540672,742187.0,4306.0
3454895,10129408,70766592,15402016,19316736,540672,742187.0,4306.0
3455034,10129408,70766592,15402016,19316736,540672,751250.0,4306.0
3455176,10129408,70766592,15402016,19316736,540672,751250.0,4306.0
3455316,10129408,70770688,15402016,19316736,540672,751250.0,4306.0
3455458,10129408,70770688,15402016,19316736,540672,766562.0,4306.0
3455610,10129408,70770688,15402016,19316736,540672,766562.0,4306.0
3455757,10129408,70774784,15402016,19316736,540672,735937.0,4306.0
3455901,10129408,70774784,15402016,19316736,540672,735937.0,4306.0
3456043,10129408,70774784,15402016,19316736,540672,735937.0,4306.0
3456190,10129408,70778880,15402016,19316736,540672,729375.0,4306.0
3456340,10129408,70778880,15402016,19316736,540672,729375.0,4306.0
3456480,10129408,70778880,15402016,19316736,540672,747500.0,4306.0
3456623,10129408,70782976,15402016,19316736,540672,747500.0,4306.0
3456763,10129408,70782976,15402016,19316736,540672,747500.0,4306.0
3456905,10129408,70782976,15402016,19316736,540672,776562.0,4306.0
3457048,10129408,70787072,15402016,19316736,540672,776562.0,4306.0
3457189,10129408,70787072,15402016,19316736,540672,612187.0,4306.0
3457331,10129408,70787072,15402016,19316736,540672,612187.0,4306.0
3457475,10129408,70787072,15402016,19316736,540672,733125.0,4306.0
3457624,10129408,70791168,15402016,19316736,540672,733125.0,4306.0
3457771,10129408,70791168,15402016,19316736,540672,733125.0,4306.0
3457915,10129408,70791168,15402016,19316736,540672,657500.0,4306.0
3458055,10129408,70795264,15402016,19316736,540672,657500.0,4306.0
3458195,10129408,70795264,15402016,19316736,540672,702187.0,4306.0
3458341,10129408,70795264,15402016,19316736,540672,702187.0,4306.0
3458478,10129408,70799360,15402016,19316736,540672,702187.0,4306.0
3458617,10129408,70799360,15402016,19316736,540672,623750.0,4306.0
3458764,10129408,70799360,15402016,19316736,540672,623750.0,4306.0
3458908,10129408,70803456,15402016,19316736,540672,684062.0,4306.0
3459051,10129408,70803456,15402016,19316736,540672,684062.0,4306.0
3459193,10129408,70803456,15402016,19316736,540672,684062.0,4306.0
3459336,10129408,70807552,15402016,19316736,540672,640625.0,4306.0
3459479,10129408,70807552,15402016,19316736,540672,640625.0,4306.0
3459618,10129408,70807552,15402016,19316736,540672,579687.0,4306.0
fim
