JAVA-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
949052,10182656,89391104,15147632,19030016,536576,961875.0,4303.0
949203,10231808,102793216,15146512,19030016,540672,942187.0,4303.0
949341,10022912,58761216,15146512,19030016,540672,942187.0,4303.0
949483,10248192,115642368,15150704,19030016,540672,897187.0,4303.0
949623,10153984,53084160,15146064,19030016,540672,897187.0,4303.0
949762,10117120,119934976,15146288,19030016,540672,897187.0,4303.0
949900,10141696,164864000,15150368,19030016,540672,864375.0,4303.0
950030,10088448,85954560,15147280,19030016,540672,864375.0,4303.0
950173,9973760,100679680,15146640,19030016,540672,957187.0,4303.0
950314,9957376,98775040,15146384,19030016,540672,957187.0,4303.0
950460,10096640,92979200,15146384,19030016,540672,957187.0,4303.0
950577,10108928,122146816,15147088,19034112,540672,850312.0,4303.0
950710,9965568,87990272,15146320,19034112,540672,850312.0,4303.0
950828,9957376,40611840,15146384,19034112,540672,850312.0,4303.0
950958,10104832,93814784,15146448,19034112,540672,802812.0,4303.0
951095,10117120,152788992,15146640,19034112,540672,802812.0,4303.0
951227,10022912,97775616,15146896,19034112,540672,946562.0,4303.0
951358,10088448,73846784,15147344,19034112,540672,946562.0,4303.0
951496,10100736,119316480,15146960,19034112,540672,946562.0,4303.0
951637,10141696,163971072,15151072,19034112,540672,884687.0,4303.0
951766,10084352,68616192,15146768,19034112,540672,884687.0,4303.0
951896,9961472,68534272,15146704,19034112,540672,884687.0,4303.0
952040,10104832,127959040,15151136,19034112,540672,818437.0,4303.0
952177,10113024,145645568,15146896,19034112,540672,818437.0,4303.0
952292,10018816,132780032,15146704,19034112,540672,1085312.0,4303.0
952421,10084352,55095296,15146704,19034112,540672,1085312.0,4303.0
952552,9961472,85512192,15146704,19034112,540672,1085312.0,4303.0
952685,10100736,126255104,15150944,19034112,540672,1082812.0,4303.0
952818,10113024,155508736,15146896,19034112,540672,1082812.0,4303.0
952946,10022912,105373696,15146704,19034112,540672,1082812.0,4303.0
953075,10084352,66097152,15146768,19034112,540672,925000.0,4303.0
953214,9965568,108609536,15146704,19034112,540672,925000.0,4303.0
953357,10166272,150790144,15151008,19034112,540672,831250.0,4303.0
953491,10100736,123891712,15146640,19034112,540672,831250.0,4303.0
953619,9957376,67354624,15146640,19034112,540672,831250.0,4303.0
953750,10088448,75214848,15146640,19034112,540672,812812.0,4303.0
953877,9961472,99528704,15146880,19034112,540672,812812.0,4303.0
954017,10141696,155979776,15151072,19034112,540672,812812.0,4303.0
954149,10100736,91623424,15146768,19034112,540672,860937.0,4303.0
954284,9957376,74711040,15146704,19034112,540672,860937.0,4303.0
954422,10100736,120184832,15150944,19034112,540672,793750.0,4303.0
954561,10108928,155914240,15146960,19034112,540672,793750.0,4303.0
954677,10149888,144027648,15146832,19030016,540672,793750.0,4303.0
954808,10084352,50028544,15146736,19030016,540672,807500.0,4303.0
954940,9957376,80777216,15146768,19030016,540672,807500.0,4303.0
955079,10096640,127729664,15151072,19030016,540672,807500.0,4303.0
955219,10108928,157503488,15146832,19030016,540672,918125.0,4303.0
955350,9957376,62373888,15146832,19030016,540672,918125.0,4303.0
955486,10088448,91484160,15146768,19030016,540672,842187.0,4303.0
955628,10108928,145055744,15146960,19030016,540672,842187.0,4303.0
955763,10010624,106553344,15146832,19030016,540672,842187.0,4303.0
955895,10084352,65593344,15146768,19030016,540672,841562.0,4303.0
956033,10092544,107163648,15147152,19030016,540672,841562.0,4303.0
956174,10141696,164233216,15150880,19030016,540672,824375.0,4303.0
956308,10080256,70717440,15146640,19030016,540672,824375.0,4303.0
956441,9957376,83202048,15146576,19030016,540672,824375.0,4303.0
956585,10158080,147427328,15150816,19030016,540672,1035000.0,4303.0
956719,10096640,102088704,15146576,19030016,540672,1035000.0,4303.0
956850,9957376,62504960,15146576,19030016,540672,876250.0,4303.0
956986,10088448,98238464,15146704,19030016,540672,876250.0,4303.0
957130,10104832,149327872,15146768,19030016,540672,876250.0,4303.0
957263,10010624,120688640,15146768,19030016,540672,865312.0,4303.0
957399,10084352,69316608,15146832,19030016,540672,865312.0,4303.0
957534,10096640,106901504,15146896,19030016,540672,865312.0,4303.0
957680,10141696,161718272,15151008,19030016,540672,913125.0,4303.0
957811,10084352,76378112,15146896,19034112,540672,913125.0,4303.0
957938,9957376,75309056,15146832,19034112,540672,926250.0,4303.0
958076,10100736,123953152,15151072,19034112,540672,926250.0,4303.0
958216,10104832,164511744,15147088,19034112,540672,926250.0,4303.0
958354,10018816,133906432,15146896,19034112,540672,940937.0,4303.0
958490,10084352,61452288,15146832,19034112,540672,940937.0,4303.0
958625,9957376,92823552,15147472,19034112,540672,866562.0,4303.0
958767,10158080,144928768,15151904,19034112,540672,866562.0,4303.0
958904,10096640,107548672,15146960,19034112,540672,866562.0,4303.0
959034,9957376,62230528,15146896,19034112,540672,1010000.0,4303.0
959160,10084352,90959872,15146896,19034112,540672,1010000.0,4303.0
959299,10104832,140812288,15147152,19034112,540672,1010000.0,4303.0
959432,10010624,109453312,15146960,19034112,540672,1003125.0,4303.0
959565,10084352,75210752,15146896,19034112,540672,1003125.0,4303.0
959708,10092544,134017024,15147152,19034112,540672,840312.0,4303.0
959843,10010624,144412672,15146960,19034112,540672,840312.0,4303.0
959975,10080256,84570112,15146960,19034112,540672,840312.0,4303.0
960112,9957376,93876224,15146832,19034112,540672,814687.0,4303.0
960254,10096640,137560064,15151136,19034112,540672,814687.0,4303.0
960390,10096640,131190784,15146768,19034112,540672,821562.0,4303.0
960524,9957376,65142784,15146896,19030016,540672,821562.0,4303.0
960667,10096640,122040320,15151136,19030016,540672,821562.0,4303.0
960807,10096640,133931008,15146960,19030016,540672,859375.0,4303.0
