KOTLIN-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
20697495,9383936,77484032,11021104,15720448,573440,900000.0,4315.0
20697615,9453568,147005440,11021296,15724544,573440,897812.0,4315.0
20697731,9736192,271757312,11083456,15724544,737280,897812.0,4315.0
20697847,11845632,271757312,11082896,15724544,737280,897812.0,4315.0
20697965,12328960,289390592,10916352,15724544,737280,550937.0,4315.0
20698475,11915264,281300992,10897776,15724544,749568,1421875.0,4315.0
20698983,12251136,279080960,10898080,15720448,753664,1506875.0,4315.0
20699131,12337152,251957248,10898736,15720448,753664,1260000.0,4315.0
20699476,11522048,273092608,10900576,15720448,753664,1260000.0,4315.0
20699595,12222464,273096704,10900448,15720448,753664,685312.0,4315.0
20699753,12742656,278937600,10900448,15720448,753664,685312.0,4315.0
20699923,11194368,273080320,10900608,15720448,753664,685312.0,4315.0
20700042,12308480,273084416,10900480,15720448,753664,675625.0,4315.0
20700251,14077952,283066368,10900528,15720448,753664,630625.0,4315.0
20700467,11284480,273063936,10900608,15720448,753664,630625.0,4315.0
20700585,12345344,273072128,10900608,15720448,753664,630625.0,4315.0
20700706,10788864,119885824,10900480,15720448,753664,612812.0,4315.0
20700835,11669504,287444992,10900480,15720448,753664,612812.0,4315.0
20700971,11223040,273080320,10900608,15720448,753664,612812.0,4315.0
20701090,12386304,273084416,10900480,15720448,753664,647812.0,4315.0
20701304,13316096,280780800,10900480,15720448,753664,647812.0,4315.0
20701451,12845056,247595008,10900480,15720448,753664,1435000.0,4315.0
20701670,11108352,273072128,10900608,15720448,753664,1435000.0,4315.0
20701791,12464128,273076224,10900480,15720448,753664,646562.0,4315.0
20702007,13033472,283365376,10900672,15720448,753664,646562.0,4315.0
20702155,11206656,273080320,10900928,15720448,753664,1539687.0,4315.0
20702276,12419072,273088512,10869152,15720448,753664,1539687.0,4315.0
20702503,14135296,280244224,10867840,15720448,704512,1523437.0,4315.0
20702710,11296768,273084416,10867968,15720448,704512,1523437.0,4315.0
20702831,12648448,273092608,10867840,15720448,704512,602500.0,4315.0
20703115,14860288,282447872,10867840,15720448,704512,749687.0,4315.0
20703347,11464704,273084416,10867968,15720448,704512,749687.0,4315.0
20703467,12582912,273092608,10867744,15720448,704512,668437.0,4315.0
20703675,12017664,281182208,10867840,15720448,704512,1235937.0,4315.0
20704166,14176256,280248320,10867840,15720448,704512,560000.0,4315.0
20704707,13254656,278933504,10868304,15720448,704512,560000.0,4315.0
20704879,11153408,273080320,10867968,15720448,704512,560000.0,4315.0
20705000,12431360,273084416,10867840,15720448,704512,799375.0,4315.0
20705235,13053952,279949312,10867840,15720448,704512,798437.0,4315.0
20705389,11239424,273084416,10867968,15720448,704512,798437.0,4315.0
20705510,12464128,273088512,10867840,15720448,704512,792187.0,4315.0
20705741,11284480,281268224,10868032,15720448,704512,792187.0,4315.0
20705872,11653120,185884672,10868032,15720448,704512,792187.0,4315.0
20706003,13049856,290910208,10872032,15720448,704512,653750.0,4315.0
20706126,11255808,273072128,10867968,15720448,704512,653750.0,4315.0
20706260,12521472,273076224,10867840,15720448,704512,617812.0,4315.0
20706495,11665408,280264704,10867888,15720448,704512,617812.0,4315.0
20706616,12615680,285376512,10867904,15720448,704512,607812.0,4315.0
20706783,11358208,273068032,10868112,15720448,704512,607812.0,4315.0
20706919,12410880,273076224,10867984,15720448,704512,607812.0,4315.0
20707133,13238272,284463104,10867872,15720448,704512,609062.0,4315.0
20707330,11399168,273084416,10868000,15720448,704512,609062.0,4315.0
20707472,12406784,273088512,10867872,15720448,704512,701250.0,4315.0
20707667,13496320,282763264,10867872,15720448,704512,606562.0,4315.0
20708122,13914112,280608768,10867872,15720448,704512,1340937.0,4315.0
20708274,11063296,273084416,10868000,15720448,704512,1340937.0,4315.0
