KOTLIN-FANNKUCH
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
52539183,9838592,9916416,10853328,15962112,651264,770312.0,4253.0
52539366,9838592,9920512,10853328,15962112,651264,770312.0,4253.0
52539595,9838592,9920512,10853328,15962112,651264,821875.0,4253.0
52539806,9838592,9920512,10853328,15962112,651264,774687.0,4253.0
52540006,9838592,9924608,10853328,15962112,651264,774687.0,4253.0
52540237,9838592,9924608,10853328,15962112,651264,743750.0,4253.0
52540474,9838592,9924608,10853328,15962112,651264,769062.0,4253.0
52540735,9838592,9928704,10853328,15962112,651264,769062.0,4253.0
52540979,9838592,9928704,10853328,15962112,651264,721875.0,4253.0
52541185,9838592,9928704,10853328,15962112,651264,721875.0,4253.0
52541351,9838592,9932800,10853328,15962112,651264,744062.0,4253.0
52541576,9838592,9932800,10853328,15962112,651264,736562.0,4253.0
52541801,9838592,9932800,10853328,15962112,651264,736562.0,4253.0
52541964,9838592,9936896,10853328,15962112,651264,736562.0,4253.0
52542097,9838592,9936896,10853328,15962112,651264,809687.0,4253.0
52542228,9838592,9936896,10853328,15962112,651264,809687.0,4253.0
52542361,9838592,9940992,10853328,15962112,651264,798750.0,4253.0
52542492,9838592,9940992,10853328,15962112,651264,798750.0,4253.0
52542625,9838592,9940992,10853328,15962112,651264,798750.0,4253.0
52542756,9838592,9945088,10853328,15962112,651264,870625.0,4253.0
52542888,9838592,9945088,10853328,15962112,651264,870625.0,4253.0
52543023,9838592,9945088,10853328,15962112,651264,845000.0,4253.0
52543157,9838592,9945088,10853328,15962112,651264,845000.0,4253.0
52543287,9838592,9949184,10853328,15962112,651264,845000.0,4253.0
52543420,9838592,9949184,10853328,15962112,651264,835312.0,4253.0
52543556,9838592,9949184,10853328,15962112,651264,835312.0,4253.0
52543688,9838592,9953280,10853328,15962112,651264,835312.0,4253.0
52543821,9838592,9953280,10853328,15962112,651264,774062.0,4253.0
52543959,9838592,9953280,10853328,15962112,651264,774062.0,4253.0
52544093,9838592,9957376,10853328,15962112,651264,780312.0,4253.0
52544224,9838592,9957376,10853328,15962112,651264,780312.0,4253.0
52544383,9838592,9957376,10853328,15962112,651264,861562.0,4253.0
52544594,9838592,9961472,10853328,15962112,651264,861562.0,4253.0
52544842,9838592,9961472,10853328,15962112,651264,726875.0,4253.0
52545137,9838592,9961472,10853328,15962112,651264,745937.0,4253.0
52545384,9838592,9965568,10853328,15962112,651264,745937.0,4253.0
52545612,9838592,9965568,10853328,15962112,651264,733437.0,4253.0
52545842,9838592,9965568,10853328,15962112,651264,743125.0,4253.0
52546047,9838592,9969664,10853328,15962112,651264,743125.0,4253.0
52546224,9838592,9969664,10853328,15962112,651264,793437.0,4253.0
52546357,9838592,9969664,10853328,15962112,651264,793437.0,4253.0
52546487,9838592,9973760,10853328,15962112,651264,793437.0,4253.0
52546616,9838592,9973760,10853328,15962112,651264,795625.0,4253.0
52546749,9838592,9973760,10853328,15962112,651264,795625.0,4253.0
52546879,9838592,9977856,10853328,15962112,651264,795625.0,4253.0
52547013,9838592,9977856,10853328,15962112,651264,809062.0,4253.0
52547143,9838592,9977856,10853328,15962112,651264,809062.0,4253.0
52547280,9838592,9981952,10853328,15962112,651264,808750.0,4253.0
52547411,9838592,9981952,10853328,15962112,651264,808750.0,4253.0
52547545,9838592,9981952,10853328,15962112,651264,808750.0,4253.0
52547679,9838592,9986048,10853328,15962112,651264,792500.0,4253.0
52547813,9838592,9986048,10853328,15962112,651264,792500.0,4253.0
52547948,9838592,9986048,10853328,15962112,651264,798125.0,4253.0
52548081,9838592,9990144,10853328,15962112,651264,798125.0,4253.0
52548211,9838592,9990144,10853328,15962112,651264,798125.0,4253.0
52548344,9838592,9990144,10853328,15962112,651264,776562.0,4253.0
52548477,9838592,9994240,10853328,15962112,651264,776562.0,4253.0
52548608,9838592,9994240,10853328,15962112,651264,776562.0,4253.0
52548741,9838592,9994240,10853328,15962112,651264,735625.0,4253.0
52548876,9838592,9994240,10853328,15962112,651264,735625.0,4253.0
52549008,9838592,9998336,10853328,15962112,651264,787500.0,4253.0
52549143,9838592,9998336,10853328,15962112,651264,787500.0,4253.0
52549278,9838592,9998336,10853328,15962112,651264,787500.0,4253.0
52549408,9838592,10002432,10853328,15962112,651264,752187.0,4253.0
52549540,9838592,10002432,10853328,15962112,651264,752187.0,4253.0
52549675,9838592,10002432,10853328,15962112,651264,752187.0,4253.0
52549808,9838592,10006528,10853328,15962112,651264,753125.0,4253.0
52549937,9838592,10006528,10853328,15962112,651264,753125.0,4253.0
52550067,9838592,10006528,10853328,15962112,651264,772812.0,4253.0
52550201,9838592,10010624,10853328,15962112,651264,772812.0,4253.0
52550331,9838592,10010624,10853328,15962112,651264,772812.0,4253.0
52550464,9838592,10010624,10853328,15962112,651264,746250.0,4253.0
52550593,9838592,10014720,10853328,15962112,651264,746250.0,4253.0
52550724,9838592,10014720,10853328,15962112,651264,746250.0,4253.0
52550856,9838592,10014720,10853328,15962112,651264,777812.0,4253.0
52550991,9838592,10018816,10853328,15962112,651264,777812.0,4253.0
52551124,9838592,10018816,10853328,15962112,651264,782187.0,4253.0
52551255,9838592,10018816,10853328,15962112,651264,782187.0,4253.0
52551388,9838592,10022912,10853328,15962112,651264,782187.0,4253.0
52551517,9838592,10022912,10853328,15962112,651264,756875.0,4253.0
52551651,9838592,10022912,10853328,15962112,651264,756875.0,4253.0
