KOTLIN-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
22419288,10067968,19357696,15770720,19042304,2146304,204375.0,3769.0
22419403,10067968,21540864,15770832,19042304,2146304,1482812.0,3769.0
22419519,10067968,23867392,15770976,19042304,2146304,1482812.0,3769.0
22419652,10067968,26513408,15770976,19042304,2146304,1482812.0,3769.0
22419784,10067968,29184000,15771088,19042304,2146304,1448437.0,3769.0
22419921,10067968,31756288,15771104,19042304,2146304,1448437.0,3769.0
22420035,10067968,33992704,15771104,19042304,2146304,1416875.0,3769.0
22420169,10194944,12259328,15771200,19042304,2146304,1416875.0,3769.0
22420304,10194944,15020032,15771312,19042304,2146304,1416875.0,3769.0
22420419,10194944,17362944,15771200,19042304,2146304,1138125.0,3769.0
22420552,10194944,20037632,15771312,19042304,2146304,1138125.0,3769.0
22420688,10194944,22802432,15771200,19042304,2146304,1138125.0,3769.0
22420818,10194944,25341952,15771200,19042304,2146304,1156562.0,3769.0
22420936,10194944,27754496,15771376,19042304,2146304,1156562.0,3769.0
22421071,10194944,30257152,15771312,19042304,2146304,1156562.0,3769.0
22421206,10194944,32866304,15771200,19042304,2146304,1436875.0,3769.0
22421339,10055680,8826880,15770896,19042304,2146304,1436875.0,3769.0
22421475,10055680,11329536,15770992,19042304,2146304,1227812.0,3769.0
22421597,10055680,13656064,15770784,19042304,2146304,1227812.0,3769.0
22421730,10055680,16150528,15770896,19042304,2146304,1227812.0,3769.0
22421862,10055680,18599936,15770896,19042304,2146304,1305625.0,3769.0
22421998,10055680,21221376,15770784,19042304,2146304,1305625.0,3769.0
22422132,10055680,23695360,15770896,19042304,2146304,1305625.0,3769.0
22422261,10055680,25989120,15770784,19042304,2146304,1452812.0,3769.0
22422390,10055680,28336128,15770992,19042304,2146304,1452812.0,3769.0
22422522,10055680,30777344,15770896,19042304,2146304,938437.0,3769.0
22422656,10190848,33292288,15770896,19042304,2146304,938437.0,3769.0
22422785,10186752,10616832,15770784,19042304,2146304,938437.0,3769.0
22422917,10186752,13041664,15770896,19042304,2146304,1155625.0,3769.0
22423049,10186752,15437824,15770896,19042304,2146304,1155625.0,3769.0
22423182,10186752,17829888,15770784,19042304,2146304,1155625.0,3769.0
22423311,10186752,20189184,15770864,19042304,2146304,1401562.0,3769.0
22423444,10186752,22687744,15770896,19042304,2146304,1401562.0,3769.0
22423576,10186752,25001984,15770896,19042304,2146304,1260937.0,3769.0
22423711,10186752,27639808,15770784,19042304,2146304,1260937.0,3769.0
22423857,10186752,30392320,15770784,19042304,2146304,1260937.0,3769.0
22423999,10297344,33099776,15775008,19042304,2146304,982812.0,3769.0
22424139,10051584,12455936,15771472,19042304,2146304,982812.0,3769.0
22424279,10051584,15183872,15771360,19042304,2146304,917500.0,3769.0
22424418,10051584,17780736,15771360,19042304,2146304,917500.0,3769.0
22424555,10051584,20262912,15771440,19042304,2146304,917500.0,3769.0
22424695,10051584,22900736,15771472,19042304,2146304,1190625.0,3769.0
22424837,10051584,25538560,15771472,19042304,2146304,1190625.0,3769.0
22424980,10051584,28311552,15771472,19042304,2146304,861562.0,3769.0
22425103,10051584,30724096,15771264,19042304,2146304,861562.0,3769.0
22425235,10190848,33112064,15771472,19042304,2146304,861562.0,3769.0
22425365,10182656,12357632,15771360,19042304,2146304,981562.0,3769.0
22425498,10182656,14843904,15771440,19042304,2146304,981562.0,3769.0
22425639,10182656,17506304,15771360,19042304,2146304,981562.0,3769.0
22425780,10182656,20238336,15771472,19042304,2146304,1112500.0,3769.0
22425924,10182656,22765568,15771472,19042304,2146304,1112500.0,3769.0
22426039,10182656,24825856,15771360,19042304,2146304,1264062.0,3769.0
22426155,10182656,26931200,15771360,19042304,2146304,1264062.0,3769.0
22426287,10182656,29302784,15771472,19042304,2146304,1264062.0,3769.0
22426403,10182656,31375360,15771472,19042304,2146304,1226562.0,3769.0
22426519,10182656,33554432,15771584,19042304,2146304,1226562.0,3769.0
22426636,10043392,11788288,15771536,19042304,2146304,1226562.0,3769.0
22426755,10043392,13893632,15771424,19042304,2146304,1251562.0,3769.0
22426871,10043392,15912960,15771536,19042304,2146304,1251562.0,3769.0
22427004,10043392,18317312,15771424,19042304,2146304,1251562.0,3769.0
22427139,10043392,20779008,15771424,19042304,2146304,1213125.0,3769.0
22427271,10043392,23187456,15771536,19042304,2146304,1213125.0,3769.0
22427389,10043392,25292800,15771424,19042304,2146304,1213125.0,3769.0
22427520,10043392,27594752,15771536,19042304,2146304,1351562.0,3769.0
22427651,10043392,29962240,15771504,19042304,2146304,1351562.0,3769.0
22427782,10043392,32321536,15771424,19042304,2146304,972500.0,3769.0
22427913,10186752,34598912,15771424,19042304,2146304,972500.0,3769.0
22428046,10178560,12005376,15771424,19042304,2146304,972500.0,3769.0
22428179,10178560,14389248,15771536,19042304,2146304,1259375.0,3769.0
22428309,10178560,16670720,15771536,19042304,2146304,1259375.0,3769.0
22428439,10178560,19005440,15771536,19042304,2146304,1259375.0,3769.0
22428569,10178560,21360640,15771536,19042304,2146304,1334687.0,3769.0
22428702,10178560,23752704,15771536,19042304,2146304,1334687.0,3769.0
22428821,10178560,25878528,15771536,19042304,2146304,1199687.0,3769.0
22428950,10178560,28151808,15771424,19042304,2146304,1199687.0,3769.0
22429078,10178560,30408704,15771424,19042304,2146304,1199687.0,3769.0
22429209,10178560,32673792,15771536,19042304,2146304,1130625.0,3769.0
22429338,10293248,34947072,15771536,19042304,2146304,1130625.0,3769.0
22429455,10047488,11649024,15771536,19042304,2146304,1130625.0,3769.0
22429587,10047488,13934592,15771504,19042304,2146304,1257500.0,3769.0
22429720,10047488,16236544,15771536,19042304,2146304,1257500.0,3769.0
22429846,10047488,18509824,15771536,19042304,2146304,1257500.0,3769.0
22429981,10047488,20844544,15771536,19042304,2146304,1385937.0,3769.0
22430111,10047488,23126016,15771424,19042304,2146304,1385937.0,3769.0
22430229,10047488,25182208,15771504,19042304,2146304,1142500.0,3769.0
