KOTLIN-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
1357633,10145792,59162624,15094032,19034112,557056,744062.0,4291.0
1357764,10162176,39780352,15092688,19034112,540672,728125.0,4291.0
1357904,10186752,77459456,15092784,19034112,540672,728125.0,4291.0
1358050,10035200,77185024,15092784,19034112,540672,634375.0,4291.0
1358194,10145792,132673536,15096528,19034112,540672,634375.0,4291.0
1358343,10125312,118808576,15092400,19034112,540672,634375.0,4291.0
1358481,9961472,64081920,15092400,19034112,540672,674687.0,4291.0
1358623,10096640,95002624,15092528,19034112,540672,674687.0,4291.0
1358770,10108928,140689408,15094128,19034112,540672,667187.0,4291.0
1358902,10129408,134377472,15098176,19034112,540672,667187.0,4303.0
1359018,10104832,108445696,15092656,19034112,540672,667187.0,4303.0
1359145,9945088,63901696,15092720,19034112,540672,669062.0,4303.0
1359274,10076160,57135104,15092656,19034112,540672,669062.0,4303.0
1359405,9953280,86388736,15092592,19034112,540672,669062.0,4303.0
1359540,10096640,123363328,15096832,19034112,540672,774062.0,4303.0
1359674,10096640,122662912,15092592,19034112,540672,774062.0,4303.0
1359802,9945088,57991168,15092528,19034112,540672,769375.0,4303.0
1359934,10076160,68665344,15092528,19034112,540672,769375.0,4303.0
1360073,10084352,106078208,15093744,19034112,540672,769375.0,4303.0
1360212,10129408,151068672,15097856,19034112,540672,629375.0,4303.0
1360349,10096640,98746368,15092912,19034112,540672,629375.0,4303.0
1360481,9945088,54636544,15092912,19034112,540672,629375.0,4303.0
1360618,10080256,83988480,15092848,19034112,540672,725625.0,4303.0
1360766,10088448,132300800,15093104,19034112,540672,725625.0,4303.0
1360904,10129408,149315584,15092848,19034112,540672,627500.0,4303.0
1361036,10072064,56401920,15092912,19034112,540672,627500.0,4303.0
1361168,9949184,67321856,15092784,19034112,540672,627500.0,4303.0
1361311,10088448,107565056,15092912,19034112,540672,699375.0,4303.0
1361452,10100736,142192640,15093040,19034112,540672,699375.0,4303.0
1361585,10137600,142278656,15092848,19034112,540672,661875.0,4303.0
1361715,10072064,69926912,15092784,19034112,540672,661875.0,4303.0
1361850,9945088,64245760,15092848,19034112,540672,661875.0,4303.0
1361989,10084352,104108032,15092976,19034112,540672,696250.0,4303.0
1362129,10096640,144535552,15093040,19034112,540672,696250.0,4303.0
1362264,10006528,131493888,15092784,19034112,540672,948125.0,4303.0
1362394,10076160,75522048,15092784,19034112,540672,948125.0,4303.0
1362530,9945088,64761856,15092784,19034112,540672,948125.0,4303.0
1362669,10076160,92708864,15092784,19034112,540672,818125.0,4303.0
1362809,10084352,129818624,15092976,19034112,540672,818125.0,4303.0
1362945,9998336,125554688,15092912,19034112,540672,818125.0,4303.0
1363076,10072064,46243840,15092976,19034112,540672,744687.0,4303.0
1363212,9949184,78352384,15092912,19034112,540672,744687.0,4303.0
1363367,10088448,133472256,15097152,19034112,540672,684687.0,4303.0
1363503,10088448,129159168,15093040,19034112,540672,684687.0,4303.0
1363633,10137600,97996800,15097280,19034112,540672,684687.0,4303.0
1363749,10088448,95277056,15093040,19034112,540672,871875.0,4303.0
1363880,10137600,95408128,15093040,19034112,540672,871875.0,4303.0
1363998,10088448,87994368,15093104,19034112,540672,871875.0,4303.0
1364129,9945088,56246272,15092976,19034112,540672,705937.0,4303.0
1364265,10072064,82264064,15092976,19034112,540672,705937.0,4303.0
1364400,10080256,107032576,15093296,19034112,540672,627812.0,4303.0
1364541,10129408,148672512,15097280,19034112,540672,627812.0,4303.0
1364675,10088448,102948864,15093040,19034112,540672,627812.0,4303.0
1364807,9945088,48513024,15092976,19034112,540672,719687.0,4303.0
1364945,10072064,78573568,15092976,19034112,540672,719687.0,4303.0
1365087,10080256,114352128,15093296,19034112,540672,653125.0,4303.0
1365226,10129408,149868544,15097280,19034112,540672,653125.0,4303.0
1365357,10084352,86441984,15093680,19034112,540672,653125.0,4303.0
1365489,9945088,60272640,15092784,19034112,540672,714062.0,4303.0
1365628,10084352,102379520,15092848,19034112,540672,714062.0,4303.0
1365771,10092544,148004864,15093040,19034112,540672,733125.0,4303.0
1365908,10006528,128589824,15092784,19034112,540672,733125.0,4303.0
1366041,10072064,48693248,15092784,19034112,540672,733125.0,4303.0
1366174,9945088,74461184,15092784,19034112,540672,811875.0,4303.0
1366315,10084352,115523584,15097024,19034112,540672,811875.0,4303.0
