PYTHON-BINARY_TREES
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
53624747,14012416,12640256,0,16052224,552960,148125.0,4286.0
53624923,28041216,12640256,0,16052224,552960,932500.0,4286.0
53625064,41914368,12640256,0,16052224,552960,932500.0,4286.0
53625205,55545856,12644352,0,16052224,552960,932500.0,4286.0
53625346,68317184,12644352,0,16052224,552960,976562.0,4286.0
53625494,82149376,12644352,0,16052224,552960,976562.0,4286.0
53625641,96935936,12648448,0,16052224,552960,890625.0,4286.0
53625782,110747648,12648448,0,16052224,552960,890625.0,4286.0
53625923,123498496,12648448,0,16052224,552960,810625.0,4286.0
53626064,137416704,12652544,0,16052224,552960,810625.0,4286.0
53626205,151019520,12652544,0,16052224,552960,810625.0,4286.0
53626346,165122048,12652544,0,16052224,552960,969687.0,4286.0
53626487,177422336,12656640,0,16052224,552960,969687.0,4286.0
53626630,192086016,12656640,0,16052224,552960,1217187.0,4286.0
53626771,206049280,12656640,0,16052224,552960,1217187.0,4286.0
53626918,219852800,12660736,0,16052224,552960,1217187.0,4286.0
53627069,233242624,12660736,0,16052224,552960,835625.0,4286.0
53627227,248836096,12660736,0,16052224,552960,835625.0,4286.0
53627374,262287360,12664832,0,16052224,552960,773437.0,4286.0
53627521,275546112,12664832,0,16052224,552960,773437.0,4286.0
53627668,282488832,12664832,0,16052224,552960,773437.0,4286.0
53627811,282488832,12668928,0,16052224,552960,828125.0,4286.0
53627958,282488832,12668928,0,16052224,552960,828125.0,4286.0
53628112,282488832,12668928,0,16052224,552960,780625.0,4286.0
53628268,282488832,12673024,0,16052224,552960,780625.0,4286.0
53628424,282488832,12673024,0,16052224,552960,732500.0,4286.0
53628566,282488832,12673024,0,16052224,552960,732500.0,4286.0
53628709,282488832,12677120,0,16052224,552960,732500.0,4286.0
53628851,282488832,12677120,0,16052224,552960,822500.0,4286.0
53628994,282488832,12677120,0,16052224,552960,822500.0,4286.0
53629137,146436096,12681216,0,16052224,552960,710625.0,4286.0
53629282,20045824,12681216,0,16052224,552960,710625.0,4286.0
53629426,33411072,12681216,0,16052224,552960,710625.0,4286.0
53629570,47009792,12685312,0,16052224,552960,1006562.0,4286.0
53629716,60227584,12685312,0,16052224,552960,1006562.0,4286.0
53629855,73400320,12685312,0,16052224,552960,752500.0,4286.0
53629995,86708224,12689408,0,16052224,552960,752500.0,4286.0
53630136,98832384,12689408,0,16052224,552960,752500.0,4286.0
53630282,113020928,12689408,0,16052224,552960,845312.0,4286.0
53630431,128249856,12693504,0,16052224,552960,845312.0,4286.0
53630576,141262848,12693504,0,16052224,552960,948437.0,4286.0
53630718,146190336,12693504,0,16052224,737280,948437.0,4286.0
53630863,146194432,12693504,0,16052224,741376,373750.0,4286.0
53631004,146202624,12697600,0,16052224,749568,373750.0,4286.0
53631143,146210816,12697600,0,16052224,757760,373750.0,4286.0
53631290,146210816,12697600,0,16052224,761856,183750.0,4286.0
53631438,146210816,12701696,0,16052224,770048,183750.0,4286.0
53631579,146210816,12701696,0,16052224,770048,153125.0,4286.0
53631717,146210816,12701696,0,16052224,770048,153125.0,4286.0
53631858,146210816,12705792,0,16052224,770048,153125.0,4286.0
53632017,146210816,12705792,0,16052224,770048,290312.0,4286.0
53632163,146210816,12705792,0,16052224,770048,290312.0,4286.0
53632308,146210816,12709888,0,16052224,770048,199375.0,4286.0
53632454,146210816,12709888,0,16052224,770048,199375.0,4286.0
53632598,146210816,12709888,0,16052224,770048,199375.0,4286.0
53632741,146210816,12713984,0,16052224,770048,254375.0,4286.0
53632882,146210816,12713984,0,16052224,770048,254375.0,4286.0
53633025,146210816,12713984,0,16052224,770048,155312.0,4286.0
53633168,146210816,12718080,0,16052224,770048,155312.0,4286.0
53633313,146210816,12718080,0,16052224,770048,208437.0,4286.0
53633459,146210816,12718080,0,16052224,770048,208437.0,4286.0
53633604,146210816,12722176,0,16052224,770048,208437.0,4286.0
53633743,146210816,12722176,0,16052224,770048,175625.0,4286.0
53633886,146210816,12722176,0,16052224,770048,175625.0,4286.0
53634030,146210816,12726272,0,16052224,770048,167500.0,4286.0
53634175,146210816,12726272,0,16052224,770048,167500.0,4286.0
53634323,146210816,12726272,0,16052224,770048,167500.0,4286.0
53634468,146210816,12730368,0,16052224,770048,230937.0,4286.0
53634611,146210816,12730368,0,16052224,770048,230937.0,4286.0
53634755,146210816,12730368,0,16052224,770048,143125.0,4286.0
53634898,146210816,12734464,0,16052224,770048,143125.0,4286.0
53635041,146210816,12734464,0,16052224,770048,143125.0,4286.0
53635185,146210816,12734464,0,16052224,770048,236250.0,4286.0
53635327,146210816,12738560,0,16052224,770048,236250.0,4286.0
53635473,146210816,12738560,0,16052224,770048,184062.0,4286.0
53635616,146210816,12738560,0,16052224,770048,184062.0,4286.0
53635760,146210816,12742656,0,16052224,770048,184062.0,4286.0
53635902,146210816,12742656,0,16052224,770048,258750.0,4286.0
53636046,146210816,12742656,0,16052224,770048,258750.0,4286.0
53636192,146210816,12746752,0,16052224,770048,170625.0,4286.0
53636343,146210816,12746752,0,16052224,770048,170625.0,4286.0
53636488,146210816,12746752,0,16052224,770048,146875.0,4286.0
53636634,146210816,12750848,0,16052224,770048,146875.0,4286.0
53636774,146210816,12750848,0,16052224,770048,146875.0,4286.0
53636912,146210816,12750848,0,16052224,770048,184687.0,4286.0
53637056,146210816,12754944,0,16052224,770048,184687.0,4286.0
53637198,146210816,12754944,0,16052224,770048,166562.0,4286.0
53637338,146210816,12754944,0,16052224,770048,166562.0,4286.0
53637481,146210816,12759040,0,16052224,770048,166562.0,4286.0
53637623,146210816,12759040,0,16052224,770048,180937.0,4286.0
53637770,146210816,12759040,0,16052224,770048,180937.0,4286.0
53637921,146210816,12763136,0,16052224,770048,141875.0,4286.0
53638068,146210816,12763136,0,16052224,770048,141875.0,4286.0
53638215,146210816,12763136,0,16052224,770048,141875.0,4286.0
53638359,146210816,12767232,0,16052224,770048,217812.0,4286.0
53638503,146210816,12767232,0,16052224,770048,217812.0,4286.0
53638649,146210816,12767232,0,16052224,770048,224687.0,4286.0
53638792,146210816,12771328,0,16052224,770048,224687.0,4286.0
53638937,146210816,12771328,0,16052224,770048,258437.0,4286.0
53639081,146210816,12771328,0,16052224,770048,258437.0,4286.0
53639229,146210816,12775424,0,16052224,770048,258437.0,4286.0
53639376,146210816,12775424,0,16052224,770048,176875.0,4286.0
53639514,146210816,12775424,0,16052224,770048,176875.0,4286.0
53639660,146210816,12779520,0,16052224,770048,194375.0,4286.0
53639805,146210816,12779520,0,16052224,770048,194375.0,4286.0
53639947,146210816,12779520,0,16052224,770048,194375.0,4286.0
53640087,146210816,12779520,0,16052224,770048,243125.0,4286.0
53640231,146210816,12783616,0,16052224,770048,243125.0,4286.0
53640377,146210816,12783616,0,16052224,770048,161250.0,4286.0
53640523,146210816,12783616,0,16052224,770048,161250.0,4286.0
53640674,146210816,12787712,0,16052224,770048,161250.0,4286.0
53640818,146210816,12787712,0,16052224,770048,235000.0,4286.0
53640964,146210816,12787712,0,16052224,770048,235000.0,4286.0
53641110,146210816,12791808,0,16052224,770048,185000.0,4286.0
53641261,146210816,12791808,0,16052224,770048,185000.0,4286.0
53641408,146210816,12791808,0,16052224,770048,154375.0,4286.0
53641555,146210816,12795904,0,16052224,770048,154375.0,4286.0
53641699,146210816,12795904,0,16052224,770048,154375.0,4286.0
53641842,146210816,12795904,0,16052224,770048,165625.0,4286.0
53641989,146210816,12800000,0,16052224,770048,165625.0,4286.0
53642133,146210816,12800000,0,16052224,770048,240312.0,4286.0
53642286,146210816,12800000,0,16052224,770048,240312.0,4286.0
53642432,146210816,12804096,0,16052224,770048,240312.0,4286.0
53642577,146210816,12804096,0,16052224,770048,295625.0,4286.0
53642717,146210816,12804096,0,16052224,770048,295625.0,4286.0
53642858,146210816,12808192,0,16052224,770048,200312.0,4286.0
53642998,146210816,12808192,0,16052224,770048,200312.0,4286.0
53643145,146210816,12808192,0,16052224,770048,200312.0,4286.0
53643291,146210816,12812288,0,16052224,770048,317187.0,4286.0
53643432,146210816,12812288,0,16052224,770048,317187.0,4286.0
53643572,146210816,12812288,0,16052224,770048,167500.0,4286.0
53643714,146210816,12816384,0,16052224,770048,167500.0,4286.0
53643856,146210816,12816384,0,16052224,770048,214375.0,4286.0
53643997,146210816,12816384,0,16052224,770048,214375.0,4286.0
53644137,146210816,12820480,0,16052224,770048,214375.0,4286.0
53644281,146210816,12820480,0,16052224,770048,154375.0,4286.0
53644428,146210816,12820480,0,16052224,770048,154375.0,4286.0
53644571,146210816,12824576,0,16052224,770048,162187.0,4286.0
53644718,146210816,12824576,0,16052224,770048,162187.0,4286.0
53644863,146210816,12824576,0,16052224,770048,162187.0,4286.0
53645012,146210816,12828672,0,16052224,770048,203125.0,4286.0
53645162,146210816,12828672,0,16052224,770048,203125.0,4286.0
53645312,146210816,12828672,0,16052224,770048,155937.0,4286.0
53645458,146210816,12832768,0,16052224,770048,155937.0,4286.0
53645604,146210816,12832768,0,16052224,770048,155937.0,4286.0
53645749,146210816,12832768,0,16052224,770048,260937.0,4286.0
53645894,146210816,12836864,0,16052224,770048,260937.0,4286.0
53646039,146210816,12836864,0,16052224,770048,244062.0,4286.0
53646184,146210816,12836864,0,16052224,770048,244062.0,4286.0
53646329,146210816,12840960,0,16052224,770048,201250.0,4286.0
53646473,146210816,12840960,0,16052224,770048,201250.0,4286.0
53646617,146210816,12840960,0,16052224,770048,201250.0,4286.0
53646760,146210816,12845056,0,16052224,770048,255000.0,4286.0
53646900,146210816,12845056,0,16052224,770048,255000.0,4286.0
53647043,146210816,12845056,0,16052224,770048,245625.0,4286.0
53647190,146210816,12849152,0,16052224,770048,245625.0,4286.0
53647336,146210816,12849152,0,16052224,770048,245625.0,4286.0
53647483,146210816,12849152,0,16052224,770048,209375.0,4286.0
53647637,146210816,12853248,0,16052224,770048,209375.0,4286.0
53647786,146210816,12853248,0,16052224,770048,169375.0,4286.0
53647929,146210816,12853248,0,16052224,770048,169375.0,4286.0
53648074,146210816,12857344,0,16052224,770048,261562.0,4286.0
53648221,146210816,12857344,0,16052224,770048,261562.0,4286.0
