PYTHON-FASTA
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
23477843,10280960,32907264,16426560,19079168,3293184,726875.0,3717.0
23477972,10092544,21815296,16374848,19079168,3293184,726875.0,3717.0
23478096,10223616,9945088,16374976,19079168,3293184,746250.0,3717.0
23478229,10223616,25346048,16314928,19079168,3293184,746250.0,3717.0
23478366,10223616,27574272,16314928,19079168,3293184,746250.0,3717.0
23478492,10223616,27688960,16314928,19079168,3293184,793750.0,3717.0
23478636,10223616,27824128,16314928,19079168,3293184,793750.0,3717.0
23478783,10223616,27959296,16314928,19079168,3293184,813750.0,3717.0
23478931,10223616,28098560,16314928,19079168,3293184,813750.0,3717.0
23479076,10223616,28237824,16314928,19079168,3293184,813750.0,3717.0
23479219,10223616,28364800,16314928,19079168,3293184,940937.0,3717.0
23479367,10223616,28495872,16314928,19079168,3293184,940937.0,3717.0
23479513,10223616,28626944,16314928,19079168,3293184,802500.0,3717.0
23479657,10223616,28753920,16314928,19079168,3293184,802500.0,3717.0
23479801,10223616,28880896,16314928,19079168,3293184,654687.0,3717.0
23479942,10223616,29007872,16314928,19079168,3293184,654687.0,3717.0
23480089,10223616,29134848,16314928,19079168,3293184,654687.0,3717.0
23480230,10223616,29261824,16314928,19079168,3293184,729687.0,3717.0
23480374,10223616,29396992,16314928,19079168,3293184,729687.0,3717.0
23480519,10223616,29523968,16314928,19079168,3293184,666875.0,3717.0
23480663,10223616,29646848,16314928,19079168,3293184,666875.0,3717.0
23480811,10223616,29782016,16314928,19079168,3293184,666875.0,3717.0
23480957,10223616,29908992,16314928,19079168,3293184,1005000.0,3717.0
23481099,10223616,30035968,16314928,19079168,3293184,1005000.0,3717.0
23481244,10223616,30171136,16314928,19079168,3293184,653750.0,3717.0
23481391,10223616,30302208,16315040,19079168,3293184,653750.0,3717.0
23481534,10223616,30429184,16315040,19079168,3293184,653750.0,3717.0
23481671,10223616,30556160,16314928,19079168,3293184,901250.0,3717.0
23481812,10223616,30679040,16314928,19079168,3293184,901250.0,3717.0
23481950,10223616,30801920,16314928,19079168,3293184,666562.0,3717.0
23482091,10223616,30928896,16315040,19079168,3293184,666562.0,3717.0
23482231,10223616,31059968,16314928,19079168,3293184,666562.0,3717.0
23482374,10223616,31186944,16314928,19079168,3293184,785625.0,3717.0
23482514,10223616,31313920,16314928,19079168,3293184,785625.0,3717.0
23482653,10223616,31440896,16314928,19079168,3293184,659062.0,3717.0
23482794,10223616,31567872,16314928,19079168,3293184,659062.0,3717.0
23482934,10223616,31694848,16314832,19079168,3293184,659062.0,3717.0
23483077,10223616,31825920,16314832,19079168,3293184,740937.0,3717.0
23483220,10223616,31952896,16314832,19079168,3293184,740937.0,3717.0
23483364,10223616,32083968,16314832,19079168,3293184,728125.0,3717.0
23483506,10223616,32210944,16314944,19079168,3293184,728125.0,3717.0
23483641,10223616,32333824,16314832,19079168,3293184,728125.0,3717.0
23483780,10223616,32460800,16314880,19079168,3293184,799687.0,3717.0
23483917,10223616,32583680,16314832,19079168,3293184,799687.0,3717.0
23484056,10223616,32710656,16314944,19079168,3293184,662187.0,3717.0
23484197,10223616,32837632,16314832,19079168,3293184,662187.0,3717.0
23484340,10223616,32960512,16314832,19079168,3293184,662187.0,3717.0
23484484,10223616,33087488,16314832,19079168,3293184,820625.0,3717.0
23484626,10223616,33218560,16314944,19079168,3293184,820625.0,3717.0
23484754,10223616,33333248,16314832,19079168,3293184,705312.0,3717.0
23484896,10223616,33460224,16314832,19079168,3293184,705312.0,3717.0
23485038,10223616,33587200,16314832,19079168,3293184,705312.0,3717.0
23485180,10223616,33722368,16314832,19079168,3293184,811875.0,3717.0
23485327,10223616,33849344,16314832,19079168,3293184,811875.0,3717.0
23485478,10223616,33988608,16314832,19079168,3293184,795625.0,3717.0
23485618,10223616,34123776,16314944,19079168,3293184,795625.0,3717.0
23485761,10223616,34250752,16314832,19079168,3293184,934687.0,3717.0
23485906,10223616,34381824,16314832,19079168,3293184,934687.0,3717.0
23486047,10223616,34508800,16314832,19079168,3293184,934687.0,3717.0
23486190,10088448,7909376,16315056,19079168,3293184,688125.0,3717.0
23486337,10088448,8048640,16315056,19079168,3293184,688125.0,3717.0
23486479,10088448,8175616,16315056,19079168,3293184,735937.0,3717.0
23486621,10088448,8302592,16315056,19079168,3293184,735937.0,3717.0
