PYTHON-NBODY
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
13508455,10006528,12640256,15349664,19288064,540672,531875.0,3947.0
13508621,10006528,12644352,15349664,19288064,540672,549687.0,3947.0
13508758,10006528,12644352,15349664,19288064,540672,549687.0,3947.0
13508896,10006528,12644352,15349664,19288064,540672,549687.0,3947.0
13509041,10006528,12648448,15349664,19288064,540672,608750.0,3947.0
13509184,10006528,12648448,15349664,19288064,540672,608750.0,3947.0
13509320,10006528,12648448,15349664,19288064,540672,535312.0,3947.0
13509466,10006528,12652544,15349664,19288064,540672,535312.0,3947.0
13509607,10006528,12652544,15349664,19288064,540672,535312.0,3947.0
13509752,10006528,12652544,15349664,19288064,540672,605312.0,3947.0
13509896,10006528,12656640,15349664,19288064,540672,605312.0,3947.0
13510040,10006528,12656640,15349664,19288064,540672,563437.0,3947.0
13510181,10006528,12656640,15349664,19288064,540672,563437.0,3947.0
13510322,10006528,12660736,15349664,19288064,540672,563437.0,3947.0
13510463,10006528,12660736,15349664,19288064,540672,680625.0,3947.0
13510608,10006528,12660736,15349664,19288064,540672,680625.0,3947.0
13510750,10006528,12664832,15349664,19288064,540672,545312.0,3947.0
13510895,10006528,12664832,15349664,19288064,540672,545312.0,3947.0
13511032,10006528,12664832,15349664,19288064,540672,545312.0,3947.0
13511177,10006528,12668928,15349664,19288064,540672,613750.0,3947.0
13511317,10006528,12668928,15349664,19288064,540672,613750.0,3947.0
13511460,10006528,12668928,15349664,19288064,540672,537500.0,3942.0
13511602,10006528,12673024,15349664,19288064,540672,537500.0,3942.0
13511739,10006528,12673024,15349664,19288064,540672,537500.0,3942.0
13511886,10006528,12673024,15349664,19288064,540672,639687.0,3942.0
13512030,10006528,12677120,15349664,19288064,540672,639687.0,3942.0
13512176,10006528,12677120,15349664,19288064,540672,710625.0,3942.0
13512313,10006528,12677120,15349664,19288064,540672,710625.0,3942.0
13512460,10006528,12681216,15349664,19288064,540672,618750.0,3942.0
13512602,10006528,12681216,15349664,19288064,540672,618750.0,3942.0
13512742,10006528,12681216,15349664,19288064,540672,618750.0,3942.0
13512890,10006528,12685312,15349664,19288064,540672,526250.0,3942.0
13513034,10006528,12685312,15349664,19288064,540672,526250.0,3942.0
13513188,10006528,12685312,15349664,19288064,540672,519687.0,3942.0
13513336,10006528,12685312,15349664,19288064,540672,519687.0,3942.0
13513483,10006528,12689408,15349664,19288064,540672,519687.0,3942.0
13513628,10006528,12689408,15349664,19288064,540672,685312.0,3942.0
13513768,10006528,12689408,15349664,19288064,540672,685312.0,3942.0
13513912,10006528,12693504,15349664,19288064,540672,572500.0,3942.0
13514052,10006528,12693504,15349664,19288064,540672,572500.0,3942.0
13514192,10006528,12693504,15349664,19288064,540672,572500.0,3942.0
13514336,10006528,12697600,15349664,19288064,540672,723437.0,3942.0
13514480,10006528,12697600,15349664,19288064,540672,723437.0,3942.0
13514616,10006528,12697600,15349664,19288064,540672,558750.0,3942.0
13514754,10006528,12701696,15349664,19288064,540672,558750.0,3942.0
