PYTHON-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
1708275,10117120,58970112,15170224,19034112,536576,723750.0,4344.0
1708443,10117120,58970112,15226704,19034112,540672,723750.0,4344.0
1708591,10117120,58970112,15241040,19034112,540672,643750.0,4344.0
1708734,10117120,58974208,15227184,19034112,540672,643750.0,4344.0
1708872,10117120,58974208,15288640,19034112,540672,643750.0,4344.0
1709017,10117120,58974208,15259184,19034112,540672,630625.0,4344.0
1709160,10117120,58978304,15318096,19034112,540672,630625.0,4344.0
1709295,10117120,58978304,15245088,19034112,540672,685312.0,4344.0
1709434,10117120,58978304,15278384,19034112,540672,685312.0,4344.0
1709575,10117120,58982400,15278384,19034112,540672,685312.0,4344.0
1709717,10117120,58982400,15570768,19034112,540672,681250.0,4344.0
1709857,10117120,58982400,15570768,19034112,540672,681250.0,4344.0
1710005,10117120,58986496,15439664,19034112,540672,650000.0,4344.0
1710158,10117120,58986496,15570768,19034112,540672,650000.0,4344.0
1710304,10117120,58986496,15439664,19034112,540672,650000.0,4344.0
1710445,10117120,58990592,15439664,19034112,540672,717812.0,4344.0
1710582,10117120,58990592,15570768,19034112,540672,717812.0,4344.0
1710720,10117120,58990592,15570768,19034112,540672,639375.0,4344.0
1710861,10117120,58994688,15505216,19034112,540672,639375.0,4344.0
1711004,10117120,58994688,15570768,19034112,540672,639375.0,4344.0
1711143,10117120,58994688,15439664,19034112,540672,641562.0,4344.0
1711286,10117120,58998784,15439664,19034112,540672,641562.0,4344.0
1711431,10117120,58998784,15570768,19034112,540672,611562.0,4344.0
1711574,10117120,58998784,15439664,19034112,540672,611562.0,4344.0
1711729,10117120,59002880,15439664,19034112,540672,611562.0,4344.0
1711877,10117120,59002880,15439664,19034112,540672,757500.0,4344.0
1712003,10117120,59002880,15439664,19034112,540672,757500.0,4344.0
1712136,10117120,59002880,15505216,19034112,540672,610937.0,4344.0
1712264,10117120,59006976,15439664,19034112,540672,610937.0,4344.0
1712394,10117120,59006976,15570768,19034112,540672,610937.0,4344.0
1712526,10117120,59006976,15570768,19034112,540672,708437.0,4344.0
1712661,10117120,59011072,15439664,19034112,540672,708437.0,4344.0
1712808,10117120,59011072,15570768,19034112,540672,647500.0,4344.0
1712955,10117120,59011072,15570768,19034112,540672,647500.0,4344.0
1713098,10117120,59015168,15439664,19034112,540672,647500.0,4344.0
1713237,10117120,59015168,15505216,19034112,540672,590937.0,4344.0
fim
